epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_pressure,val_vrmse_momentum_y,val_vrmse_momentum_x,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.12607035179579607,0.08925423516167534,0.2355671070240162,0.05790194650628764,0.0005400287909337577,0.0008523067271194864,0.27444642694924165,0.09863221483250542,75.14955541379283,0.3958254108774363,201362.9581589958,0.23963168674045138,0.4105835865162037,0.2421376320167824,0.4086589898003472,0.03355532893428096,0.0005408795674641927,0.0008854819227147986,0.1910328052662037,0.026154530843098957,75.33409722222223,0.23556708441840277,200724.05333333334
2,5e-05,0.07844958392412218,0.10815974482783565,0.31709911205150465,0.028703581618737414,0.0005253106695386218,0.0008901740274721222,0.15653645244103595,0.017837500098360135,74.4956233052529,0.1983091353154332,200028.51261767783,0.3089066116898148,0.46975640190972223,0.23932736997251158,0.6572492133246528,0.04256716127748843,0.000501304688277068,0.0008589703065377695,0.2701823820891204,0.0492209314416956,74.5687962962963,0.31709913465711803,202160.54518518518
3,5e-05,0.06682683037453678,0.06129487214265046,0.15361770064742478,0.024133517358171517,0.00046057370983366297,0.0008016869880909124,0.13109751189104185,0.013249079926742171,71.79234436067078,0.17000019746719544,199104.39762029288,0.1631923195167824,0.17215825963903356,0.17871748182508682,0.28066297743055557,0.021616518938982927,0.0004540952929744014,0.0008032887070267289,0.11315721299913195,0.011378647133156105,70.89711805555555,0.15361768934461806,199307.23555555556
4,5e-05,0.056571729029197576,0.06225802951388889,0.1603751853660301,0.020509477467061835,0.0004272339075760482,0.0007690562813888894,0.09800370530104538,0.009621712951979378,69.74381236950224,0.14102455650195167,198484.87722280333,0.1686300094039352,0.20329865632233796,0.2449507423683449,0.23360611527054398,0.023154624656394677,0.00043381134668986,0.0007835804091559516,0.11608554416232639,0.010362572846589264,70.06811342592593,0.1603751853660301,198237.03703703705
5,5e-05,0.05230762320765485,0.05504370230215567,0.13949848316333913,0.018829706438649525,0.00041065792027602507,0.0007592884092134139,0.08630013553168485,0.008641239364775654,68.58382932112306,0.1294319317228001,198468.7968423117,0.15152407045717592,0.23368559660734953,0.1828925464771412,0.20637806080005788,0.01987044157805266,0.0004177210949085377,0.0007721837361653646,0.09524805139612269,0.009586975662796586,69.15136574074074,0.13949849446614584,198747.92296296297
6,5e-05,0.04799208117387877,0.05169443201135706,0.12950993290653937,0.017384831392728416,0.0003887637613219165,0.0007342687705112969,0.0744604089270077,0.007383909310257086,67.54273500003575,0.11775237583715048,198631.3994835251,0.14603071424696182,0.14868686252170138,0.15249439380787036,0.23157176830150464,0.018413831922743054,0.0004000756475660536,0.0007537521256340874,0.08851210417570891,0.008179829915364584,67.89531828703704,0.12950993290653937,198729.5762962963
7,5e-05,0.04696974232909757,0.04838814064308449,0.1185682960792824,0.016916720009560866,0.0003696993542477445,0.0007057952330344134,0.07712036059491305,0.007001356100936315,67.77486511453924,0.11781102108718461,198148.96819429917,0.14268561469184027,0.17563443784360533,0.14747272632740163,0.17521112512659143,0.017193963792588977,0.0004000552495320638,0.0007538525263468425,0.07460939760561343,0.0076315738536693436,68.10840277777778,0.1185682847764757,198076.14814814815
8,5e-05,0.04806501013772352,0.04662011605721933,0.11290705928096065,0.01692174007301706,0.000405038205967038,0.0007767694581449086,0.07260906060370441,0.0066218210314108236,67.71559243621188,0.11141105698398217,198374.88438153765,0.15357217294198494,0.16508564136646411,0.1368044478804977,0.16646236843532985,0.016698950308340565,0.0003823735537352385,0.000730270368081552,0.0720166015625,0.00692903165464048,67.15661458333334,0.11290703667534722,198652.64592592593
9,5e-05,0.04510101166828516,0.04413202638979311,0.11017573603877315,0.01607387312191098,0.00038505281759647017,0.0007472182281459354,0.06516331571415379,0.006157720313411378,67.180664373741,0.10647380457622112,198391.01640951884,0.13400528519241897,0.1477820728443287,0.14414044415509258,0.16551284224898727,0.016104227701822918,0.00037298515990928367,0.0007198388488204391,0.06252361156322338,0.00612295080114294,66.54513310185185,0.11017574734157987,197961.5525925926
10,5e-05,0.04241771977024628,0.0434648358380353,0.10426988389756944,0.015427452873021644,0.00035284271059295884,0.0006908487643312046,0.06232087420120399,0.005524478322791255,67.12941390799678,0.10181739556147214,198451.86287264645,0.12450836181640625,0.1622103316695602,0.12878047236689816,0.15126929389105903,0.01539526621500651,0.000373797372535423,0.0007264365090264214,0.06253134268301505,0.00617702978628653,66.29816550925926,0.10426988389756944,198385.6474074074
