epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,2.99525e-05,0.11539905230287745,0.08820789478443287,0.2481059886791088,0.055756929447921384,0.0004875949917052004,0.0008547609770267482,0.2350824820895155,0.06021320253234951,0.0,0.33368603997871654,199461.6412815126,0.30096252700861764,0.0,0.26554710105613427,0.2017693187572338,0.4662806080005787,0.4523182960792824,0.032747474952980325,0.00047260672957808884,0.0008319964232268157,0.21220054343894676,0.0218828045880353,0.0,0.2481059886791088,200219.02222222224,0.5448631908275463,0.0
2,4.9963273333986144e-05,0.08222298646549217,0.06713834974500868,0.17454567238136573,0.03242285796949843,0.00046067243403297294,0.0008171327999585597,0.17844337224960327,0.018509536605923117,0.0,0.21460314683553552,198670.23713235295,0.32768612423864735,0.0,0.19725188078703704,0.2577477349175347,0.18014598705150464,0.34359858760127315,0.025368567572699653,0.0004576526306293629,0.0008206352481135616,0.12591432924623844,0.014022865295410157,0.0,0.17454567238136573,197562.59555555554,0.6591472258391203,0.0
3,4.937559161148094e-05,0.06455409379691637,0.06272642912688078,0.15807848895037616,0.025060945167010573,0.0004502249192671475,0.0008307256463899457,0.11321268261981611,0.011776241059062862,0.0,0.1542439124539119,197718.66176470587,0.39095295953149556,0.0,0.25035588017216437,0.17274271647135417,0.16766548439308449,0.30883572048611113,0.022185595477068866,0.0004358473530522099,0.0008115352524651422,0.12498974835431134,0.012219703109176071,0.0,0.15807848895037616,199024.49777777778,0.7656891999421296,0.0
4,4.808747105966034e-05,0.05898132275383012,0.054627312554253474,0.13978391294126158,0.023005210489285093,0.000415394374682028,0.0007870752988539699,0.10137595399087217,0.00987858243850099,0.0,0.14221564736686834,197147.80238970587,0.46805199742818077,0.0,0.17593439172815392,0.19289896647135416,0.186355138708044,0.24526425962094908,0.020289100364402488,0.000401063671818486,0.000750232979103371,0.09523351598668982,0.00951457836009838,0.0,0.13978391294126158,197157.26222222223,0.7682677770543982,0.0
5,4.613670130342732e-05,0.05374610912399132,0.04875496193214699,0.12002081976996527,0.021150022940788448,0.0003843011935936099,0.0007297268324187261,0.0892068408116573,0.008494551442250484,0.0,0.1304280368470344,196866.9225315126,0.47907567237104687,0.0,0.15687110053168402,0.1461316822193287,0.15382349084924768,0.21832682291666666,0.017150610464590568,0.00038855482030797887,0.0007373121049669053,0.08117739076967592,0.007683826022677951,0.0,0.12002081976996527,197246.98074074075,0.7463427282262731,0.0
6,4.3580512123997546e-05,0.04978573402123792,0.04740934018735533,0.11675932707609954,0.019476649781861224,0.0003824403453001972,0.0007324784073563872,0.07458044450824,0.006982635518833369,0.0,0.11519420347293886,196216.09427521008,0.4547190334366149,0.0,0.14258879484953704,0.1397782615379051,0.16035047743055555,0.2153552924262153,0.016836833247432,0.00037999594653094254,0.0007272723427525273,0.07715139318395543,0.007280068574128327,0.0,0.11675932707609954,195991.1348148148,0.7757930049189815,0.0
7,4.049389450737396e-05,0.04795246616694607,0.04786749380606192,0.12076171875,0.018754770760150516,0.0003654281663788608,0.0007073215170794738,0.07284191376020928,0.00685054120145926,0.0,0.1143694349697658,195935.350052521,0.5001914365952757,0.0,0.17628553602430555,0.1399960779260706,0.14563710530598958,0.2049691207320602,0.017187478807237415,0.0003797267542945014,0.0007268915352997956,0.07795784279152199,0.00782772488064236,0.0,0.12076171875,194619.9585185185,0.7474014847366898,0.0
8,3.696740063191148e-05,0.046583458280363005,0.04465501008210359,0.10913553873697916,0.018373334146409976,0.0003602599206394242,0.0007040289373962725,0.0679808509449999,0.006280287098483879,0.0,0.10911556903053732,195496.04030987396,0.4575779910097603,0.0,0.12841053150318288,0.12770363136574073,0.1576903618706597,0.19727832935474537,0.01578280978732639,0.0003665488296084934,0.0007108454351071958,0.07029838844581887,0.006416204947012442,0.0,0.10913553873697916,195169.88444444444,0.7917856626157408,0.0
9,3.3104487336791805e-05,0.045262301168521916,0.04146947790075232,0.10158590811270254,0.017684039041525174,0.0003626869724595825,0.000714988202177489,0.06295942208346199,0.005783691407502198,0.0,0.10319900813222933,195084.6805409664,0.44804703387893546,0.0,0.1386362937644676,0.126143798828125,0.1208056640625,0.1724552634910301,0.014703555636935765,0.00035974688000149196,0.0007037054167853461,0.05852387604890046,0.005668955555668584,0.0,0.10158590811270254,194680.65185185184,0.7487169958043981,0.0
10,2.9018481006140187e-05,0.043920442383705065,0.04008891352900752,0.09642241301359954,0.01715314297490761,0.00035085743589095863,0.0006984059932199502,0.061496184653594715,0.005575174606647812,0.0,0.10174111571131635,194764.11397058822,0.4284676051690799,0.0,0.11951201262297453,0.12089084201388889,0.12445562292028356,0.16419481065538194,0.014038716068974248,0.0003539913671988028,0.0006947141664999503,0.055670844184027776,0.005449247007016782,0.0,0.09642241301359954,194311.0874074074,0.7611032443576389,0.0
11,2.4829252910054948e-05,0.04121497705453584,0.0393855455186632,0.09550836633752893,0.016256918410668855,0.0003317741320337396,0.0006649453066262033,0.05579567857149268,0.005016908300023119,0.0,0.09547237983020414,194331.17765231093,0.42641087314661813,0.0,0.12138939751519097,0.11433783637152778,0.1172401710792824,0.1710949820059317,0.013842846905743634,0.0003514345045442934,0.000690881852750425,0.05313981232819734,0.00525676586009838,0.0,0.09550836633752893,194353.70666666667,0.7675126591435185,0.0
12,2.065970253815318e-05,0.04061404061542839,0.03909051683213976,0.0948046875,0.015905637779280918,0.0003364599254099699,0.0006773887977919721,0.05256937581951879,0.004848447980500069,0.0,0.09292420970291651,194259.53847163866,0.4019779377624768,0.0,0.1186572265625,0.11684418854890047,0.11680684407552083,0.16798579463252314,0.013807183724862558,0.00034776725150920725,0.0006861963537004259,0.05263313576027199,0.00527298715379503,0.0,0.0948046875,193627.94666666666,0.7111324508101852,0.0
13,1.663215209416456e-05,0.03954091984309068,0.03811368306477864,0.09129910504376447,0.015440273521264562,0.0003311966282722517,0.0006703921185782915,0.050272097106741256,0.004621165734128792,0.0,0.0896074174895507,193562.78466386555,0.380749703455372,0.0,0.11419788501880787,0.11195914939597801,0.11275501392505786,0.15822796856915508,0.013279489587854456,0.0003436553478240967,0.0006805210643344456,0.05100949887876157,0.005010657840304905,0.0,0.09129910504376447,193512.03555555554,0.6761240415219908,0.0
