epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_ssim,train_mlw,val_rmse,val_h1,val_ssim,val_mlw
1,3.02e-05,0.11841139343769823,0.08574452320182765,0.23688498480452433,0.05462824233230905,0.0004914210915557739,0.2614139660756458,72.80196161150434,0.03359002558169542,0.00048654047820390485,0.18551648457845052,74.53545197098343
2,5e-05,0.06818758780389993,0.0601081497291172,0.14743991754673144,0.025323529604522346,0.0004544490165042096,0.1342773773867216,74.10655806553413,0.02130338791826809,0.000446906573589432,0.10972954909006755,71.98680251510055
3,5e-05,0.05812580356930644,0.05360769082826597,0.12993480701137472,0.020589618956539622,0.00044092210492458834,0.10326719234179253,72.00530476550178,0.018778381331099405,0.0004309458159749974,0.08854678630828858,72.22958451447664
4,5e-05,0.052222782051605736,0.05413345151132456,0.1326957435409228,0.018616205310886414,0.0004097986486063674,0.08744429151632796,70.80708358676863,0.019094556731482346,0.00041249662357720944,0.09609375335552074,69.77962944878472
5,5e-05,0.050549972915649805,0.04956495832099959,0.12155718789056495,0.01806102681853399,0.00039396321771046396,0.08527189823623482,70.06235722617625,0.017404969037269,0.0003997463904256114,0.08115112808015612,69.1746908738878
6,5e-05,0.04897982963345259,0.04809497574827185,0.11687699021012694,0.01736402144888416,0.00039691771414747417,0.07846614718437195,69.33503303567734,0.01701649183165972,0.00039685143948359094,0.07490607756155508,68.69452668366608
7,5e-05,0.04704290581550488,0.05072106586010368,0.12427891815150226,0.01668555702062842,0.0003790063106938114,0.07604688552508294,69.06992258686401,0.017619069124123563,0.0003908831176974032,0.09038560231526693,69.05921970508717
8,5e-05,0.047760722134116196,0.04893816033171283,0.11913975962058261,0.016988294390902103,0.00037787847602749406,0.07919002371103694,69.75598386541071,0.0173097407127972,0.0003931076426468078,0.07982024731459442,69.12929035328052
9,5e-05,0.04795864071803183,0.04766667173071592,0.1174592799169046,0.016888974243594784,0.00038995325718883865,0.07714668786051881,69.46030638307707,0.016779218591335746,0.0003827682975080043,0.07832691890222054,68.4413607957628
10,5e-05,0.04383322010381794,0.04484203996481719,0.10823911049023822,0.01565514976367214,0.0003582096818214267,0.06845057263159851,68.21335323684885,0.01570999161892191,0.0003751098663764828,0.06917703089890656,67.45022577356409
11,5e-05,0.04212178205891033,0.044919937802823606,0.1103721314392708,0.015143152338157459,0.0003410663651952955,0.0661687408905149,68.03407142351861,0.01592339249672713,0.0003750007272416648,0.06831005732218424,67.52977810895001
12,4.2824116139070415e-05,0.04415081084168138,0.04308612696274563,0.10359229496231785,0.01579616747825274,0.0003616423340583194,0.06848350856219375,67.54777716393251,0.015093713146461933,0.00036989728437118984,0.06331699486132021,67.2517397958261
13,2.5500000000000003e-05,0.03969091368499641,0.041442361146349596,0.09944950631647198,0.014159905556180206,0.0003370640235362356,0.057852044763924186,67.27978636929181,0.014521467224177386,0.00036337155206671957,0.05834877367372866,66.76557788425022
14,8.175883860929588e-06,0.03914312431289207,0.0402638766752487,0.09593397483643558,0.013729286473329669,0.00034671241704637123,0.05385477781669864,66.70183254585106,0.01403271815377391,0.00035865937244394715,0.055321264266967776,66.2718536037869
15,1e-06,0.03716661278891502,0.04004160390235484,0.09539589049087631,0.013095671327825574,0.0003283011874391025,0.051039211981964906,66.26604615295282,0.01395263046371164,0.0003572684593971779,0.05483700151796694,66.20938316062644
