epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_y,val_vrmse_pressure,val_vrmse_momentum_x,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.12743780675839056,0.07954813639322916,0.2101682083695023,0.058358388296309,0.000548973482294451,0.0008597780786003872,0.27753828472173364,0.10021241888341545,76.01063196030621,0.3991098744506367,200715.87673247908,0.23494113498263888,0.2163563820167824,0.2655668131510417,0.3786526376229745,0.0309503173828125,0.0005318605899810791,0.0008562392658657497,0.1466985970956308,0.020973069932725696,75.17038194444444,0.2101682083695023,201155.05777777778
2,5e-05,0.07866941018333994,0.07564396610966435,0.20601707175925926,0.029040732471638644,0.000529469871728918,0.0008828873323901275,0.1543678878241503,0.018921012409561348,74.87213947982468,0.19921063137665454,200060.5809035042,0.216644287109375,0.1886921861436632,0.20326680501302083,0.413189697265625,0.027862365157515914,0.0004867633183797201,0.000835668510860867,0.15628952591507522,0.01749534324363426,73.37797453703703,0.20601704915364583,198653.0962962963
3,5e-05,0.06484789739140781,0.05795565004701968,0.14317187273943865,0.02338406508379308,0.0004610798026641757,0.0008024538036955327,0.12273227769460639,0.013096044003714079,71.93110636786936,0.16489293963247015,199611.20044456067,0.16158525254991318,0.18239075837311922,0.1863576140227141,0.23815985785590277,0.020589879353841146,0.00045444289843241375,0.000805468029446072,0.09762409351490162,0.010103826169614439,70.86901620370371,0.14317186143663194,198683.9111111111
4,5e-05,0.05499870827027974,0.053071226897063076,0.1297526380750868,0.019604751202141453,0.0004315706563283658,0.000774205515010036,0.0921028246440648,0.009248633514388337,69.88058354365776,0.13562356861440705,198662.30687761508,0.1590608384874132,0.1573439986617477,0.18534398961950233,0.19929194697627314,0.01876283433702257,0.00043292743188363535,0.0007844762448911313,0.08441346910264758,0.009170573199236835,69.92822916666667,0.12975264937789352,199578.69037037037
5,5e-05,0.05127119797839156,0.05114766438802083,0.12687044496889469,0.018167366713546528,0.00041690094234444927,0.0007668023607088247,0.08172522429143035,0.008191101720642345,68.72160301048885,0.12463635972323028,198857.50362839957,0.1475123991789641,0.14604714852792244,0.20837345829716436,0.18999073169849537,0.017989557054307725,0.00041695669845298486,0.0007701921463012695,0.08206844188548901,0.00825266166969582,68.57793981481481,0.12687042236328125,198667.93481481483
6,5e-05,0.04929479854434697,0.04842701099537037,0.11590048330801504,0.017765620353175755,0.00039608420781603467,0.0007436195361412147,0.07816644966851717,0.007752926653897912,68.10411115670304,0.1209746198767648,198866.2544129184,0.14001273826316551,0.14826076931423612,0.17219637270326968,0.17019908763744213,0.016983956231011284,0.0004087067974938287,0.0007649724571793168,0.07338477805808738,0.007501839531792535,68.86081597222223,0.11590048330801504,199010.84444444443
7,5e-05,0.04802782342586059,0.048622809516059025,0.11840699372468172,0.017349412601448937,0.0003772893540098034,0.0007153806393660748,0.07875961676302315,0.007508456208217094,68.32470034355897,0.12168616645630434,198706.6434035042,0.14648314299406828,0.13902244285300927,0.17304716887297453,0.17952012803819445,0.01735290386058666,0.00040223121643066405,0.0007590579103540491,0.07438895331488715,0.007340839527271412,68.49113425925925,0.11840699372468172,199053.62962962964
8,5e-05,0.048028812590288975,0.0467059326171875,0.11437629982277199,0.016812549002866054,0.0004132860032127115,0.0007867937056984009,0.07034641890845039,0.006613182971667047,68.05536923747681,0.11066717318567022,198322.85188938284,0.1364498449254919,0.15641788058810763,0.14621080186631943,0.17253011067708332,0.016963358278627747,0.0003865143104835793,0.0007353025454062003,0.06944571601019965,0.007046247411657262,66.98630208333333,0.11437629982277199,198735.78666666665
9,5e-05,0.04650188823889115,0.04582275108054832,0.11220228407118056,0.016535679290507567,0.000393133575023826,0.0007569493924064883,0.06873019831449916,0.006399677513034773,67.54584535894035,0.11003649059028431,198150.6043083159,0.13505070439091435,0.12878070972583913,0.14845586706090858,0.18050115514684606,0.01621138396086516,0.00038165260244298863,0.000733135806189643,0.07019154866536459,0.006925216250949435,66.88195023148148,0.11220227276837384,198998.3762962963
10,5e-05,0.04358891915689733,0.04590547914858217,0.11191849320023148,0.01580350101432494,0.00036194003870277964,0.0007036573200846029,0.06458943807929131,0.00583978140703305,67.71738493691927,0.10439818367268501,198443.18717311716,0.13083817093460648,0.15029426857277198,0.1745708211263021,0.15898992467809606,0.016089933889883536,0.00037897494104173447,0.0007282506978070294,0.07244530571831598,0.006837363066496673,66.9970949074074,0.11191849320023148,198737.8488888889
11,5e-05,0.0421278031307144,0.04419886553729022,0.1065431382921007,0.015008112467303249,0.000355739423477328,0.000695087287966348,0.06221812888668172,0.005767563895700367,66.75169465132836,0.10449569433475513,198079.105354341,0.13012751826533564,0.12839814362702545,0.15424064353660302,0.16154950177228009,0.015355125709816262,0.0003761018647087945,0.0007319402694702148,0.06692431414568865,0.006399572160508898,67.5533912037037,0.1065431382921007,197347.0814814815
12,5e-05,0.04564869158441458,0.04278161790635851,0.1037032628942419,0.016177814683748338,0.00039031225208962795,0.0007710153741720517,0.066368426737925,0.005866948530763761,67.75445283706217,0.1051007433868477,198690.5944037657,0.1302192744502315,0.12925391303168401,0.1356016257957176,0.15255018446180554,0.015341243037471065,0.0003711143246403447,0.0007221007347106934,0.05923105310510706,0.005939800827591508,66.94751736111111,0.10370327419704861,198013.77185185184
13,5e-05,0.041302357448623456,0.04236573961046007,0.10356102837456597,0.014806195232865233,0.00034986493412093313,0.0006948611241148371,0.06001943499473349,0.005427975659589887,66.63151085027592,0.1001528740303287,198177.01948221758,0.12769519947193286,0.13352299442997687,0.13425263581452546,0.15420198793764467,0.014981953656231915,0.00036530611691651524,0.0007122559900637026,0.06078987404152199,0.0060140079922146265,66.12596064814815,0.10356103967737268,198002.25185185185
14,4.603315856985009e-05,0.04025102508250453,0.04049422087492766,0.09705044216579861,0.014708115384138529,0.0003299654644994867,0.0006603154593222868,0.060297574458261914,0.005359809019575558,67.24468378043075,0.09977792150430599,198445.2455543933,0.12214946605541088,0.11995941162109375,0.14212600142867476,0.1366912841796875,0.014311602557146991,0.0003579778582961471,0.0007017115751902262,0.05522481282552083,0.005459115770128038,65.58947916666666,0.09705044216579861,198093.67703703704
15,3.396144383332204e-05,0.03940054001559398,0.039421002423321756,0.09498405173972801,0.01413484130475561,0.00033482629121399024,0.0006749703482424121,0.056829226066876654,0.0050273919205286515,66.41736052126066,0.09619354713069096,198254.6606956067,0.11795199924045138,0.12034614845558449,0.12260947898582177,0.1391486386899595,0.01385838543927228,0.00035375727547539603,0.0006970691680908203,0.05249836109302662,0.005180097156100803,65.17914351851852,0.09498405173972801,198249.92
16,1.852907412753971e-05,0.03573263372697918,0.03737091347023293,0.08842209427445023,0.012496965873994277,0.0003229951917491535,0.0006552965088868713,0.04723938701043069,0.004494117393653263,64.87476905120467,0.08742912449955816,197824.98931093095,0.11401499430338542,0.11122678403501157,0.11485968695746528,0.12153254756221064,0.012969131469726563,0.00034686620588655827,0.0006868104139963786,0.04705648351598669,0.004795280032687717,64.51215277777777,0.08842209427445023,197740.49185185184
17,5.865366264235065e-06,0.03507529244910162,0.03699498494466146,0.0872479756673177,0.012297087216264642,0.00032125467795514974,0.0006594762812453676,0.04476980696662201,0.004199992163909529,63.85034062373588,0.084069430820301,197495.42350941422,0.11234608968098958,0.10963036431206598,0.11308056866681135,0.11990875244140625,0.012804128858778211,0.0003445469229309647,0.0006837766700320773,0.046423385054976854,0.0046986957832619,64.24350694444445,0.08724797001591435,197418.84444444443
18,1e-06,0.034761539547388524,0.03688286675347222,0.08698916965060764,0.012068694610359093,0.00032297855157130054,0.0006616103937726259,0.04362611453902272,0.0042329549041253255,63.37315522676731,0.08368157396272262,197443.30978687239,0.11201931423611111,0.10914477313006365,0.11243191189236111,0.11953484429253472,0.012764239841037327,0.0003440395991007487,0.0006829719631760209,0.04611095569751881,0.004677933586968316,64.1821875,0.08698916965060764,197329.35111111111
