epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_pressure,val_vrmse_density,val_vrmse_momentum_y,val_vrmse_momentum_x,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.14618406067972528,0.08893853081597222,0.23704664442274306,0.0737201094093526,0.0005595155170631264,0.0008597604127161004,0.29658782432268854,0.1427395311359581,74.16884632190401,0.48947199122302204,201377.437957636,0.2445230441623264,0.27961563675491896,0.37960611979166664,0.34297951027199075,0.03328174167209201,0.0005688877458925601,0.0009425369898478191,0.18141603823061342,0.02340606689453125,76.07510416666666,0.23704662181712963,200280.32
2,5e-05,0.08143201639104214,0.06981490523726852,0.17715693721064815,0.02993586932983109,0.0005376737700073334,0.0009038112271185862,0.16408305150694427,0.01986792845706062,74.92079283901838,0.20748892689910892,199531.29190638076,0.24870067455150463,0.17630600540726274,0.3007651095920139,0.2375198025173611,0.02508161474157263,0.0004901060351619014,0.0008407621030454282,0.1348532443576389,0.014312659369574652,72.82215856481481,0.17715693721064815,199303.30074074073
3,5e-05,0.06562027141888271,0.060100397180627894,0.1454488005461516,0.023626192656996423,0.0004555947889286213,0.0007978088719385874,0.12809559079393681,0.012294144061818781,71.30777373373758,0.16716996645827673,199110.0827340481,0.21302736635561342,0.16110157154224536,0.2111394359447338,0.21490571198640046,0.021105225174515335,0.0004562694055062753,0.0008166189546938296,0.10787802237051505,0.010927138151945891,71.24143518518518,0.1454488005461516,198648.0948148148
4,5e-05,0.05560455298651337,0.0528222260651765,0.12688414397063077,0.019815817371080922,0.00043147430486398556,0.000780620951828043,0.09476679862792523,0.009159327800303822,69.74560156626681,0.13638317242857054,198542.10698875523,0.15222592954282407,0.14569288465711805,0.18889078776041668,0.18882196497034143,0.01859230324074074,0.0004355539657451488,0.0007998580402798123,0.08301483154296875,0.008856422989456741,70.17373842592593,0.1268841665762442,198200.15407407406
5,5e-05,0.0526106810045261,0.05024376198097512,0.1238907199435764,0.018562284732241356,0.0004147884216285907,0.0007710353567533986,0.08872649859184999,0.00827631965341927,68.89031249808467,0.12816857453825334,198220.67599372385,0.1589502066153067,0.15402399133752895,0.17337278012876156,0.17561057761863427,0.017815831502278646,0.0004129100728918005,0.000767820676167806,0.07854953907154225,0.008084129050925926,68.25035300925926,0.12389070864076968,197887.20592592593
6,5e-05,0.04789682394614498,0.05045830055519387,0.12486854835792824,0.01714980688967029,0.0003917755852606236,0.0007421465667891832,0.07438824939927297,0.007282988047500036,67.53157915729858,0.11642225477532737,197955.73600941422,0.16488863344545718,0.1382713826497396,0.17699971516927082,0.19120433666087963,0.017937404491283275,0.00040584665757638437,0.0007654053193551523,0.08152374267578125,0.007732267026548032,67.84597222222222,0.12486854835792824,198195.92296296297
7,5e-05,0.047117259526804525,0.05220464635778357,0.13261131004050927,0.016878902199522254,0.000372059977382785,0.0007127029040328955,0.07756905450980534,0.007003414456315619,67.761104950845,0.11738077753757332,197803.41017259413,0.21524692111545138,0.1522349152741609,0.20170030381944445,0.1607451488353588,0.018987599125614874,0.0003937916843979447,0.000745656931841815,0.09018306025752315,0.007838909007884838,67.88923611111112,0.13261129873770255,197569.01925925925
8,5e-05,0.04893595073274707,0.04572484051739728,0.11097922996238425,0.017353743775533396,0.0004082911837292756,0.000783236146700847,0.07445098303850725,0.006774762684331279,67.73687355488414,0.11454142958206362,197554.93174686193,0.13880940755208335,0.12644287109375,0.1541440158420139,0.1679397243923611,0.016121826171875,0.000386489850503427,0.0007400075594584147,0.06852345784505208,0.006843735023781106,67.07546296296296,0.11097921865957755,197712.79407407407
9,5e-05,0.04584118006673006,0.043767903645833335,0.10520632143373843,0.016329182373266277,0.00038910132849447244,0.0007540543167645612,0.06704620611717511,0.006248036937234791,67.21747182901933,0.10798385802453782,197725.7219534519,0.1410362865306713,0.12825920952690972,0.1458600644712095,0.1451777027271412,0.01541152247676143,0.00037575470076666936,0.0007248921747560855,0.06379096137152777,0.006192468713831018,66.45796296296297,0.10520632143373843,197675.87555555557
10,5e-05,0.044072674861115456,0.04855877911603009,0.11916846381293403,0.016001702802134952,0.0003555719067500991,0.0006954966321002046,0.06861584106748574,0.005848649156642259,67.40344673220582,0.10675150004827327,197782.38781380752,0.1610215363679109,0.13006820113570602,0.19965535481770832,0.16183001482928241,0.017109885039152922,0.00037763260028980395,0.0007302175186298512,0.08378177218967015,0.006964436283817998,66.52667824074074,0.11916847511574075,197556.44444444444
