epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.10571780763020949,0.06964818883825231,0.17649724889684607,0.047620095908797684,0.00047454342010568777,0.0008253871098691645,0.2291369286042377,0.060295724095659774,73.9879442957156,0.31177506754837275,201224.55197437239,0.19536693431712962,0.1959409812644676,0.20944661458333333,0.46667258933738426,0.025997034708658853,0.0004777017346134892,0.0008382724832605433,0.1317737720630787,0.015921967117874712,74.16866319444445,0.17649724889684607,200144.73481481482
2,5e-05,0.07379885489573103,0.06250304045500579,0.15499378345630788,0.026996496975203687,0.000477218530756077,0.00085900181015973,0.1529428680820944,0.01586922279960441,73.9779199975305,0.18571142104910257,199238.02749084728,0.20318160445601852,0.1874453961407697,0.17649157488787615,0.3313929126880787,0.02300222608778212,0.00045998025823522495,0.0008186384483619973,0.11001199227792245,0.012190469812463831,73.15848958333333,0.15499377215350116,166124827.68592593
3,5e-05,0.06070610717285783,0.07279382776331018,0.19700132016782407,0.021837745953904596,0.0004185153174791697,0.0007643627084472888,0.11961729718551477,0.010766533129384828,70.95168521513999,0.15313693969101339,198078.97989670502,0.28737259476273147,0.1615285915798611,0.31813614456741895,0.31157018590856483,0.02665195041232639,0.00043980916341145835,0.0008099583343223289,0.16100948757595487,0.016277280736852574,71.50771412037037,0.19700129756221066,199030.21037037036
4,5e-05,0.052034586884283994,0.048815409342447914,0.1173214382595486,0.01849906766060428,0.00040688836183655903,0.000766294542688636,0.08794067145391488,0.008266104439811227,70.19124702230158,0.1264236896419625,197746.47875261508,0.1420185117368345,0.1436465001989294,0.1428127599645544,0.23815888581452546,0.017159712049696182,0.0004038980272081163,0.0007575960512514468,0.07640532316984953,0.007743229336208767,69.17394675925927,0.1173214382595486,197428.71703703704
5,5e-05,0.04845201985220811,0.04720196759259259,0.11487173574942129,0.017282082643710606,0.00038080296627141105,0.000727242778040407,0.08086525695593287,0.007369683751501299,68.06799404990224,0.11891760207930868,197739.84136375523,0.15044969346788195,0.13420947039568865,0.13758373119212963,0.22755077220775463,0.01664600372314453,0.00038927577160022877,0.000737774063039709,0.073947833025897,0.007096542782253689,67.95175925925926,0.11487174705222801,198695.86962962963
6,5e-05,0.04674663262882087,0.04690804092972367,0.1156825425889757,0.017020471880181253,0.00036597209283357123,0.0007066241847091436,0.07618370527502882,0.006853021089003176,67.33849736137869,0.11442536068495722,198009.16886767783,0.14076917860243054,0.13749962700737847,0.15548989755135995,0.23510861997251156,0.01704468197292752,0.00037826052418461553,0.0007242560828173602,0.07300222891348379,0.007221754568594473,67.71809027777778,0.11568253128616898,198324.5748148148
7,5e-05,0.04327046213316961,0.046853615089699076,0.11609477855541088,0.015547907904421747,0.0003472403188147437,0.0006788834600883698,0.06907025166635233,0.006147527046283419,67.22226517968596,0.10815429174688072,197586.72231302303,0.1296655499493634,0.14601634837962962,0.15692171450014467,0.21881623444733797,0.0166254636976454,0.00037408731601856375,0.0007262595936104103,0.07682523374204282,0.007290629634150753,67.75230324074074,0.1160947898582176,197446.85037037038
8,5e-05,0.04621184399452793,0.04355188722963686,0.10475914849175347,0.016411329396010598,0.0003858240240169911,0.0007544264067177644,0.07006208692135671,0.006185698958121583,67.74097445819169,0.10765062961493575,197620.35715219667,0.1319333337854456,0.1273399974681713,0.13922479700159143,0.18894415961371527,0.015336283931025752,0.0003672788319764314,0.0007167484583678069,0.06567777845594618,0.0060934328149866174,66.91589120370371,0.10475914849175347,197419.76888888888
9,5e-05,0.043464613115418875,0.0457602380823206,0.11282657199435764,0.015398275443239753,0.000370549409222484,0.0007404524974057396,0.06359244652373022,0.005608352407750724,67.75927731182784,0.10198494959544686,197482.10453713388,0.12409700746889468,0.1358309484411169,0.1303927047164352,0.2587193919994213,0.016098656830964266,0.00035951373753724276,0.0007052197721269395,0.07790595160590277,0.0067663906238697195,66.81876157407407,0.11282658329716436,197276.66962962964
10,5e-05,0.04299214370178534,0.04319587142379196,0.10547934072989004,0.015614920295287844,0.000338734448621333,0.0006754368203694573,0.06960333752831654,0.005538848404106236,67.41988593863643,0.10486423676233411,197375.5996665795,0.1325046341507523,0.13762270326967593,0.13991351092303242,0.16723879213686343,0.01538646556712963,0.0003613195375159935,0.0007037331881346526,0.06495620162398727,0.006296857904504846,66.64074074074074,0.10547934072989004,197403.4725925926
11,5e-05,0.04006490587728355,0.04185365182382089,0.10045945909288194,0.014431037113974534,0.0003324774262279035,0.0006622135695448059,0.06006664611305652,0.00537052850344191,65.9809117337151,0.10074544226493547,196830.03478033474,0.13501170970775464,0.12545947039568867,0.12675288447627314,0.17478571008752894,0.014869470949526186,0.0003540364459708885,0.0006949674200128626,0.06188237508138021,0.005880922741360135,65.67928819444444,0.10045945909288194,197116.06518518517
12,5e-05,0.04230049989872055,0.04098214043511285,0.09968231201171875,0.014960584729017542,0.00036159850150831505,0.0007293023199449768,0.06173326492808354,0.005144872425989127,66.3419891580877,0.09707256505912693,197552.71776935147,0.13397060818142362,0.1255397203233507,0.11957001862702546,0.16828859682436342,0.014428094934534143,0.0003505440111513491,0.0006898526792173032,0.06017896864149305,0.005743243252789533,65.63479166666667,0.09968232331452546,197654.13925925925
13,5e-05,0.04090393260394118,0.04263696176034433,0.1058231042932581,0.014974797307708492,0.0003302761598804818,0.0006667992941813175,0.06276884612677985,0.005358046567589668,66.12716547116077,0.1010923563116951,197493.36813546024,0.1331078988534433,0.1560291205512153,0.1272667552806713,0.16085856119791667,0.015411051997432002,0.00034689207871754963,0.0006851274437374539,0.06587535151728878,0.0060282120881257235,65.65228009259259,0.10582311559606482,197664.77037037036
14,4.603315856985009e-05,0.03803511195968073,0.04036330329047309,0.09728174280237269,0.013938964079582292,0.0003111000536592697,0.0006334660990202667,0.056940966071444075,0.004855186121234335,66.71292961790971,0.09429860466537865,197457.31302301254,0.12275574860749422,0.12527547200520833,0.12677108199508103,0.16729218659577547,0.014395138775860822,0.0003476420376035902,0.0006883905110535799,0.05724040843822338,0.005351811868173105,65.50208333333333,0.09728174280237269,198147.55555555556
