epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_pressure,val_vrmse_momentum_y,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.12952452580830293,0.0811604478624132,0.21497156213831017,0.05998186836658225,0.0005494084931422427,0.0008581048726144172,0.2804815428775724,0.10247546559098375,75.80519238875002,0.4003934032092783,201002.8579040272,0.20665366843894675,0.19782158745659723,0.3025049732349537,0.4208026801215278,0.030333271733036748,0.0005262766944037543,0.0008544271963614005,0.1634222299081308,0.022751419632523147,75.04899305555556,0.21497153953269676,200665.33925925926
2,5e-05,0.08011744537285556,0.06921028984917535,0.17800778989438656,0.029495969656309323,0.0005283946647236099,0.0008794537012519457,0.16134494306153332,0.01859868670108428,74.83993411363419,0.20340744630437516,199293.65510591003,0.20677818015769675,0.22174924497251158,0.27093230070891205,0.28694871690538193,0.024811952379014755,0.0004832815240930628,0.0008305450722023293,0.13489504213686343,0.012890831276222512,72.71765046296296,0.17800778989438656,199136.75851851853
3,5e-05,0.06441317718265632,0.0604199614348235,0.14829984311704283,0.023290081062669783,0.00046311574197777143,0.0008144453646446552,0.11978205589569763,0.013003399057867139,71.91919974003875,0.16377548067577213,198402.31782819037,0.17202702275028936,0.20691507975260418,0.22256664134837964,0.20907414189091436,0.021072513439037183,0.00046463211377461753,0.0008224433439749259,0.10743896484375,0.011697138327139395,72.08862268518519,0.14829984311704283,199194.16888888887
4,5e-05,0.054379440323843245,0.053812679714626735,0.1311976114908854,0.019377391156058556,0.0004332951230092678,0.0007784956469112174,0.0889152840839769,0.009171076898295511,69.68875738167863,0.1322612952534499,198875.22404550208,0.1616925953052662,0.16978494149667245,0.17860912181712962,0.21207338686342592,0.019225092287416812,0.0004284258683522542,0.0007811430648521141,0.08777527985749421,0.009010869485360605,69.17510995370371,0.1311976114908854,197950.66074074074
5,5e-05,0.05212836920977356,0.05047373453776042,0.12254562943070023,0.01856905325202887,0.0004162829873708901,0.0007682177758890103,0.08496777382854637,0.008461364767042663,68.97761190885281,0.12760183742760864,198627.7375457636,0.1613249828197338,0.13959129050925925,0.17040842692057293,0.18771322744864005,0.01749075147840712,0.0004138715620394106,0.0007680630683898925,0.08192934389467593,0.00821460723876953,68.43479166666667,0.12254562943070023,198309.98518518519
6,5e-05,0.04882207391228308,0.04947369610821759,0.12155812581380208,0.01758010389144965,0.00039461593669006423,0.0007423462865399681,0.076741153101542,0.007529225434219488,67.86922182697631,0.11957568852971288,198402.988395659,0.14919846146195023,0.14772300437644675,0.1751521470811632,0.18570176866319443,0.017485953436957465,0.00040606154335869684,0.0007611777164317943,0.07789776272243924,0.00791168283533167,68.18189236111111,0.12155811451099537,197485.60592592592
7,5e-05,0.049593133220612755,0.04815614488389757,0.11685238308376736,0.017941582296238472,0.0003776497200649478,0.0007154301156790181,0.08512709642055144,0.007814842911444948,68.35828157847895,0.125619816714625,198161.20296155856,0.13899591516565393,0.15406444408275463,0.15610922354239004,0.17708197699652778,0.01695272233751085,0.00039776440019960755,0.0007499663918106644,0.07543468334056713,0.007346688023319951,67.96059606481481,0.11685238308376736,197747.9111111111
8,5e-05,0.048818190695102244,0.047869579173900466,0.11844168203848379,0.017234406127617792,0.00041194895709205224,0.0007865246030056468,0.0732422422415043,0.0067845772499818685,68.05150351264986,0.11401468248079262,198301.5880949268,0.15063945628978587,0.13141673900462963,0.15673891420717592,0.19563413266782406,0.01725861019558377,0.0003902358920485885,0.000745633531499792,0.0739944910120081,0.007384421737105758,67.96401620370371,0.11844168203848379,198450.29925925925
9,5e-05,0.04657611239284558,0.04408653259277344,0.10760373716001158,0.016411983183970885,0.000399352426076601,0.0007755501042102806,0.06797671729550701,0.0064096924650120434,68.30350294073257,0.10898977521978412,198291.08355125523,0.13409517641420718,0.12853430853949652,0.14261809172453704,0.164229736328125,0.01576785617404514,0.0003817983909889504,0.0007314439173097964,0.06152502554434317,0.006326693075674551,66.67380787037037,0.10760373716001158,198153.25629629628
10,5e-05,0.04361181461182131,0.044231236775716144,0.10717193603515625,0.01575974015242354,0.00035925105061167825,0.0007001982464205517,0.0659301440586106,0.005730847683910545,67.53015761594892,0.1045158402487698,198054.04318122385,0.14494893391927083,0.1331288429542824,0.1443612331814236,0.15240691008391205,0.015538786428946036,0.0003758636668876365,0.0007254578449107982,0.0659951330114294,0.0064349492390950525,66.51210069444444,0.10717192473234954,197287.6562962963
11,5e-05,0.04261030914470413,0.044118225662796585,0.10823929398148148,0.015256488548638494,0.00035608142375015303,0.00069584812554411,0.063664993481656,0.005955064147087321,66.69045091573165,0.10636639366682354,198226.65680570083,0.13695810953776041,0.14791991057219328,0.14393830475983796,0.14910224066840277,0.015796552587438513,0.00037462057890715424,0.0007247275776333279,0.0639376378942419,0.0059834211843985095,66.23000578703704,0.10823929398148148,197878.93333333332
12,5e-05,0.044294699348478135,0.04269547073929398,0.1031192468713831,0.015587965761521777,0.0003878478611288727,0.0007673576236560483,0.062095599817930405,0.0056291681453273885,67.12357923276255,0.10186973055551865,198467.99826752092,0.1282474998191551,0.12827544035734953,0.13564533374927662,0.1550981761791088,0.01507529647262008,0.0003699798495681198,0.0007187097602420383,0.06080786810980903,0.005990205694127966,66.2634837962963,0.10311923556857638,198630.75555555554
13,5e-05,0.04218511560261561,0.043009010597511575,0.10687888816550926,0.015188869643200454,0.0003512361899222669,0.0006974280663151483,0.06289623945826765,0.0055919036456231795,66.7001908433986,0.10257844820961544,198191.12156773012,0.13661695692274306,0.13001911304615163,0.15169832582826967,0.15391911259403934,0.015437384711371528,0.0003667480857283981,0.0007117875417073568,0.06156148274739583,0.0061169892770272715,66.18770833333333,0.10687888816550926,198361.93185185184
14,4.603315856985009e-05,0.040023609096180475,0.04335664537217882,0.10705401385271991,0.014607375764841347,0.00032820476151900033,0.0006579325526042823,0.06003996580215677,0.005234946765660242,67.2061413162423,0.09890957597923702,198249.51915533474,0.12742173936631945,0.1307440185546875,0.1546042435257523,0.16420664469401042,0.015355861805103444,0.00035993880695766873,0.0007061846609468813,0.06669228447808159,0.006179820873119213,65.68063657407407,0.10705401385271991,197981.62962962964
15,3.396144383332204e-05,0.038905794468268,0.039944463659215855,0.0957586669921875,0.013910636418814688,0.00033271091913710617,0.0006726519176202117,0.05573074475990678,0.004976849925069131,66.40307487902781,0.09493174266740367,197944.33368200838,0.12224894205729167,0.117659912109375,0.12568578649450232,0.14618963170934607,0.014126952842429832,0.0003521648822007356,0.0006955329135612205,0.05472844441731771,0.0052860980563693575,64.99819444444445,0.0957586669921875,197435.4251851852
16,1.852907412753971e-05,0.0359691793121452,0.037321828206380206,0.08818602950484665,0.01258757007848978,0.00032350119221267825,0.0006572517805945312,0.048043661536531966,0.004514145551865071,64.93510499259916,0.0881196509298545,197351.38689853557,0.11392449273003472,0.11042420563874421,0.11527871591073495,0.12121006718388311,0.012926220364040798,0.0003465344066973086,0.0006873725078724048,0.047125925134729456,0.004768436573169849,64.51221643518518,0.08818603515625,196985.0785185185
17,5.865366264235065e-06,0.034995072138413914,0.03688385009765625,0.0870012127911603,0.012261747918627518,0.0003212504801747429,0.0006606873932762187,0.04447199896788497,0.00417895047734472,63.895295450378164,0.0838224202000914,197159.44116108786,0.11272429289641203,0.10901564986617476,0.11277232982494213,0.11897910789207176,0.012755875764069734,0.0003441979266979076,0.0006844250802640562,0.04612052069769965,0.004667681588066949,64.23081597222222,0.08700120713975694,196841.26814814814
18,1e-06,0.03472437187503229,0.03680601614492911,0.08678263911494502,0.012047833926482789,0.0003225826373982006,0.0006623384956592836,0.04364937257068426,0.0042150903446405005,63.444015056019545,0.0835307632031301,196908.89497254184,0.11237423366970486,0.10875011302806713,0.11234456380208334,0.11865000406901041,0.012726430539731626,0.0003437540707764802,0.0006836547233440257,0.0459458895082827,0.004651482193558304,64.18233796296296,0.08678264476634838,196816.22518518518
