epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.10592930579059232,0.06497422960069445,0.1610407285337095,0.04772729269680898,0.0004720091596832333,0.0008178479963637347,0.2306770228441789,0.06027314341217903,73.95250776123302,0.3117086719331881,201000.58453190376,0.19539537217881944,0.16979443585431134,0.18204265453197338,0.3997216796875,0.0236559408682364,0.00046569497496993454,0.0008204730351765951,0.12022359212239583,0.013680501867223669,73.13264467592593,0.16104071723090277,199463.49037037036
2,5e-05,0.0694633005070013,0.07053253173828125,0.18428076850043404,0.025399693328824875,0.0004623068333072776,0.0008264482418655393,0.13965509975305662,0.013997388434709365,73.04688246978377,0.17466513171137377,198865.07992285566,0.2770848479094329,0.17269883897569444,0.20237607602719906,0.4256402813946759,0.025654788547092015,0.0004620922494817663,0.000841068426767985,0.1451541702835648,0.012847858005099827,72.50681712962962,0.18428076850043404,198479.4311111111
3,5e-05,0.06129747054979953,0.055330431902850113,0.1367660183376736,0.022071313204547725,0.0004225007416386981,0.0007790668998636476,0.12067412906112032,0.01090134723914717,71.18830120613386,0.1546776271483639,198108.5283407427,0.15912077727141205,0.18202388057002314,0.16147324173538774,0.2829349320023148,0.019622811211480035,0.00042321673146000614,0.0007849211162990994,0.09697851110387731,0.009245955149332682,71.03704861111112,0.1367660183376736,198383.36
4,5e-05,0.053095488025802946,0.047379043013961224,0.11328382703993056,0.018873366159016743,0.000402503593727583,0.0007562790621446294,0.09397961180579213,0.008375869510562848,69.89595332604571,0.13070879680996908,197933.4457374477,0.14379287154586226,0.13693424931278936,0.14046101888020834,0.21109248408564815,0.01657276436134621,0.00040144116790206345,0.0007508334407099972,0.07156147144458912,0.007290050365306713,68.87192129629629,0.11328383834273727,197682.22814814816
5,5e-05,0.048340084434537585,0.050403917100694445,0.1226346277307581,0.01727096823669549,0.0003806653800444361,0.0007275009276561216,0.0802389774861196,0.007485170369367719,68.12502636769825,0.11899785481580381,197549.14438415272,0.1610820742006655,0.1530573413990162,0.15076307508680556,0.23346521448206017,0.01776482617413556,0.00038799771556147824,0.0007379319932725695,0.08826139096860533,0.0075252278645833335,67.85269097222222,0.1226346277307581,197511.7274074074
6,5e-05,0.046092870279905,0.045437308417426214,0.10968228940610532,0.016744804802393563,0.0003650258155051207,0.0007077795041214399,0.07397849602180545,0.006805108431492889,67.31620265050913,0.11347954205498412,197928.35973457113,0.14508752893518517,0.13389057300708912,0.14295179578993056,0.1888295378508391,0.01602478168628834,0.0003810141263184724,0.0007323297306343361,0.0690788099500868,0.0065341334872775604,67.72923032407408,0.10968228940610532,197475.65037037036
7,5e-05,0.04315733907074048,0.04700860482675058,0.11729180230034722,0.015501593538680773,0.00034548686118632835,0.0006755219192428782,0.06920934770895347,0.006146031318848103,67.21270855700122,0.10739060736818543,197450.48149843095,0.14572882758246528,0.15307358353226272,0.14771077473958333,0.21460214120370372,0.016874003940158422,0.00037334852748446997,0.0007261242248393871,0.07644782737449364,0.0072177703292281535,67.61075810185186,0.11729180230034722,197075.25925925927
8,5e-05,0.047781268358776136,0.046299769083658855,0.11505785906756366,0.016980209209075565,0.0003837394971579978,0.0007525491194972643,0.0774272253822582,0.00633448923482057,67.7693454391288,0.11295918962883152,197210.32848457113,0.12912646258318866,0.13236325864438658,0.16538795753761573,0.23015516493055554,0.016372222900390625,0.0003748886232022886,0.000740291674931844,0.07455410992657696,0.006992422033239294,67.98969907407407,0.11505785906756366,196847.96444444446
9,5e-05,0.043958776257347676,0.04163311428493924,0.09917640968605324,0.015562934923730011,0.0003748412856795851,0.0007521991104885613,0.06435851147982864,0.0057627505088949805,68.07095040038041,0.10288605171111588,197292.72581066945,0.12724355061848958,0.12319551821108217,0.12747730396412038,0.16839003951461226,0.014524786207411024,0.0003619239286140159,0.0007120202205799244,0.06008087158203125,0.005720806828251592,66.88777199074075,0.09917642098885995,197140.44444444444
10,5e-05,0.042198132502429465,0.042960264417860244,0.10569211606626157,0.01537912607311844,0.00033948746491283395,0.0006795063567914017,0.06563088534766161,0.005433177723545409,67.57367540303633,0.10211019157178731,197306.69295894352,0.13367557101779515,0.15315113208912037,0.12630620885778357,0.16534619366681133,0.01528264363606771,0.00035380321520346185,0.0006938431881092213,0.0665830711082176,0.006157191241229022,65.83179398148148,0.10569210476345486,196939.97037037037
11,5e-05,0.03976939408065728,0.04248322946053964,0.10367787679036458,0.014283546035676789,0.00033082202145660595,0.0006605207471846743,0.05963164430781887,0.005284852811980946,65.75548206313384,0.09922705851807005,197095.66886767783,0.12589605260778355,0.12203886809172454,0.14749282271773728,0.1859570199471933,0.015486960234465422,0.0003539486946883025,0.0006950214174058703,0.061992198802806715,0.005796674799036097,65.85905092592593,0.10367786548755788,197526.41185185185
