epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_pressure,val_vrmse_momentum_x,val_vrmse_momentum_y,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.12635813969495283,0.08424989488389757,0.2212502712673611,0.05862994347484665,0.0005382483011449401,0.000846762030145876,0.2721051979015063,0.10033659306530174,74.78790402911198,0.3890551396150719,202409.8900366109,0.2944091118706597,0.402779541015625,0.2293681957103588,0.3216212745949074,0.030926694516782406,0.0005206746525234647,0.0008505819461963795,0.18192971688729745,0.020056779649522568,74.31515046296296,0.2212502486617477,201499.73333333334
2,5e-05,0.0796644029355604,0.06801762333622685,0.1714417408130787,0.02965196699223571,0.000520061610112934,0.0008691630148795293,0.16006236383106917,0.01899887889498946,74.12606902501574,0.2051866773250961,199916.79612316945,0.19094902886284723,0.23991199634693286,0.2028000217013889,0.3131268084490741,0.025252979419849535,0.0004865346573017262,0.0008276396327548557,0.12291940194589121,0.01425684752287688,73.30167824074074,0.1714417408130787,201609.67111111112
3,5e-05,0.06283134649893479,0.05481531778971354,0.13250439679181134,0.02285652567250615,0.0004525938337864771,0.0007959878984742523,0.11563418986408282,0.012271094771109865,71.21964617453858,0.1595871674138507,199821.96463127615,0.15791709617332175,0.18035234239366318,0.15938494646990742,0.20794096770109954,0.01937454788773148,0.00045284152030944825,0.0008119484230324074,0.0853246561686198,0.009608809859664351,70.89686342592593,0.13250438548900462,199747.7925925926
4,5e-05,0.053025357734030075,0.05216016981336805,0.12588909007884838,0.018928836913736515,0.00042251564548937055,0.0007676514473280967,0.08647158704542215,0.008635268051753981,69.18722909264983,0.12963764020339216,199299.9520789749,0.16808763292100695,0.17660716869212964,0.1496345915617766,0.18697994656032987,0.018430701361762152,0.0004231554490548593,0.0007780815053869177,0.08381128381799768,0.008612760614465784,69.14641203703704,0.12588909007884838,198106.3585185185
5,5e-05,0.049973260646366424,0.049906627513744216,0.12270754213686343,0.017734699810477105,0.00040633369763129327,0.0007586575944157352,0.07947917064363487,0.007865976588995387,68.31904290809791,0.12190753913574139,198648.12911872385,0.15839577003761574,0.15614838776765047,0.16280860053168403,0.17707060637297453,0.017609724821867765,0.00040788911007068774,0.0007632881623727304,0.07934963650173611,0.007695228435375072,68.07983796296297,0.12270753083405671,198237.1437037037
6,5e-05,0.04845830183924336,0.05068563390661169,0.12673999927662036,0.017516465510327414,0.0003866218051463388,0.0007362355476884488,0.07740497040449326,0.007488493265965993,67.64845273484745,0.1188616174425166,198844.56766474896,0.1584568391022859,0.16204125298394098,0.153532793963397,0.20299119737413193,0.017797091448748553,0.0003992099232143826,0.0007564655056706181,0.08618696989836516,0.0071019744873046875,68.22400462962963,0.12673999927662036,199185.39851851852
7,5e-05,0.04737354242768933,0.047621815999348956,0.11611712420428241,0.017060446684934574,0.00036841557504959917,0.0007090553751432826,0.07928211058034058,0.007064078642234643,67.94070379504599,0.11839516769517915,198615.4693710774,0.13642304597077545,0.15576794659649884,0.16166735613787617,0.1705836656358507,0.016797524911385996,0.0003920796182420519,0.0007452053493923612,0.07480207090024595,0.007297351272017867,67.66512731481481,0.11611712420428241,199069.4874074074
8,5e-05,0.048149943648872574,0.04599781177662037,0.1106785300925926,0.01704715206151415,0.0004025242383135698,0.00077726098654703,0.07317719524375564,0.006599507571264291,67.67272175106544,0.11302872380109262,198703.63506799162,0.13168635615596064,0.1668858167860243,0.15005269368489582,0.1571538402416088,0.016218203791865594,0.0003853689299689399,0.0007438999635201914,0.07007441767939815,0.006659610889576099,67.35548032407408,0.1106785300925926,198917.6414814815
9,5e-05,0.04599147238943991,0.04505442018862124,0.11192276566116899,0.016388718387069158,0.00038830899853007424,0.0007609226227450792,0.06791535980033077,0.006196793776675747,67.81950566758671,0.10869977331357895,198883.24735224896,0.1379597755714699,0.18811644377531828,0.1401501351815683,0.14994947645399306,0.015993348580819588,0.0003732442855834961,0.0007230707451149269,0.06932571411132812,0.006222006479899089,66.22730902777778,0.11192276566116899,198305.97925925927
10,5e-05,0.04257187260525246,0.047168737340856484,0.11905082420066551,0.015512967284449286,0.0003512449648893555,0.0006920153153480603,0.06331104526459921,0.005518882718545124,67.23097759709698,0.10267778190639977,198661.5764578975,0.12898818404586226,0.16429300944010417,0.1303965476707176,0.21025157787181714,0.017090859589753326,0.00037028116208535656,0.0007170288651077836,0.0770921156141493,0.007589918772379557,66.20126157407407,0.11905083550347222,198497.50518518517
11,5e-05,0.041220149560149556,0.0431278313530816,0.10440282751012732,0.0148476619564706,0.0003453867576524534,0.0006836435340439006,0.06068766266731039,0.005632671975690451,66.18794821096763,0.10324415325276771,198548.5479537134,0.13292286060474537,0.16530506275318288,0.12500764069733797,0.14661610921223958,0.015302838925962094,0.00036586529678768584,0.0007152409465224655,0.06354484840675637,0.00591801678692853,65.99219907407408,0.10440282751012732,198144.52148148147
12,5e-05,0.04431952595336667,0.04167865894458912,0.1012043931749132,0.015808238947927704,0.0003786329892423873,0.0007567544196215476,0.06386424794356693,0.005698157653648983,66.9540111509826,0.10297796123166214,199200.8466592573,0.12927006474247685,0.13453000669126158,0.12368852403428819,0.14970566361038773,0.014725408200864439,0.000363408746542754,0.00071391260182416,0.058552110460069445,0.005801759295993381,66.22934606481482,0.1012043931749132,198192.28444444443
13,5e-05,0.0415736432498999,0.044526918199327255,0.11273867006655093,0.014999656763636978,0.00034195665940933777,0.0006859811610525433,0.0631743557283569,0.005433899962253651,66.3644111266196,0.1015608313855828,198444.92661480125,0.12797402841073496,0.16145539460358796,0.12240641276041667,0.18765414767795138,0.0161315593013057,0.000358020199669732,0.0007040165971826624,0.06996232209382233,0.006842170997902199,65.86122685185185,0.11273867006655093,198398.77925925926
14,4.603315856985009e-05,0.03939196500424529,0.041582169709382236,0.10154042561848958,0.014408150229945967,0.00032035775795899386,0.0006484118271954795,0.05977284459389403,0.005170379473075707,66.92367175433426,0.09758170060501688,198655.0361532427,0.13639877884476273,0.13562781439887153,0.12871672453703703,0.1444989917896412,0.014939395763255932,0.0003527843952178955,0.0006962573969805682,0.06002370763708044,0.005683488845825195,65.43983796296297,0.1015404369212963,198385.8962962963
15,3.396144383332204e-05,0.03725504064951949,0.03883745829264323,0.09331720422815394,0.013311279188475288,0.0003257215769942366,0.0006648141187045565,0.051051216020743716,0.004566396130677546,65.88114586036076,0.0896003111908563,198224.44266474896,0.12230399802879051,0.12596970169632524,0.11728708902994792,0.13087987829137732,0.013761073924877026,0.0003460020489162869,0.0006876511927004213,0.05184187147352431,0.005045404787416811,64.59977430555556,0.09331719857675058,198134.32888888888
16,1.852907412753971e-05,0.03506838751734706,0.03665142483181424,0.08683494285300926,0.012337792891751834,0.00031394672142809495,0.0006449110906993597,0.04688838835041892,0.0043152399891091195,64.47730921501893,0.08634965825108928,197857.96875,0.11034965232566551,0.111122967755353,0.11033273202401621,0.12156500922309028,0.012757829736780238,0.0003395547248699047,0.0006781852686846698,0.04610572814941406,0.004612721337212457,64.11295138888889,0.08683494285300926,197760.67555555556
17,5.865366264235065e-06,0.03405668720345804,0.03611843815556279,0.08529019391095197,0.011981797067031544,0.00031185750807133627,0.0006483890935505846,0.04321343018420072,0.003982414885046093,63.455649435769566,0.08190506429189356,197765.91537003138,0.10816394947193288,0.10944168655960648,0.10813556812427662,0.11834023934823495,0.012526468347620081,0.0003372748692830404,0.0006753497653537326,0.044854860658998845,0.004499064198246709,63.818078703703705,0.08529019956235533,197473.83703703704
18,1e-06,0.03373323658005837,0.036043523152669274,0.08506755687572339,0.011748876273593082,0.00031320637818227706,0.0006502594319480595,0.04216027347113797,0.00400763450806111,62.993149992811134,0.0814118996500252,197444.85185669456,0.10792272497106481,0.10895426432291666,0.10793138292100694,0.11793249059606481,0.01249542236328125,0.0003367734838415075,0.0006744710604349772,0.044729478624131944,0.004480995602077908,63.76636574074074,0.08506755687572339,197398.12740740742
