epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.0815763067372268,0.05487523396809896,0.1774699232313368,0.04339682100200441,0.00017027029725301025,0.00025561535721292227,0.19777313223942553,0.05302775679273087,76.18082403238847,0.2819974188494134,287674370.21665794,0.26633768717447914,0.24280160409432872,0.1489426902488426,0.3624933313440393,0.025135407624421298,0.0001696045200030009,0.0002523185588695385,0.14173065185546874,0.015047179328070747,75.31616319444444,0.17746993453414353,1318781898.9037037
2,5e-05,0.10915960742659461,0.17944515652126736,0.6003752531828703,0.05062478852641445,0.0004368721275543797,0.0008387252498930469,0.24460807654648145,0.07409676585237351,84.47906508505594,0.3565881538310061,869865.3819299163,0.6323178439670138,0.940978099681713,0.5578528284143518,1.2526911530671296,0.09005537810149017,0.00040456515771371347,0.0005395374474702058,0.46107688621238424,0.17893752486617476,111.94832175925926,0.6003752983940972,1585989.4992592593
3,5e-05,0.06788145138971725,0.03890556335449219,0.12151853208188658,0.03163836903823345,0.00023255005271589292,0.00030350363490336854,0.16410385764293592,0.027940466688267857,83.53687760420922,0.217365960734721,900245.7621600418,0.15082629168475115,0.1625569435402199,0.1321059728551794,0.25511766221788196,0.01806382214581525,0.00016947496820379188,0.00024024243708010073,0.0824532628942419,0.007621344813594112,74.01149305555556,0.12151853208188658,830113.3748148148
4,5e-05,0.03702461463788906,0.03236966168438947,0.10017546477141204,0.017240621234781293,0.00015752766440598322,0.00023351827001811615,0.07938406507340436,0.006367113425641878,72.8519579675906,0.1169632434392948,823600.3895135983,0.13251302083333333,0.11952180085358796,0.12237205222800926,0.20706931785300925,0.014925881844979746,0.00015300176761768482,0.0002324597923843949,0.06529126767758969,0.005309473673502604,71.82666666666667,0.10017546477141204,820867.9822222223
5,5e-05,0.03201230093797817,0.028258144237377027,0.08928697374131944,0.01480921802001861,0.00014415770314035132,0.00023047078958507544,0.06663464901337564,0.0050387067026673,70.83952981956833,0.10102952641890887,816378.1822698745,0.10448993824146412,0.10269009060329862,0.12138596146195023,0.1821548800998264,0.013203144779911748,0.00013956255382961696,0.0002125669629485519,0.05384580258969907,0.004283273131759078,69.36979166666667,0.08928697374131944,814300.4444444445
6,5e-05,0.029988908083236555,0.031450302689163774,0.10395527027271412,0.014132357569738723,0.00013299342328830039,0.0002082947822214295,0.06137919363616401,0.004524001391861728,68.79553359123453,0.0951490713493844,814761.9845711297,0.15129737006293403,0.12492856626157407,0.10294080946180556,0.22082847312644677,0.015203104372377749,0.00013809552899113407,0.00021333760685390897,0.0622828052662037,0.00472351038897479,69.42799189814815,0.10395527027271412,820608.2844444445
7,5e-05,0.0274610310407145,0.026363115663881654,0.08392279730902778,0.013066056873220716,0.00012465605994813972,0.0001965991302111654,0.054414472694676294,0.004003968198927875,68.50196343585537,0.08952155465719965,812660.2558838913,0.09546742757161458,0.10580239755135995,0.10964103416160301,0.17364739312065972,0.012253888448079427,0.00013172445473847566,0.0002085634955653438,0.050153350830078124,0.0037506258929217305,68.14644097222222,0.08392279730902778,811331.1288888889
8,5e-05,0.028093658337977452,0.031105047155309606,0.09931122956452547,0.013099892333804564,0.00013695884940554765,0.0002188760459529891,0.05430548784623086,0.00373357634165297,68.42455856770152,0.08636700432498211,810322.1435669456,0.1014170554832176,0.14760378237123842,0.12909050835503472,0.1886209445529514,0.015257534450954862,0.00013052640137849032,0.0002102440595626831,0.06214129412615741,0.004327415536951136,68.96641203703703,0.09931122956452547,806767.7866666666
9,5e-05,0.027632292873463807,0.024029586226851852,0.07614760787398726,0.013157592401021476,0.00013198217230717878,0.00021332439390595582,0.052503944565561525,0.003765388762102965,68.42247280615643,0.08651197161603423,810060.7294717573,0.09121271204065394,0.09105696501555266,0.10760732014973959,0.13952216254340277,0.011233913280345776,0.0001236954552155954,0.00019869822042959707,0.0440726810031467,0.0031209401731137876,66.69513310185185,0.07614761352539062,812862.957037037
10,5e-05,0.025941089164878722,0.027272090205439813,0.09041802300347222,0.01247539919475678,0.00011829719248617915,0.0001919426684745117,0.05033886731917888,0.003262589292047413,67.95540460881828,0.08154558575084768,810032.4867939331,0.10619063765914352,0.09812846996166089,0.10505538375289351,0.2217279052734375,0.013081783718532986,0.0001225922836197747,0.00019631385803222656,0.053737956859447336,0.003565681598804615,66.89075231481482,0.09041802300347222,809190.8740740741
11,5e-05,0.02351411455018625,0.02344550380000362,0.07421161792896412,0.011177343617887022,0.00011453523090802142,0.00018527342169047842,0.04406672728610338,0.003021938780860422,65.78086295985777,0.07715658869235835,807421.7506537657,0.09201777705439815,0.09258428502965857,0.10372526945891204,0.1287193128797743,0.010883151866771556,0.00011925437936076411,0.00019421844570725053,0.043997554072627315,0.002935097659075702,65.28313657407408,0.07421161792896412,805212.3496296296
12,5e-05,0.024942973337358322,0.025322830765335647,0.0824005126953125,0.011813075529123076,0.0001238314886565212,0.00020466744546987584,0.046255487527807386,0.0030298797904696924,66.18789754253052,0.07651479654092046,808651.4711035565,0.09461105911820022,0.11894692880135996,0.09863654242621528,0.15441708034939236,0.011873989811650028,0.00011776840245282209,0.0001923659333476314,0.050402809425636574,0.003376077722620081,65.78065972222223,0.08240050704390914,807537.4933333333
13,5e-05,0.024504670357939524,0.022863704540111402,0.07652519508644387,0.011644291045596222,0.00011482813017978686,0.0001911017419839314,0.047459817207009224,0.003080785025113796,65.97985577284042,0.07768801434129227,806484.497123431,0.0913185289171007,0.08710867987738716,0.09036679868344907,0.16739574291087964,0.010978866859718606,0.0001150867674085829,0.0001896455552842882,0.04086999398690683,0.002819706952130353,64.9435300925926,0.07652518943504051,804284.6814814815
14,4.603315856985009e-05,0.02304495216316103,0.02280325006555628,0.07073131985134548,0.01084069713412406,0.00011160939613768027,0.0001919427127904973,0.04415856619759085,0.0027609579732727307,66.89087629916777,0.07286469934110736,803589.1074790795,0.09021717212818287,0.0855124862105758,0.08551804154007524,0.1390740062572338,0.011011397750289352,0.0001198989815182156,0.00020381508050141512,0.03864600287543403,0.0026706628446225766,66.0192650462963,0.07073131985134548,808622.4592592593
15,3.396144383332204e-05,0.022376678351636307,0.021988652547200522,0.06884149622034144,0.010601386724519213,0.00011230454477919928,0.00019357031963563218,0.041067094483634915,0.0026798801940854126,66.22497157970732,0.07106451326240805,806057.941291841,0.07978214970341435,0.08710586547851562,0.0995461584020544,0.12266189010054977,0.010141699049207899,0.00011229281072263364,0.00018847041659884983,0.04154875861273871,0.0026548101283885815,64.0602025462963,0.06884149622034144,808586.4296296296
16,1.852907412753971e-05,0.019162901982111725,0.01878770898889612,0.05894606978804977,0.0089197984258995,0.00010524161376251221,0.00017834371013367517,0.03320681836814561,0.0022178433180852913,63.038467271557415,0.06148709714311374,807206.9988232218,0.07321871157045717,0.07396337438512732,0.07382482458043982,0.10137720178674768,0.008754822059913918,0.00010826911087389346,0.00018129141242415818,0.030796212090386285,0.002148136915983977,62.16098379629629,0.05894606978804977,806761.7185185185
17,5.865366264235065e-06,0.01850036840309159,0.018558716950593173,0.058212709780092596,0.008653376617266263,0.00010480868772012369,0.0001786387066379092,0.03071038131933332,0.0020575494696405644,61.39572770026937,0.05826378133436314,807036.5054916318,0.07209051061559607,0.0737566234447338,0.07331800672743055,0.09806757043909144,0.00863554354067202,0.0001073590804029394,0.00018024267973723235,0.030368135240342882,0.0020915001410025135,61.757667824074076,0.058212709780092596,805957.9733333334
18,1e-06,0.018395228437089583,0.01843597412109375,0.05770794338650174,0.00855017828615772,0.00010622496919983981,0.00017994924306172629,0.030225344033420833,0.0020871610072866146,60.92731711255956,0.058152620604643636,806476.714958159,0.07178672507957176,0.07267218695746527,0.0721677992078993,0.09733329490379052,0.008578609183982566,0.00010719026680345888,0.00018009008080871017,0.029985676518192998,0.0020809479112978333,61.69640625,0.05770794338650174,806141.7244444444
