epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.11217601035982683,0.0845411964699074,0.2234240044487847,0.05146327559255594,0.0004514711250306935,0.0007770486044894493,0.2542611772046428,0.07354821433083283,72.99833039160055,0.3486753921940237,201798.76843619248,0.03205170808015046,0.0005201941066318088,0.0009119170683401602,0.17653179027416088,0.023619107846860533,75.8626736111111,0.2234240044487847,201557.2859259259
2,5e-05,0.06792850432543387,0.06927335385923032,0.17203441478587964,0.024707008010968878,0.00046916404577516545,0.0008326101579392138,0.13175528780187024,0.014527585715928337,73.51394504882302,0.1700866266414835,201633.10139905856,0.024494038334599247,0.000464144680235121,0.0008282249062149613,0.14381389476634837,0.012215604428891783,72.34302662037037,0.17203442608868635,201442.4651851852
3,5e-05,0.05749863653471031,0.05558823196976273,0.1298378273292824,0.02060629993727797,0.000429911844035038,0.0007802577591932255,0.10264495838137351,0.010166890451598866,71.14857629752059,0.1398929592502541,201533.00199398535,0.019431902567545574,0.000445636996516475,0.000825201846935131,0.09249653568974248,0.009125133090549045,71.2957175925926,0.12983783863208911,201384.8177777778
4,5e-05,0.052774577797098265,0.05193700719762732,0.12017284252025463,0.018633302750268553,0.00041827795869923425,0.0007704778755799921,0.08818251056651191,0.008702301081254393,70.18943057997954,0.12826134395399852,201335.8431616109,0.018049259892216434,0.0004275785552130805,0.0007918328709072537,0.08339210227683738,0.008236787584092882,70.28950231481481,0.12017284252025463,201205.47555555555
5,5e-05,0.05004162539798127,0.05234763816550926,0.12162547923900463,0.017666023871939333,0.0004019846412489512,0.0007565765773757585,0.0818424595200367,0.007553501483286774,70.32647906187688,0.11881202948766773,201406.7736336297,0.018175847088849104,0.0004283556231745967,0.0008243761239228425,0.08502675939489295,0.008195490660490813,70.39596643518519,0.12162545663339121,201147.09333333332
6,5e-05,0.05190413769638501,0.050108523898654514,0.11822079128689236,0.01803107676193679,0.00042578647053061755,0.000807738187647134,0.08389157929679839,0.007870107390391777,69.48715018428021,0.12064073109321265,201127.69103033474,0.01760887145996094,0.00041358612201831957,0.0007731004997535988,0.0788023206922743,0.007816691222014251,69.48425925925926,0.11822079128689236,201055.19407407407
7,5e-05,0.045600712330520904,0.05049128779658565,0.11906374330873842,0.016651459099631366,0.0003462943299920926,0.0006647035714377887,0.07756357624441011,0.0073553012005953605,69.11005452686773,0.11800307470712826,201341.70675339957,0.01776439808033131,0.00040741209630612975,0.0007713009693004467,0.08237522266529225,0.007693556326406973,69.55585069444444,0.11906374330873842,200973.3925925926
8,5e-05,0.04377139867361339,0.04747386791087963,0.11095089382595485,0.015802741086278032,0.00034363851618116954,0.0006593030990820408,0.07191154335831998,0.006885032150037119,68.34996502768544,0.11238571412269041,201287.40677301254,0.016590716044108073,0.0003977471810800058,0.0007547644332603172,0.07330529672128183,0.007084602073386863,68.3397337962963,0.11095088252314815,200982.89777777778
9,5e-05,0.04574626715070564,0.05094532719364873,0.11486887613932292,0.015962013532992095,0.00038840865174895794,0.0007497201185883397,0.06909213779361677,0.006334307178792594,69.26702785092917,0.10539531821159015,201195.1898208682,0.01764537669994213,0.00042323969028614184,0.0008285865960297761,0.08091973763925057,0.0073380625689471205,70.61549768518519,0.1148688648365162,200945.77777777778
10,5e-05,0.04616470565088093,0.046552601567021124,0.10977300573278356,0.016083504336352254,0.0003858448445354998,0.0007545286238131529,0.0719263921472318,0.006697991028989209,68.14107108016393,0.1095147767263975,200846.24859440376,0.016509615580240885,0.00038854395901715316,0.0007418000256573712,0.07077194779007523,0.006810693387632016,67.70049768518518,0.10977299442997686,200917.9022222222
11,5e-05,0.0459097734638821,0.04557158576117622,0.10641341597945601,0.01654446455182422,0.00036692412313436856,0.0007099482734095214,0.07346068254075788,0.006903679176354508,66.7412261404253,0.11413499037637745,200994.84620162135,0.016013509962293837,0.0003917472892337375,0.0007479216434337475,0.06647141068070023,0.006484614478217231,67.92445601851851,0.10641341597945601,200799.9051851852
12,4.2824116139070415e-05,0.044450753279786294,0.04588556925455729,0.10722679985894097,0.015872549322125926,0.0003591991161914216,0.0007029881686201589,0.07078831727035874,0.0059634339859296085,67.63421349146375,0.10551832914820027,200777.8528046548,0.01605147609004268,0.0003872096980059588,0.000741281509399414,0.06982404920789931,0.006612554479528357,67.70039930555555,0.10722679985894097,200733.5348148148
13,2.5500000000000003e-05,0.04310831246862507,0.042560571741174766,0.09816627785011574,0.014827290058884161,0.000385476377109683,0.0007570019405339815,0.06004802240487422,0.005375924718928636,67.1083642728159,0.09614571335113697,200854.6941030335,0.014817301432291667,0.00037572706187212907,0.000724871246903031,0.05971276177300347,0.005809319107620804,66.78082175925925,0.09816627785011574,200771.7451851852
14,8.175883860929588e-06,0.03636902902435091,0.04158393012152778,0.09573061342592593,0.01299108652725317,0.00031128922944865747,0.000623385906937869,0.052089871846482345,0.004951239006289877,65.97157474342251,0.09101354374032015,201049.20851856694,0.014430816085250289,0.0003719537346451371,0.0007197126194282814,0.057036172372323495,0.005598186916775174,66.47270254629629,0.09573060212311921,200771.0814814815
15,1e-06,0.03617237945219744,0.04134799815990307,0.09518638328269675,0.0128376599053938,0.0003126214619979695,0.0006243192928876809,0.05135764175379127,0.004716584497914653,66.43422738877301,0.08835596766977505,201003.6294456067,0.01434949239095052,0.0003707747989230686,0.0007177420015688295,0.0563984454119647,0.005551858124909577,66.39497106481481,0.09518639458550347,200785.04296296297
