epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_ssim,train_mlw,val_rmse,val_h1,val_ssim,val_mlw
1,4.95534065048512e-05,0.11201380833761307,0.08012808457844788,0.2062133737625899,0.04534695002447159,0.0005740310771415958,0.2222228522517691,79.87185051650681,0.03046287855340375,0.000555234612593604,0.16555067980730975,76.78644740917065
2,4.677317693077829e-05,0.05572417714812298,0.04991820773592702,0.14528568273341214,0.02274374966655768,0.0004924100756601886,0.10993475376562095,74.42426267328621,0.021018121464660873,0.00046992753337286153,0.09633361728103072,71.89875950566045
3,4.1727227888785034e-05,0.049289355904475696,0.04631216304169761,0.13490747667573116,0.020480451177002933,0.00046903644801334174,0.09602967846094315,71.89147119242776,0.019590474584450325,0.00045522521853854416,0.08907229123292146,71.1752532224302
4,3.4952982868356805e-05,0.04323240021603166,0.04691396045188109,0.13072212725325866,0.018547272181433577,0.0004380775415723836,0.08228375684766091,70.81119259431273,0.019436514345170172,0.0004397008137965275,0.09159148322211372,70.16575698852539
5,2.7171939127434433e-05,0.04049755215267826,0.038576074198440266,0.11710314535432392,0.01778679432748782,0.000426242454168783,0.0757025229008128,70.13129877944371,0.017142034435851706,0.0004287607296612771,0.07144679634659379,69.26032786051432
