epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_pressure,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.14463801552623384,0.08093538637514468,0.20757371690538196,0.07319201564096756,0.0005525415105858849,0.0008462642241439924,0.29212615230592226,0.14216426376518346,73.85745712503729,0.4855828236118271,201357.24506406905,0.20333414713541667,0.188588708948206,0.3567739755135995,0.3210975025318287,0.030357790346498843,0.0005452205958189788,0.0008989762376855921,0.15544379340277778,0.020875799391004774,75.4586400462963,0.20757369429976852,200161.63555555555
2,5e-05,0.08147599898029322,0.08746621591073496,0.2548914478443287,0.029642822257940616,0.0005350998052683098,0.0009011387216929377,0.16718790284260546,0.019160748775035267,74.77720881505991,0.208164378673337,199710.1811911611,0.20269965277777777,0.22599794741030094,0.4675226056134259,0.3730903003833912,0.03391513118037471,0.0004946761661105685,0.0008439365139713994,0.19211516203703705,0.028079760516131366,73.35456597222222,0.2548914252387153,200334.98074074075
3,5e-05,0.06429383962387882,0.05947907624421296,0.15247385660807292,0.02327529652429955,0.0004606654863503738,0.0008049068278181431,0.1199017887833727,0.012867483384439635,71.53642927353353,0.1627165513993806,199426.59688807532,0.17436578821252893,0.15991317183883103,0.23914738407841435,0.22516246654369212,0.022158793696650754,0.00045733226670159236,0.000807289547390408,0.0963577722620081,0.010995479159884983,70.62068287037037,0.15247386791087963,201666.84444444443
4,5e-05,0.055887765812231656,0.05417847244827836,0.12574537489149307,0.019887487029960713,0.0004335865333057303,0.0007851121101803492,0.09547300967212502,0.00937023085530333,69.851034747008,0.1371442798182181,199115.39088650627,0.1590440990306713,0.15326021547670718,0.17890432852285879,0.18060208921079282,0.018217218187120226,0.00045735615271109124,0.0008563152949015299,0.08728963216145834,0.00865179768315068,71.46936342592592,0.12574538619429976,198734.63703703703
5,5e-05,0.05213902801544129,0.04972786232277199,0.1212513111255787,0.01848918105530159,0.0004140075466039284,0.0007707902595444527,0.0863297953266479,0.008293587168889066,69.0460951497864,0.12744652723823383,199066.40847280333,0.1808321804470486,0.12918642397280092,0.1675479352032697,0.1780069308810764,0.017473116274233216,0.0004123111124391909,0.0007663256150704843,0.07759459318938079,0.007680098922164352,68.34568865740741,0.121251299822772,199268.85925925925
6,5e-05,0.04927619491220612,0.0482636797869647,0.11663566306785302,0.017727287447715186,0.00039113929677658533,0.0007400475632223724,0.07994628014923638,0.007521712755059597,67.63911061306878,0.12023543601536102,198658.04736532428,0.15641699896918404,0.13123982747395832,0.16837947139033566,0.16950847484447337,0.017063564724392362,0.00040663895783600985,0.0007665586471557617,0.07245441012912326,0.007448931799994575,68.0880613425926,0.11663567437065972,197707.16444444444
7,5e-05,0.04661061964679712,0.0468871420401114,0.11355330855758101,0.016673841964254723,0.0003729121048229112,0.0007123869765876495,0.07527448043663632,0.006979610755353792,67.90520734268253,0.11585768924005112,198300.6777915795,0.15065723560474537,0.1315783578378183,0.15936764187282987,0.16682341399016204,0.01639446258544922,0.0003959952460394965,0.0007508808595162851,0.07128612377025463,0.00678730222913954,67.47804976851852,0.11355330855758101,198199.27703703704
8,5e-05,0.04805483175519558,0.047486210575810185,0.1151938205295139,0.01691047768166998,0.00040649469830799083,0.0007812312036445276,0.07213078956723712,0.006563541405370544,67.59590941393226,0.11207567090675172,197961.17390167364,0.1455876668294271,0.13443572998046874,0.17510727493851272,0.16682056568287038,0.01689263661702474,0.00038430818804988153,0.0007360148429870606,0.07585442437065973,0.006561575995551215,67.01950810185186,0.11519380922670718,198404.24296296298
9,5e-05,0.045914288201061505,0.04249969482421875,0.10185092502170139,0.016498436674935488,0.0003891318394383359,0.0007541382266011409,0.06639506078664228,0.00626153639170914,67.24823341210018,0.10843984632671004,197911.7559165795,0.13421398021556713,0.11845742684823496,0.14058475070529514,0.14612109148943866,0.014918718691225404,0.00037566401340343337,0.0007253809769948323,0.05865183512369792,0.005966873875370732,66.39109953703704,0.10185092502170139,198176.01185185186
10,5e-05,0.043830565546121,0.048684641520182294,0.12322707564742477,0.015924712777952175,0.000355615601253958,0.0006957997894863652,0.06750048254324302,0.005699278545180125,67.31585655052791,0.10572575139871576,197810.86437630752,0.15384928385416666,0.1280426025390625,0.1877069996021412,0.18719414605034723,0.017220806545681422,0.00037593656116061743,0.0007284381213011565,0.08444669370298033,0.007414618598090277,66.6143287037037,0.12322706434461805,197498.27555555556
11,5e-05,0.042326496345104034,0.043482188472041376,0.10634689896195024,0.015178368514049096,0.0003495476212155797,0.0006876547394794478,0.06447164284135508,0.005855201552602537,66.45914094517919,0.10535974155675043,197534.62856302303,0.14952884250217013,0.12428118670428241,0.15959378842954283,0.13684799759476274,0.015524728563096788,0.00036968674924638535,0.0007194889033282245,0.06315415558991609,0.006134952969021268,66.17888310185185,0.10634689896195024,198425.33925925926
12,5e-05,0.04532461394906574,0.04464782432273582,0.109244463885272,0.016072318904300584,0.000384411861160367,0.0007685024166679963,0.06687801053833263,0.005747050296312595,67.38485064167358,0.10427130179705729,198278.8921286611,0.15684104636863425,0.1365639693648727,0.1395491084346065,0.16136876989293983,0.01584739402488426,0.0003664735511497215,0.0007183625079967358,0.06984503851996528,0.006225731461136429,66.40564814814815,0.109244463885272,197328.11851851852
13,5e-05,0.0421726884579512,0.04274482444480614,0.10680128309461806,0.015213194349975517,0.00034743095819730186,0.0006946522984888278,0.0639196378665988,0.005588086454439363,66.69779219687234,0.10297600254728205,197857.52304524058,0.1290250085901331,0.12366519504123263,0.156320879900897,0.14657835783781828,0.015569548430266204,0.00036026407171178745,0.0007052528858184815,0.06108048615632234,0.006175192373770255,65.79090277777777,0.10680128309461806,198100.94222222222
14,4.603315856985009e-05,0.04016417903030704,0.04140397813585069,0.0996903709129051,0.014774002353017799,0.0003240723965214122,0.0006532632826663712,0.06124371003406317,0.005315380116386892,67.18048937649907,0.09979780148480975,198125.5561584728,0.15218800862630208,0.11795124195240161,0.14107845730251736,0.13217916983145256,0.014727257622612847,0.0003557441411194978,0.0006993175435949254,0.05926345260054977,0.0056498753582989725,65.55740740740741,0.0996903709129051,198699.69777777776
15,3.396144383332204e-05,0.03783761242611108,0.03876010753490307,0.09191100509078415,0.013572574525907885,0.00032804465465059935,0.0006665284347224873,0.05241869982316404,0.004653867942019985,66.00379397978843,0.09126139408032016,197537.89069037657,0.11526221381293403,0.11389597574869792,0.12898413764105904,0.12711883544921876,0.013569645351833767,0.00034826764353999384,0.0006896824306911893,0.05184717814127604,0.00500260176482024,64.69631944444444,0.0919110107421875,197401.46962962963
16,1.852907412753971e-05,0.03517666589673297,0.03694782398365162,0.0875696705005787,0.012312069740078205,0.00031652924819971145,0.0006472995190215366,0.04692089008985703,0.004359876136899493,64.59097037854055,0.08636625184556743,196903.61176124477,0.10661798547815393,0.10620246039496528,0.12024694372106481,0.12120048240379051,0.012837294119375724,0.00034156938393910724,0.0006801718252676505,0.046880405567310476,0.004669705143681279,64.16482060185186,0.08756965919777199,196854.26962962962
17,5.865366264235065e-06,0.03455229405465703,0.03641387374312789,0.08600584242078993,0.01214759427202655,0.00031557439872957724,0.0006518841874026769,0.04417319764153229,0.0040774723226555225,63.62161054571303,0.08298867831598952,197051.522979864,0.10440417254412616,0.10470905445240163,0.11838298656322338,0.11745578342013889,0.01262622974537037,0.0003392160159570199,0.0006767604527650056,0.04551227710865162,0.004564769886158131,63.955474537037034,0.08600583676938657,196767.86962962963
18,1e-06,0.03418172182365239,0.03633556789822048,0.08580663610387732,0.0118984564993663,0.0003171078342890027,0.0006541280961747936,0.04285248889583923,0.004100021582767056,63.17686442450998,0.08247556439776238,196862.4033080544,0.1040311121057581,0.10454291449652778,0.11801337348090278,0.11707988597728589,0.012596992210105613,0.0003388018078274197,0.000676034998010706,0.04532323484067564,0.004547299279106988,63.90120949074074,0.08580663610387732,196724.8711111111
