epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_pressure,val_vrmse_momentum_x,val_vrmse_momentum_y,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.1429592486759297,0.07896202935112848,0.20090155707465276,0.0725169768888176,0.0005462017336717261,0.0008411466248282339,0.2875478918582326,0.1412359052123385,73.5665956521134,0.4803513081502715,201744.3990912657,0.18395713523582177,0.25606065538194445,0.3273224103009259,0.29567717375578706,0.028683256926359955,0.0005430931956679733,0.0009034874704149034,0.15416072139033565,0.018877590320728443,75.20151041666666,0.20090153446903936,200958.88592592592
2,5e-05,0.08035118019823997,0.08618820190429688,0.23703800907841435,0.029663349587517054,0.0005237900435508796,0.0008845525672620006,0.16332218287878955,0.018615834882568613,74.26189675590483,0.20559303040097948,200126.3990258891,0.21459922507957177,0.24408501519097223,0.40803037290219907,0.3694237603081597,0.0320020435474537,0.0004839042822519938,0.0008376623083043982,0.19993966561776622,0.019450644033926504,72.5300173611111,0.2370380316840278,198852.74074074073
3,5e-05,0.06298631601129116,0.06038847181532118,0.1498095703125,0.02271417315823326,0.00044860571849111006,0.0007926160107261346,0.1189457104545258,0.01195178608016489,71.1000493101495,0.1586069484790748,199141.4850287657,0.1621013726128472,0.18780646430121528,0.23023469147858797,0.22221381293402778,0.02117291768391927,0.00044977894535771124,0.000807986612673159,0.11151072184244791,0.010625188615587023,70.49711805555556,0.1498095703125,199699.60296296296
4,5e-05,0.05540427489003564,0.05643520779079861,0.13387099654586226,0.01987007391155857,0.0004231941664188697,0.000771311921499131,0.09582994772300561,0.009263010578674253,69.56105247401793,0.13638896027494174,199138.3967377092,0.14525368019386575,0.19557657877604168,0.19652034053096065,0.1935108326099537,0.019523833945945458,0.00044488831802650736,0.0008373842415986237,0.09777972186053241,0.009164212544759114,70.94827546296297,0.13387098524305555,198684.44444444444
5,5e-05,0.05061560237261946,0.048247748480902776,0.11665912769458912,0.01795228889794576,0.00040649309050354244,0.0007632750005971324,0.08225772296035638,0.007792608882592812,68.8649960841095,0.12362516619982081,198411.22133237447,0.1317855382848669,0.13975920500578703,0.16044203016493055,0.17922770182291667,0.016897835908112703,0.0004083899656931559,0.0007638661949722855,0.07286940963179978,0.00752642101711697,67.89857060185186,0.11665912769458912,198012.39703703704
6,5e-05,0.04997912581491763,0.055422165482132524,0.13996297200520832,0.018190586729516824,0.0003862639027292058,0.000733548384170725,0.08316895702393982,0.007667342239842754,67.63927895454184,0.1235670436828331,198470.11480125523,0.14260956940827546,0.20757416901765047,0.23285490813078705,0.1864487146448206,0.019787497343840423,0.00039942776715313946,0.0007533551145482946,0.10442187273943866,0.00834243067988643,68.05564814814815,0.13996297200520832,198577.68296296295
7,5e-05,0.045850550465550755,0.047705908881293405,0.11783632631655093,0.01650257846028797,0.0003664542041296688,0.0007040033497676282,0.07350174278394947,0.006885384665373479,67.93640827833359,0.11489827902091347,198049.6465415795,0.1417518107096354,0.14622516773365163,0.1686176441333912,0.16880175555193866,0.016836601539894386,0.0003901473681131999,0.0007422920509620949,0.07574625651041667,0.007314118985776548,67.73930555555556,0.11783633761935763,198201.10222222222
8,5e-05,0.04736357336770353,0.046692143192997686,0.1143098619249132,0.016707363611508052,0.00040119698796862324,0.000773435102778174,0.07064239961332856,0.006454328363410599,67.56897976607956,0.11035159605099316,198003.73463650627,0.12733228895399307,0.14280890570746527,0.17894504123263888,0.1641043429904514,0.01687032346372251,0.000378981387173688,0.0007271558267098886,0.07248498422128183,0.00685243323997215,66.60960069444444,0.1143098619249132,198129.04296296297
9,5e-05,0.04599143948238421,0.0475963451244213,0.11758466932508681,0.016596921211572278,0.0003831091696996409,0.0007447845970313911,0.06826039699829772,0.006312701118541063,67.10027170380788,0.10952678821965366,198139.07995554394,0.1308425451208044,0.13410866066261573,0.19798107005931712,0.15488531042028356,0.0168132570054796,0.0003751961390177409,0.0007237520041289153,0.08015518753616899,0.007257807696307147,66.70991898148148,0.11758466932508681,198144.3437037037
10,5e-05,0.044046037848921936,0.04893918072735822,0.12776589852792244,0.016163670207046472,0.00035046071607602126,0.0006881058677235423,0.06906221027653586,0.0056931660763888175,67.38192501626753,0.10771718273664119,198001.05292233263,0.13979767975983795,0.1425842398184317,0.1521666802300347,0.22639499240451388,0.01785706979257089,0.00036972220297212956,0.0007176333886605722,0.08397334346064815,0.007452772635000724,66.4041087962963,0.12776590983072916,198171.4488888889
11,5e-05,0.04121016180064825,0.04198752226652922,0.10267145227502894,0.014721667735250939,0.00034464633125113535,0.0006804290386454839,0.061707847911443674,0.005612629851536771,66.36071415825369,0.10244621734707675,197891.80118985355,0.11909736915870948,0.13819481743706596,0.14328283239293982,0.1466660902235243,0.015057946664315683,0.00036236363428610344,0.0007068792978922526,0.05874261361581308,0.005741603286178024,65.73743634259259,0.10267145227502894,197796.1362962963
12,5e-05,0.04438222597146633,0.04511466132269965,0.11073097511574075,0.015867904265543686,0.00037612494809661286,0.0007524976153032017,0.06472049410373097,0.005539878766407029,67.05128161378485,0.10266121620288952,198219.51569037657,0.14182465729890045,0.13939484772858796,0.15597745542173033,0.15373320402922452,0.016088391056767216,0.0003625698663570263,0.0007119109895494249,0.07265187016239873,0.0064714601304796,66.27939814814815,0.11073097511574075,197784.90074074073
13,5e-05,0.04241195092246591,0.04113793832284433,0.0980832361291956,0.015464847076929732,0.0003437305855727744,0.0006885248953759214,0.0650704944482907,0.005607078015554899,66.83051988769276,0.10449105534297277,198188.18942860878,0.11872228551793981,0.1302936808268229,0.13624005353009258,0.13966729058159721,0.014448187086317274,0.0003594093852572971,0.0007060121165381538,0.05812856038411458,0.005545736948649089,66.14120370370371,0.0980832361291956,197296.2014814815
