epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor
1,3.02e-05,1.026336428463833,0.2732584183304398,0.514528175636574,0.07939294693313508,0.00020569745927437053,0.00027048456122505453,0.3457032878528579,0.11099701901609428,0.0,0.47179744766721166,88480.31301024368,0.5760528661591239,0.6347766565393519,0.579864185474537,0.42984754774305556,1.3731709346064815,0.07311596905743634,0.00023722928983193857,0.0002886031292102955,0.41917909975405093,0.11558345088252314,0.0,0.514528175636574,12540.413333333334,0.6175123878761574
2,5e-05,0.3149173555732023,0.16218088785807291,0.33103560836226853,0.09407492882131782,0.0004897111784085918,0.000790282323014938,0.4446267094073435,0.16954164072933556,0.0,0.6267244580151147,12966.28619346459,0.6043015121790156,0.4578183774594907,0.43004896375868057,0.3340685130931713,0.6432350441261574,0.046014503196433736,0.00029620069044607655,0.000326311190923055,0.23723103841145834,0.05323419076425058,0.0,0.33103560836226853,6577.1696296296295,0.661261574074074
3,5e-05,0.34645046564949106,0.22829960575810185,0.5127383535879629,0.11504519984094917,0.000987239551836275,0.002149357416479026,0.545047691925799,0.2892867014996676,0.0,0.7443523787928426,10028.613321599601,0.9910758224990078,0.6723456940827546,0.4087005389178241,0.7324045138888889,1.0572602900752315,0.07177556920934607,0.0004506500562032064,0.0007135019478974519,0.388267822265625,0.11442328559027778,0.0,0.5127383535879629,7575.136296296297,0.6036509874131945
4,5e-05,0.15095528244005835,0.08071609497070313,0.23771543149594906,0.057003978544370774,0.00030054613188093977,0.00034911997335481705,0.2971685684625075,0.0677405220756471,0.0,0.3922516787151911,3434.8711350572657,0.40841863768868863,0.34535988136574075,0.2952348723234954,0.26395686396846063,0.44002730758101855,0.03462362783926504,0.00027192371862906,0.0003139311737484402,0.17432479293258102,0.027114859686957465,0.0,0.23771543149594906,634.7559259259259,0.579739673755787
5,5e-05,0.08688141556776219,0.06887429696542245,0.19934986255787038,0.03488224402077839,0.0002394778575572486,0.0002823301751141497,0.16746168019382524,0.023253086658202454,0.0,0.22420863969306068,1490.6025803697657,0.4240628039487735,0.2729189046223958,0.27432587800202546,0.20548265245225694,0.41166065357349535,0.028063919632523148,0.00022586310351336444,0.0002764929665459527,0.13837195502387153,0.019407183329264322,0.0,0.19934986255787038,876.1425925925926,0.592968117042824
6,5e-05,0.06139273671472297,0.05622612282081887,0.1694454390914352,0.027102820286877983,0.00020004865213400937,0.00026776042537965617,0.12762232367962473,0.013176322295077177,0.0,0.1725024378792262,514.4134678860588,0.4251255259603636,0.1801360179759838,0.16473476833767361,0.25931362575954864,0.3606238245081019,0.0235354416458695,0.00017919774408693668,0.00024812111148127806,0.1304660373263889,0.013611797756618924,0.0,0.1694454390914352,416.0886111111111,0.5711169885706019
7,5e-05,0.05198678403126395,0.0455146563494647,0.13665827998408564,0.02273453787167919,0.00016895531290064047,0.00023969157386068124,0.10466524447357306,0.010028434816015315,0.0,0.14792529328348247,510.4693334731098,0.4428816802456788,0.14673816822193286,0.13713297526041668,0.21034672489872686,0.2617894603587963,0.01954174183033131,0.00016356666882832844,0.00023568347648338035,0.09560321949146412,0.008826514350043403,0.0,0.13665827998408564,345.40972222222223,0.6100490089699074
8,5e-05,0.04705909523084199,0.047991943359375,0.1540493322301794,0.020748243840590555,0.0001592286284865767,0.00023798633573959664,0.09187106944028303,0.007662071343745148,0.0,0.13234642961658694,456.87591632539755,0.4652874439830062,0.20111572265625,0.22707756890190972,0.22362019856770834,0.22063969364872685,0.022764440465856482,0.00015326694205955224,0.00022359494809751158,0.09446098610206886,0.008385155289261429,0.0,0.1540493322301794,339.50113425925923,0.6150730613425925
9,5e-05,0.04363162467201634,0.034715220133463544,0.09968899197048611,0.019380086487369556,0.00014788952167809572,0.00022399818530076312,0.08344763155761623,0.006796040825514614,0.0,0.1233109278316029,433.99170244288746,0.4818990149507962,0.11445144088179977,0.14015007866753473,0.12077375623914931,0.18702162000868056,0.014539161964699074,0.00014285179199995817,0.0002187537705456769,0.06070367883752893,0.004955560896131727,0.0,0.09968899197048611,392.79157407407405,0.6248215060763889
10,5e-05,0.04138712889308336,0.040960430569118925,0.12108952275028935,0.018473559296904248,0.00014144731817034435,0.0002231000369221311,0.07921536048585899,0.006214641626908689,0.0,0.11814433436014662,395.8899308847084,0.5048343881528248,0.15803615993923611,0.14649096453631366,0.16328642668547455,0.223546142578125,0.016602472375940393,0.00014047316930912158,0.00021268041045577438,0.08096576831958913,0.0061103326302987555,0.0,0.12108952275028935,518.9433333333334,0.6100283926504629
11,5e-05,0.0563264020629009,0.03554849977846499,0.10470531322337963,0.02023971136990607,0.00014386641558904637,0.00021797118145639683,0.08743693414592343,0.008425966403973152,0.0,0.1336196611896469,1577.782971721314,0.4935661029990248,0.1277095088252315,0.1433064326533565,0.13841154875578704,0.18187088577835647,0.014872083310727719,0.00013650141380451344,0.00020974015748059308,0.06874785246672453,0.004976117169415509,0.0,0.10470531322337963,353.9166666666667,0.6040922941984954
12,5e-05,0.03589085678503728,0.0341130037660952,0.10613936812789351,0.016398883173359115,0.00012968036870417458,0.00020425299505888125,0.06582012573046664,0.004959753897648975,0.0,0.10341405188158218,313.4935989379883,0.5105533863585364,0.10566908094618055,0.1255597149884259,0.12307115342881944,0.26608613190827546,0.014777459038628472,0.00012962280600159256,0.00020266749240733958,0.06782176830150463,0.004619033954761646,0.0,0.10613936812789351,268.11381944444446,0.6433394820601852
13,5e-05,0.03755126581196069,0.03385646678783275,0.10231923421223958,0.017449822245656697,0.0001292426311075478,0.0002038928967400451,0.07068958018115375,0.005157253108762797,0.0,0.10988113173443403,303.5874681672292,0.5224077621139742,0.12092322455512153,0.11456016257957176,0.11041457564742477,0.2406163646556713,0.014461802729853878,0.0001286278278739364,0.00020319280800996004,0.06540163958514178,0.0054096716421621815,0.0,0.10231923421223958,315.3025925925926,0.6235607458043981
14,5e-05,0.03472831592774291,0.038746631763599534,0.10879993580005787,0.016114006449261906,0.0001260076675470407,0.00020336383509461352,0.06305812978844264,0.004737683544597865,0.0,0.10078869860572545,285.5206436731825,0.5471208608674205,0.11696736653645834,0.13819146050347222,0.17191740813078704,0.2064049388744213,0.015165136831778067,0.00012618530679632116,0.00020179726459361889,0.07778706868489584,0.004039303461710612,0.0,0.10879993580005787,560.4172222222222,0.6606275318287037
15,5e-05,0.03216789308039152,0.03251504403573496,0.09773605911820023,0.014722374418875101,0.0001235017740369608,0.00020362256167435927,0.05588736070249869,0.003864103748957981,0.0,0.09190044013557325,288.73256020964936,0.5620970305164489,0.11290321632667824,0.16186661331741897,0.10318311903211806,0.17660203721788195,0.014195791173864294,0.00012361160031071415,0.00019921554459465874,0.06490138866283275,0.004491856186478226,0.0,0.09773605911820023,240.34671296296295,0.6716934769241898
16,5e-05,0.0337698472913152,0.031481450398763024,0.08580388952184606,0.01527343310365087,0.00012190416430685865,0.00020051230489930637,0.06189371614276615,0.004406481607189737,0.0,0.09726404323082838,311.7148270227919,0.5572323817214208,0.09431963320131655,0.11977918836805555,0.11127059371383102,0.1645416372793692,0.012176150569209346,0.00011779437462488811,0.00019162893295288086,0.05640475802951389,0.003824356573599356,0.0,0.08580388952184606,495.48675925925926,0.6848413990162037
17,5e-05,0.03366758083636292,0.0268154709427445,0.07985246446397569,0.015732955013179693,0.00012096232471224816,0.00020040816172056176,0.06150681017332995,0.004366687993873612,0.0,0.09746411340661877,266.04878908420704,0.5660221126538441,0.11236025209780093,0.1047219396520544,0.09406997115523727,0.14059006302445023,0.01163497218379268,0.00011567223955083777,0.00018977549340989854,0.0470084465874566,0.003328160179985894,0.0,0.07985246446397569,234.56199074074075,0.674163230613426
18,5e-05,0.029366161378108307,0.028309704815899884,0.08373223198784722,0.013564765252656144,0.00011119583342942822,0.00018418953390453484,0.05144173455537612,0.0034857399792850765,0.0,0.08520635206517316,252.53440483444405,0.5922406881299478,0.1103907154224537,0.10345980043764468,0.10029024477358217,0.1781337935836227,0.012523247047706887,0.00011564415914041025,0.00019058880982575593,0.05176623309100116,0.0035867175349482785,0.0,0.08373223198784722,223.9312962962963,0.6937984212239583
19,5e-05,0.03510811480900047,0.028462886103877316,0.08478330258969907,0.01512353192570631,0.00011658468189110193,0.00019345977769977808,0.061174180966540856,0.004098327183573815,0.0,0.09472573330337532,497.9221379108509,0.5817707866180891,0.11301206235532407,0.09160798249421297,0.11585446958188657,0.1633897230360243,0.012544109203197339,0.00011627716046792489,0.00019249931529716208,0.05201428448712384,0.0034491531937210647,0.0,0.08478330258969907,230.27777777777777,0.6797291395399305
20,5e-05,0.029172894168863362,0.030447093822337963,0.09714658383969907,0.013673354308491098,0.00011158553389619579,0.00018636053782870952,0.05131936235407905,0.003498767584437606,0.0,0.08561720806622106,222.23586969096291,0.5913140407167219,0.1400294777199074,0.09693370677806713,0.1579972782841435,0.12172125922309028,0.013453360663519966,0.00011622956505528203,0.0001889910521330657,0.06158824779369213,0.00405324935913086,0.0,0.09714658383969907,194.40148148148148,0.6956609429253472
21,5e-05,0.030008944497681437,0.031893251207139754,0.099923016583478,0.014143908008636914,0.0001130905530185963,0.0001889461607857187,0.05292970303711033,0.003506283412169213,0.0,0.08767641255452792,227.1053250045457,0.5975308787997298,0.08968483253761574,0.2007809787326389,0.1068421314380787,0.1255477453161169,0.014065308747468171,0.00011233837516219528,0.00018646138685720937,0.06515886094835069,0.004693895269323278,0.0,0.099923016583478,243.71935185185185,0.6859129955150463
22,4.95828409422556e-05,0.02847306639400299,0.03146437468352141,0.09241724650065104,0.013420359417601297,0.00010578901208904899,0.00017809655842162503,0.0509260541225577,0.0033319548208843217,0.0,0.08467963408819053,212.4347976620726,0.597906277331847,0.10948150634765624,0.12008524576822917,0.10727810329861111,0.20163542570891205,0.013564174793384693,0.00011192376966829654,0.00018821643458472357,0.053520146122685186,0.003946105815746166,0.0,0.09241724650065104,427.59875,0.6942259385850694
23,4.633031982537555e-05,0.027818201205237265,0.02556214509186921,0.07831586484555846,0.013016781736570547,0.00010391762929863932,0.00017601817105809703,0.04815140117162441,0.0031257143018135966,0.0,0.08216988779292696,238.28276117875487,0.6108766211251334,0.11547029848451967,0.10123476381655093,0.08739394576461226,0.11858870894820601,0.011583873607494213,0.00010950309258920175,0.00018272561055642588,0.04091893513997396,0.0028755078492341216,0.0,0.07831586484555846,236.5276388888889,0.7029932092737269
24,4.0264548591291784e-05,0.02618613390439038,0.024338599310980903,0.0741129500777633,0.012334364768367058,0.00010250446002048429,0.00017593326564447392,0.04564726415039605,0.0028317709722279504,0.0,0.07695543899290481,187.94563215247757,0.6136989405215036,0.08536411426685475,0.0894036865234375,0.11420211226851852,0.12175749602141203,0.011048141762062355,0.00010721084144380358,0.00018011338180965846,0.04185705114293981,0.0027503720036259403,0.0,0.0741129500777633,165.13564814814814,0.7139571578414352
25,3.2204743256766035e-05,0.024240208984543588,0.02581535056785301,0.08359738950376157,0.011476427180279499,0.00010075983489468663,0.00017344882121410953,0.04046996829400003,0.0025030832784445215,0.0,0.07137136307845056,165.5294660145269,0.633208017718343,0.13320613154658564,0.10685472276475694,0.09413250958478009,0.11963331434461806,0.011613799907543042,0.00010450420556245027,0.00017746016935065942,0.04927668818721065,0.0025252130296495225,0.0,0.08359738950376157,158.48372685185186,0.7279178421585648
26,2.3239425193149107e-05,0.021724761182161743,0.01962352328830295,0.058460715964988426,0.010303394167068332,9.626747814611586e-05,0.00016711983666423426,0.034140481734375575,0.0021281806307856506,0.0,0.06288130331207768,148.69206566591143,0.6608721693065874,0.07604990076135706,0.07278107819733796,0.07611020688657408,0.09572241889105902,0.008637602064344618,0.00010134737800668787,0.00017402653340940123,0.030830168547453702,0.0020212731537995513,0.0,0.058460715964988426,129.40273148148148,0.7525624819155092
27,1.4579410283474814e-05,0.020540860063634096,0.018524800053349246,0.055371738009982636,0.009769554166162238,9.883615209854493e-05,0.0001722517785668338,0.030455958768413654,0.001895488087851632,0.0,0.057706490798101265,126.11043362637444,0.684360259621712,0.07001278347439237,0.07095080340350116,0.069212646484375,0.08986603913483797,0.00819319831000434,9.947763548956976e-05,0.00017159256670210097,0.028222040247034143,0.0018759307154902706,0.0,0.055371738009982636,112.44131944444445,0.7720751048900463
