epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.13781714289757,0.0905522777416088,0.2604425953052662,0.06580977065091227,0.0005350021908078546,0.0008303798439951739,0.30171506911142104,0.12133132962502197,73.94068749878696,0.43961544244483924,202160.41507583682,0.03590812400535301,0.0005423303445180257,0.0008712966353804977,0.18351748996310763,0.031012448911313658,75.42666666666666,0.2604425953052662,607309830.0681481
2,5e-05,0.07302597875874411,0.07188183819806135,0.19594920970775462,0.026971276281557384,0.000521908841614977,0.0008664127241508174,0.133061731709596,0.01732986492093138,74.47537211493967,0.18265118286262996,201658.0219665272,0.028163347597475404,0.00048305290716665764,0.0008226631305835865,0.13043902361834492,0.018344373349790218,72.60886574074074,0.19594923231336805,201936.26074074075
3,5e-05,0.06237180626690076,0.06106959025065104,0.15360775417751737,0.022538380467461493,0.00045458748873254885,0.0007853126106086595,0.11402700573330644,0.012220193526734867,71.43594902230107,0.1563594841932153,201950.52752353557,0.022209428857873987,0.00045929824864422833,0.000805749981491654,0.10596833405671297,0.012147909093786168,71.3170138888889,0.15360775417751737,202041.4814814815
4,5e-05,0.05685256953277162,0.05667148731372974,0.13851244891131365,0.02050009016122934,0.00043642598410613984,0.0007739778320949778,0.09687453121819756,0.010269767195609823,70.4851651052052,0.14078278597210492,201896.76846888076,0.01991928948296441,0.00043753447356047453,0.0007878217873749909,0.09916986536096643,0.010375231990107784,70.51485532407408,0.13851244891131365,201986.08592592593
5,5e-05,0.05435799155871396,0.050997127956814235,0.12418162027994792,0.01939000010638494,0.00042567789273752356,0.0007721585337029746,0.09122730835212324,0.009458178506236694,69.9115187194058,0.1338429304237271,201993.09852248954,0.018025697778772425,0.00042456379643193,0.0007721364056622541,0.07828826339156539,0.008676462526674623,69.51074074074074,0.1241816089771412,201961.83703703704
6,5e-05,0.05120755024702448,0.05202607331452546,0.12673623544198495,0.018551737816310702,0.00040315529647766527,0.0007471114869137587,0.0833203147894169,0.008576364322686296,68.98120976691466,0.1263806757100207,201984.765625,0.01839337525544343,0.0004155540907824481,0.0007659122678968642,0.08569995456271702,0.008914932674831814,69.16777199074075,0.12673624674479167,202033.73037037038
7,5e-05,0.04936288779593661,0.04948472199616609,0.1209864185474537,0.017803905542480084,0.0003865581545991609,0.0007200748457279241,0.08154049478315409,0.00823216620349485,69.1848281317675,0.12425435916618074,201997.94563938284,0.017528326246473526,0.00041426530590763796,0.0007616865193402325,0.07495420102719907,0.008224587617097077,68.96554976851851,0.1209864185474537,201968.5688888889
8,5e-05,0.05049204615735796,0.05368339256004051,0.13255577935112847,0.01774612189442013,0.0004225445884429627,0.0007927616456772625,0.07745796230048814,0.007459196086707973,69.04387544288795,0.1172982298196235,201873.50925078453,0.019077111703378183,0.0004216133223639594,0.0008194933114228425,0.09017074019820602,0.008751882623743127,69.65814814814814,0.13255577935112847,201909.8548148148
9,5e-05,0.05153822230085512,0.04680431789822049,0.1136259290907118,0.01855095681660345,0.00041555322377367156,0.0008000720904790751,0.0813973595906501,0.007812191003536081,69.6993016199088,0.1236249612932674,201825.14788179917,0.016586283931025753,0.00039557289194177696,0.0007403031984965007,0.06959595291702836,0.007392518785264757,68.10273148148148,0.1136259177879051,201844.95407407408
10,5e-05,0.04518093841411485,0.04924153645833333,0.12107464825665509,0.01635020479041631,0.00036912069673648124,0.0007036386985906179,0.0691646555726997,0.006465966482042768,68.71821925430618,0.10838439137865809,201825.2400300732,0.01733452690972222,0.0003930724108660663,0.0007382566399044461,0.08168926662868924,0.007529743335865162,67.83449074074075,0.12107465955946181,201830.77925925926
