epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor
1,2.99525e-05,0.10995326416582621,0.06371664541739004,0.19221641257957175,0.05350700936460195,0.0001923574734576528,0.0002887743980290677,0.23070700729594512,0.061484692352158685,0.0,0.3337383041111361,90203.79633953191,0.32019479460075123,0.1854512080439815,0.18987594039351852,0.3062248851634838,0.4464187282986111,0.026184423941153067,0.00018887301286061605,0.0002894293820416486,0.1531011849862558,0.015336111563223379,0.0,0.1922164351851852,8767.537777777778,0.4246636736834491
2,5e-05,4887.226961253039,0.3485137035228588,1.0368199327256944,0.0839185877663999,0.012950059583824189,0.034477892074797074,0.3106850110182241,0.14034614605563028,0.0,0.6012887336125895,48864440363.61777,0.4562427821029134,1.2125437644675925,1.321937301070602,1.3604678457754629,1.5436861617476851,0.1562558435510706,0.0005782481917628536,0.0009666280393247251,0.802232349537037,0.7799254918981482,0.0,1.0368198423032406,258715.5911111111,1.713902271412037
3,5e-05,0.6495634657369942,0.11779538755063658,0.38456330475983797,0.11909767925864508,0.008819296939859554,0.023484226086164947,0.5119186294179002,0.31383904852286104,0.0,0.7298087733132499,39474.250268759846,0.8765725460873932,0.5124129231770833,0.5481648310908565,0.4118105740017361,0.6626205783420139,0.054410083912037034,0.000309796377464577,0.00032163953339612043,0.2785744674117477,0.07585548118308738,0.0,0.3845632595486111,5844.0862962962965,0.5524916811342593
4,5e-05,0.085825828569276,0.06597004078052662,0.19419618959780094,0.040902319982522674,0.00027016271780070874,0.00029551816724892314,0.18902115561381108,0.03424384588954829,0.0,0.2626563780197576,3548.06539686187,0.2707391943500823,0.2404691116898148,0.2423772289134838,0.2787459083839699,0.32664297598379627,0.027564815945095487,0.0002373926286344175,0.00027176614160890933,0.14788802535445603,0.016473310965078848,0.0,0.19419618959780094,2567.1285185185184,0.4095671477141204
5,5e-05,0.058338792165036964,0.05473985460069444,0.15992407904730901,0.027046989524314384,0.00021805757107756085,0.00026904224331770484,0.12052953343431488,0.013257901583399092,0.0,0.16825220915449768,3367.5372499097293,0.19727398511491903,0.18670948169849538,0.20783402054398148,0.2539403618706597,0.2280454734519676,0.022236592328106916,0.00019988901085323758,0.0002533035808139377,0.12326402452256945,0.01174650545473452,0.0,0.15992407904730901,2131.987777777778,0.3806012641059028
6,5e-05,0.049137738228094675,0.04257793850368924,0.12261072229456019,0.02342451024925759,0.0001886226570658276,0.000246548633927092,0.09546045946473834,0.009038875583841019,0.0,0.13958017315183366,2668.8086183692226,0.16961450505406916,0.1677624624746817,0.15100825557002315,0.16472572609230324,0.21223587601273147,0.018223727190936054,0.0001798146742361563,0.00024133132563696968,0.07975760565863715,0.007792154947916667,0.0,0.12261073359736689,2115.8062962962963,0.31882534450954864
7,5e-05,0.042105920738031884,0.041486850314670136,0.1212174818250868,0.01961790892381628,0.00017494500571046956,0.000242237291900938,0.08120526385908368,0.007410055198589293,0.0,0.12133190392696556,2154.8253173828125,0.13444890013011565,0.19712275752314815,0.13109143292462383,0.13773844401041666,0.20242847583912038,0.01781098824960214,0.00016887637200178922,0.00023772478103637696,0.07994316383644387,0.00712950035377785,0.0,0.12121747052228009,1715.067037037037,0.3069063087745949
8,5e-05,0.04071002412869149,0.039183423077618636,0.11627336290147569,0.019291469639464588,0.00016602702811066876,0.0002445740896551537,0.0765918743710558,0.006548008247583854,0.0,0.11722273905487622,2196.1770911978074,0.14088038599290767,0.12465833875868056,0.14348254168475116,0.17850451434100115,0.19763160988136574,0.01730661462854456,0.00016103672760504263,0.00023644566535949708,0.0713957836009838,0.00638545000994647,0.0,0.11627336290147569,1821.3685185185186,0.2933466706452546
9,5e-05,0.04008257982297605,0.034044763070565684,0.1012492088035301,0.019091419363003067,0.00017025128497970545,0.0002483593448194354,0.07367123726035367,0.00649066294441704,0.0,0.11597598738530103,2246.8943168576025,0.12032207148540922,0.11777783429181134,0.11760187219690393,0.12034747088396991,0.21884801793981482,0.014616060610170718,0.00014881368036623354,0.00021925884264486806,0.060629170735677085,0.005151069782398365,0.0,0.1012492088035301,1591.7,0.27344764992042825
10,5e-05,0.03808672034314701,0.034804260819046584,0.10469391999421296,0.018105154645730967,0.00016152768585627446,0.0002478320974423237,0.06980842902880757,0.005481266800095053,0.0,0.10714048854693645,2050.2912279657958,0.12288876604132291,0.16932343659577545,0.11611185709635417,0.11653731734664352,0.16747710051359954,0.015141756976092303,0.00014593228145881934,0.0002180047388429995,0.0625774242259838,0.005377030196013274,0.0,0.10469391999421296,1776.1148148148147,0.28016649034288194
