epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.13742553420894815,0.0791133287217882,0.21046142578125,0.0653244213719373,0.0005418118956273461,0.0008382380321590325,0.3000701112228457,0.12042239370705193,74.79438968482876,0.43760731956574705,201769.49630622385,0.03050851892541956,0.0005332742355487964,0.0008572968730220089,0.14627395064742477,0.02303650043628834,75.48097800925926,0.21046142578125,644261551.2177777
2,5e-05,0.0741210245375354,0.06446819164134839,0.15968722873263888,0.027204426162326746,0.0005269243221045368,0.0008702377552531688,0.13713587589842505,0.017560027134468366,74.97080411073054,0.18528457914934995,201702.14748953976,0.022900668956615307,0.0004829762158570466,0.0008205691090336552,0.11612475359881366,0.013666219358091002,72.85648148148148,0.1596872400354456,225405.60592592592
3,5e-05,0.0619313591685941,0.06950242784288195,0.18637995967158566,0.02233762630245894,0.00045934844107349624,0.0007905971633133875,0.11084206869911449,0.012630140182862222,71.90540277808282,0.15508175087960197,201917.06573614015,0.02687960871943721,0.00046314566223709674,0.0008104704044483326,0.12977019133391204,0.018019039012767652,72.0635474537037,0.18637995967158566,201833.90814814816
4,5e-05,0.058303093492875664,0.057327485261140045,0.14170930085358796,0.021047388684690374,0.0004440684769822031,0.0007842280491363968,0.10034853569134508,0.0107804158990852,71.25228474030435,0.14439880664004442,201785.49738493725,0.020575259173357927,0.0004437808637265806,0.0007947189719588668,0.09708789966724538,0.0107376586066352,71.31929976851852,0.14170930085358796,201736.17777777778
5,5e-05,0.05436086661384975,0.05187251338252315,0.12584113226996527,0.01935712829091933,0.00042924549517185797,0.0007757757675562019,0.09027642111399184,0.009498448676145226,70.33730335315401,0.13338400012030263,201791.01461166318,0.018210413897479023,0.00042903957543549714,0.0007769935219376176,0.08140078509295429,0.00892542662443938,69.90422453703704,0.12584110966435186,201718.02074074073
6,5e-05,0.052942778048140605,0.05243135240342882,0.12846579092520255,0.01903038095608821,0.00040923760463896976,0.0007549346749073871,0.08967010832730696,0.008983451078127617,69.8098567020943,0.13002070313062378,201739.5469076883,0.018440266361942997,0.0004239813045219139,0.0007770672550907841,0.085280111807364,0.009272650259512441,69.98461805555556,0.12846579092520255,201660.7288888889
7,5e-05,0.049246832411775215,0.05079856589988426,0.12436603687427662,0.01764247629150483,0.0003896205445239293,0.0007228192703147504,0.08082218985677264,0.008211903616973047,69.81400145047878,0.12316160073901321,201716.8416252615,0.01783579225893374,0.00041619194878472223,0.0007637989079510724,0.08102116337528935,0.008366272537796586,69.41755787037037,0.12436604817708333,201627.33037037036
8,5e-05,0.05161985987407705,0.05691995691370081,0.14291630497685184,0.018185778528794834,0.00042792293875641864,0.0007985398730346346,0.0802528930508442,0.007822916472806092,69.65468721110452,0.1207585530628345,201559.20616501046,0.021345123008445457,0.00041837272820649323,0.0007946685508445458,0.09770797164351852,0.010232038144712095,69.77979166666667,0.14291630497685184,201568.6162962963
9,5e-05,0.051322583415035046,0.048286206280743635,0.11671812834563079,0.018279611072152323,0.00042136357460092685,0.0008084538651892446,0.07983195507376763,0.007936932551810931,70.11348295810332,0.12145031921596706,201511.99542364015,0.016959029303656684,0.00040057398654796457,0.0007469649668093081,0.07532316984953703,0.00765949461195204,68.55784722222222,0.1167181396484375,201560.69925925927
10,5e-05,0.04737729915986656,0.05143942373770254,0.12760729754412617,0.017286866423030966,0.00037675196358958067,0.0007132239177728145,0.0750188950963599,0.0070046094172170476,69.59845787910238,0.11545501573782835,201537.6712539226,0.01846135033501519,0.0003986740995336462,0.0007445087256254974,0.08696247242115163,0.008076514491328486,68.65859953703703,0.12760728624131945,201439.45481481482
11,5e-05,0.04594145938130602,0.05149436668113426,0.13086804425274884,0.016486168498559134,0.00037217888505402017,0.0007083613944011772,0.07230897478478723,0.007067743829104691,68.51107456095548,0.11502888064566516,201539.8621535042,0.01863401483606409,0.0003938736297466137,0.0007398971363350198,0.0877778003833912,0.008655060662163629,68.41612268518519,0.13086804425274884,201435.73333333334
12,4.2824116139070415e-05,0.048728385615789925,0.04622962669089988,0.11218499077690972,0.017268998569333498,0.00040823504524444134,0.0007835529002013154,0.07365089592574531,0.006954771205471151,69.21133364593634,0.1130401693970339,201364.6210120293,0.01627624653003834,0.0003918149736192491,0.0007394013581452547,0.06908420704029225,0.0072176332826967594,68.17829282407408,0.11218500207971643,201349.71259259258
13,2.5500000000000003e-05,0.04308958883907755,0.04370343808774595,0.10490324797453704,0.015326811728909394,0.00036462885745067674,0.0007061961647803774,0.06354222674250104,0.006095162246017775,68.17009970533299,0.1037219427681867,201318.13778111924,0.015303988986545138,0.0003804254973376239,0.0007227705143116139,0.06252115885416666,0.00652163823445638,67.39262731481482,0.10490324797453704,201408.21333333335
14,8.175883860929588e-06,0.039362139420712434,0.04267309683340567,0.10212741427951388,0.014092527981165594,0.00033726671752924725,0.0006618576320148677,0.05604183586571506,0.005399833039758595,68.40033073106072,0.0954594789306676,201449.57188153765,0.01488748479772497,0.0003766373793284098,0.0007178635508925826,0.05969158596462674,0.0062701521979437935,66.98471064814815,0.10212741427951388,201477.92592592593
15,1e-06,0.03909611490030995,0.042379184299045136,0.10136449743200232,0.013738442425690124,0.0003458463299495546,0.0006803966694902578,0.05376903856149777,0.0051969925728801904,67.76048906876952,0.09330901509408047,201440.91494508367,0.014785633793583622,0.00037574251492818194,0.0007168107562594944,0.05870948508933738,0.006213583063196253,66.88292824074074,0.10136450873480903,201481.71851851852
