epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor
1,3.02e-05,0.11127022773058594,0.09485794632523148,0.29168452510127313,0.055680188420520915,0.00017627742463864935,0.0002668902969268997,0.22333192563455972,0.06094792756450725,0.0,0.33178658105401815,100996.11046750376,0.3176767135888463,0.3341837791160301,0.37353719075520836,0.23031421802662036,0.7569905598958333,0.03895754213686343,0.00018169526700620298,0.0002599185042911106,0.2191982693142361,0.03942669621220341,0.0,0.29168452510127313,92204.38518518518,0.4715459979021991
2,5e-05,0.07378683231428078,0.054797374584056716,0.14098522044994213,0.03343713126110232,0.00019478136330549375,0.00029071273796236487,0.1793470816632195,0.02142029623481519,0.0,0.22503687765558394,10195.8777917838,0.2688982111701905,0.1754057933666088,0.18313805474175346,0.19794551142939815,0.29310544614438655,0.020729802449544272,0.00026437097125583226,0.0005266132178129973,0.10933204933449074,0.009234689783166956,0.0,0.14098522044994213,2695.224074074074,0.4179692925347222
3,5e-05,0.04721273059438462,0.04235339129412616,0.1258005099826389,0.021806388742691803,0.000158730268933491,0.00025147439879661174,0.10330129904228275,0.008700839115236593,0.0,0.14288726363284318,3083.7063647154487,0.1666262334672477,0.16485425030743633,0.15008654559100115,0.1314189656575521,0.2791795066550926,0.018484200371636283,0.00015080222377070675,0.0002338580290476481,0.08506492332175926,0.007524775752314815,0.0,0.1258005099826389,3503.6481481481483,0.3218975151909722
4,5e-05,0.03779674625164482,0.034026274504484956,0.10058837890625,0.017868781479847107,0.0001376117049696564,0.00021647240421896708,0.07593788437264734,0.006162002308598123,0.0,0.11417933438113544,2603.8438510016917,0.1396312004804736,0.13412712944878472,0.10675346091941551,0.12858866373697916,0.21117707429108795,0.01493123654966001,0.00013879185473477399,0.00021425070586027922,0.061214136194299766,0.005206690187807436,0.0,0.10058837890625,1585.7931481481482,0.2814744285300926
5,5e-05,0.03468810916960115,0.03161614877206308,0.09576966462311921,0.016646978171604637,0.00013505121027051873,0.00021413940424178717,0.0661810000571247,0.005027333313451152,0.0,0.10309667134010642,2042.377334913948,0.11571824651944089,0.11117976435908565,0.11030461064091435,0.11107239899811922,0.22004543728298612,0.01413349292896412,0.0001302903890609741,0.00020648062229156495,0.0547448334870515,0.004240148332383897,0.0,0.09576966462311921,1531.138888888889,0.26032963505497686
6,5e-05,0.035756561599250995,0.03354654382776331,0.10012353967737268,0.01736081396443886,0.00013048173385484375,0.00020930089506170386,0.07016822159539705,0.005473059465695624,0.0,0.10884387943909259,1934.975603303151,0.11529297813399067,0.11220742684823495,0.12413906521267361,0.14516555220992478,0.19471211751302084,0.014543050130208334,0.00013069320608068396,0.00020700741697240758,0.06281153926142939,0.00492548871923376,0.0,0.10012353967737268,2048.006296296296,0.28422987196180555
7,5e-05,0.032897560987777415,0.03594146728515625,0.1091215232566551,0.015606779197940143,0.00012621895461486008,0.00020513614511831114,0.06477936004993806,0.004725587293193929,0.0,0.10008445980658591,1979.3177270609963,0.10649981301386985,0.1303556541160301,0.11660172073929398,0.17430286548755788,0.19372416178385415,0.015460364730269821,0.00013235761059655083,0.0002191785971323649,0.07429361979166667,0.005720620331940827,0.0,0.1091215232566551,2222.7846296296298,0.24968985098379629
8,5e-05,0.03206226449054529,0.03491181267632378,0.11093656186704283,0.015466441514328995,0.00012755916577969774,0.0002107423524839037,0.06001658556850385,0.004441370649816601,0.0,0.09689010910409265,1827.0242286586363,0.10326741186894134,0.11890331127025464,0.14873700177228008,0.11738588686342592,0.2635524269386574,0.01677453782823351,0.00013721257448196412,0.00024004945048579463,0.0583521412037037,0.004411098338939525,0.0,0.11093656186704283,1510.2943518518518,0.23727964048032407
9,5e-05,0.03141138925524935,0.0275054931640625,0.08079754864728009,0.01511220674120108,0.00012692595838686494,0.00021518592311850666,0.058921692635723735,0.004274739692899473,0.0,0.09434814508770549,1756.2610946080674,0.09390043150088029,0.10121186433015046,0.09147997820818866,0.10385085494429977,0.16291989926938658,0.011875381469726562,0.00012271107346923264,0.0002064918588708948,0.04637799863462095,0.0034100574917263456,0.0,0.08079754864728009,1725.582962962963,0.23653017397280093
10,5e-05,0.03135842681671473,0.029628702799479167,0.08839064986617477,0.01528998482270969,0.00012295119742862637,0.0002085894533418042,0.058433362504927186,0.004240024819284304,0.0,0.09471178520081183,1743.7969500809036,0.09814977427656181,0.1162616871021412,0.09962440773292824,0.09868989167390047,0.20074933087384259,0.012848256429036458,0.00012116879224777222,0.00019706880604779278,0.05421402542679398,0.004144770657574689,0.0,0.08839064986617477,1827.4966666666667,0.24071530942563657
