epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,2.99525e-05,0.11174492428407949,0.08429743448893229,0.2208791775173611,0.05055261026097446,0.00020587345651994625,0.00029307304265318993,0.21707927479463465,0.05712466868532806,0.0,0.31603756434276326,822770.9894957984,0.5110488584061631,0.18336749302238978,0.27001261393229165,0.3019687454788773,0.268466796875,0.47123964662905093,0.03015909265588831,0.00018792927265167235,0.00027865378944962114,0.21061507613570601,0.0207735753942419,0.0,0.2208791775173611,804084.8118518519,0.6628657136140046,0.13149618643301506
2,5e-05,0.3256214685550257,0.34463747377748843,1.0873480902777777,0.058935115160811846,0.001313393467729334,0.003013900913808792,0.29500224359897004,0.09354581164211787,0.0,0.39531873204127077,53214604560.42227,6.961503021105998,1.5676634036818473,1.5421723090277777,1.368763111255787,1.2505695710358797,1.6038527199074073,0.15664910210503472,0.00046749309257224753,0.0006384645126484059,0.8954522931134259,0.8653540943287037,0.0,1.0873480902777777,745736.8651851852,1.2096962709780092,0.3029585548683449
3,5e-05,0.19050989406449453,0.09790455005787037,0.27536042390046295,0.09307459915573356,0.00036801215195309315,0.0004530679481617613,0.4235699562465443,0.21440300645948457,0.0,0.5573660762620574,812011.1691176471,0.5555387199425897,0.15499191440078391,0.2953348569516782,0.29279240360966435,0.28273670337818285,0.7455995912905092,0.03987759625470197,0.000323562467539752,0.000533343200330381,0.20787256311487268,0.034103608308015045,0.0,0.27536042390046295,813937.3985185185,0.6588884819878472,0.1066794275354456
4,5e-05,0.07255643033305136,0.059782466182002315,0.1567665382667824,0.02971188589429655,0.00022611908194953342,0.00028162981761240853,0.1381325967171613,0.01774081287263822,0.0,0.1922068609034314,809990.0047268907,0.4687393933785062,0.10818700066634587,0.1834031394675926,0.20325706199363425,0.21715605559172454,0.27796594690393517,0.02201509405065466,0.00020340270466274684,0.00025686546608253764,0.11587255407262731,0.012407520435474537,0.0,0.1567665382667824,802905.5051851852,0.679570628978588,0.10216356065538194
5,5e-05,0.05841349142000956,0.052918966787832755,0.14313021059389466,0.023262523897305255,0.00019177548223402069,0.00025438993308104244,0.10440964207929723,0.00986022295571175,0.0,0.14615200910748555,801601.9049369748,0.4604517061169408,0.09900746516445104,0.15169288917824075,0.13797815393518517,0.23617978696469907,0.27555521647135417,0.01976589485451027,0.00017631595885312116,0.0002397074302037557,0.098903729474103,0.009894707997639973,0.0,0.14313021059389466,799614.8622222223,0.697204906322338,0.09501714635778356
6,5e-05,0.05155924105030649,0.04287532099971065,0.10815680609809028,0.020573184348079337,0.00016906989802911628,0.00023409423182088444,0.0876728471587686,0.007194337975077268,0.0,0.1262984236373621,795806.6113445378,0.5026636071064893,0.09381633796611753,0.1454163501880787,0.13188521773726852,0.13589561179832177,0.2035674144603588,0.01590566564489294,0.00016335939919507063,0.0002312008539835612,0.06589128847475405,0.006271622269241898,0.0,0.10815680609809028,793552.4503703704,0.7406151439525464,0.0891798683449074
7,5e-05,0.04618371248307849,0.040463282267252605,0.10260816786024306,0.018198684366623395,0.000159820203804861,0.0002302153358158182,0.07384481500176822,0.006279148850120416,0.0,0.11312800132426895,792901.6481092437,0.5037131332048849,0.08917295034317409,0.14240003797743056,0.11767044632523148,0.12861350730613427,0.1854214138454861,0.0149512368661386,0.00015190737115012274,0.00022360472767441361,0.06226565325701678,0.005255969718650535,0.0,0.10260816786024306,791837.1081481482,0.7544081850405092,0.08576829133210359
8,5e-05,0.04367334531823627,0.03740239178692853,0.09456426549840856,0.017299371090631524,0.00015157610558911555,0.00022801769741550635,0.06842062052558451,0.005445446537322357,0.0,0.10645119251072907,790020.8319327731,0.5560090040960232,0.0853207527088518,0.13009324815538195,0.11516167534722223,0.1146664880823206,0.16046721281828705,0.013586681507251881,0.00014747069941626654,0.0002248409942344383,0.053436544912832756,0.004833700391981337,0.0,0.09456425984700521,787229.0607407407,0.7929338469328704,0.08426692256221065
9,5e-05,0.04402879587992901,0.03528784575285735,0.08728010389539931,0.017269446350195828,0.00015881651929435867,0.00024275137376903063,0.06910580847443652,0.005668410233088902,0.0,0.1079499313936514,787743.6355042016,0.5410808617828273,0.0845265196276312,0.11038604736328125,0.10419447157118056,0.10962612575954861,0.1706011849862558,0.012705971046730324,0.0001410309252915559,0.00021726683334068016,0.05021141334816261,0.004097182662398727,0.0,0.08728010389539931,785180.0651851852,0.8317319516782408,0.07998615971317997
10,5e-05,0.041047594376972744,0.040602953875506366,0.10806139910662615,0.016252566375495756,0.00015169840749693612,0.000237165207357318,0.059469016660161376,0.004518837487998129,0.0,0.09579834892970174,785825.2515756303,0.572880038944613,0.08289754425152009,0.11653518111617477,0.14534045184100117,0.11149596037688078,0.24647815845630788,0.014883719550238716,0.00013681164494267216,0.00020798967944251167,0.07162883617259838,0.005795676266705549,0.0,0.10806139910662615,784008.1540740741,0.8055522099247685,0.08134325945818865
