epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.10481634688325943,0.07915599116572627,0.2135198748553241,0.04741134345297659,0.000472460121142553,0.0008199907301139959,0.2252133067182916,0.06024407629687417,73.99656219961254,0.30983768506404247,201434.26212735355,0.18311804877387153,0.1974493408203125,0.1985739700882523,0.6783772786458333,0.029595348216869214,0.00047702378696865504,0.0008448366765622739,0.1713963939525463,0.02053437833432798,73.70543981481481,0.2135198748553241,200341.38074074074
2,5e-05,0.07094087099040777,0.06837586014359086,0.17436954074435765,0.025944488203916777,0.00046939856093714796,0.000839749373721377,0.14350969472190825,0.01461177029370264,73.72771746743175,0.17909955725884338,199429.59610355648,0.22443226001880787,0.2221534107349537,0.2209177879050926,0.3597937915943287,0.02466625072337963,0.0004415524888921667,0.0007944340176052518,0.1442131777162905,0.013973329332139756,71.81036458333334,0.17436954074435765,276402570.4296296
3,5e-05,0.05956956405761539,0.05960116916232639,0.15430072925708913,0.021650954355216863,0.00041754590442544677,0.0007647775502892008,0.1136087596915257,0.010935875162419914,70.78939607053621,0.14965239493760854,198803.2390167364,0.2212232349537037,0.15808921531394676,0.1635606214735243,0.34224609375,0.021878057409215855,0.00043840788028858327,0.000815791024102105,0.10535148338035301,0.011777655283610026,71.4752662037037,0.15430072925708913,199937.49333333335
4,5e-05,0.05206838175927184,0.048272343388310185,0.11554855911820024,0.018671406780770946,0.0004025457817733391,0.0007554333881911224,0.08846456897308637,0.00832694394817911,69.86882809116251,0.12743906696252993,199026.21695214434,0.14098549171730324,0.15091747142650463,0.14211014359085647,0.21776134349681714,0.01686327616373698,0.00039944750291329845,0.0007519197463989258,0.07624464246961805,0.007460725572374132,68.96305555555556,0.11554857042100694,198548.81185185185
5,5e-05,0.05185073387037542,0.046892977114076966,0.11329498291015624,0.018735259736276322,0.00038380638552986003,0.000730283100581755,0.09283436230037002,0.008233828150577625,68.47250707777972,0.13012748433347152,198553.1769089958,0.14175852457682292,0.14830613878038196,0.1461672634548611,0.1952893970630787,0.016383610478153936,0.0003911941581302219,0.0007412656148274739,0.07299772474500868,0.007167601408781829,68.39250578703704,0.11329497160734954,198743.45481481482
6,5e-05,0.04661672602692097,0.0544882258662471,0.14390237313729745,0.016934999358785733,0.00036645108527041145,0.0007078329212520935,0.07572781266527695,0.006853184315948805,67.40136358827726,0.1146414695915505,198036.2062957636,0.1675794474283854,0.14864997016059028,0.15562262641059027,0.3839774576822917,0.020099139743381077,0.0003852009773254395,0.0007326678435007731,0.10086020010489005,0.008837433567753544,68.14608796296297,0.14390236183449073,197768.48592592592
7,5e-05,0.0439645843297851,0.0477636323151765,0.11938166865596064,0.015865670884355403,0.00034842205634532893,0.0006794114222917019,0.07118540204219738,0.006395937508618981,67.39666681808407,0.11041531290968093,198159.83289748954,0.14603560836226853,0.18128668891059027,0.14762263545283566,0.17578877766927084,0.016996995431405527,0.000375781015113548,0.0007259760962592231,0.07985053733543114,0.007141631091082537,67.77604166666667,0.11938166865596064,197364.14814814815
8,5e-05,0.045260872777598174,0.04453256960268374,0.108519287109375,0.015831943302294513,0.000385818144553767,0.0007566925411358444,0.06758681201535788,0.005924850328198038,67.8825346096789,0.10460929465811372,197628.85604079498,0.14329011140046297,0.13326952898943867,0.13168585883246528,0.21020024052372685,0.016064194573296442,0.00036903555746431704,0.0007197167696776214,0.06677731549298321,0.006205745273166233,66.99772569444444,0.10851927580656828,197960.67555555556
9,5e-05,0.04511219747052781,0.047324591742621526,0.11855394151475694,0.016087735756631614,0.0003760554629173548,0.0007582605744573812,0.06814458754272142,0.0058715231249023185,67.82729761770081,0.10698856928514387,198035.73702275104,0.13691399468315973,0.17268464265046296,0.16966853389033565,0.164113611291956,0.01687837530065466,0.00036040595284214725,0.0007049028078715007,0.08283945154260706,0.006497650852909795,66.80574652777777,0.11855394151475694,197518.95703703703
10,5e-05,0.04213834606855328,0.047397904572663484,0.1177508544921875,0.015411931574227733,0.0003359062436927054,0.0006681270689945655,0.06620734668177042,0.005481050228972814,67.1304246192198,0.10268743917205718,197410.91592573223,0.1456627513744213,0.14008367467809607,0.12927276611328126,0.2545987277560764,0.01725378672281901,0.00035808865670804624,0.0006999802589416504,0.081597900390625,0.007214929792616102,66.22159143518519,0.1177508544921875,198027.69777777776
