epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_y,val_vrmse_pressure,val_vrmse_momentum_x,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.14676887833096366,0.07751864397967304,0.1982947681568287,0.07297852894906967,0.0005753378463270497,0.0008890435722293572,0.3001563694935962,0.14052604968078963,74.6771004888303,0.4855222268552212,195078343.31318647,0.2177477349175347,0.2991665988498264,0.23025648328993056,0.2946275047019676,0.028815765380859375,0.0005435022601374874,0.0008880684993885182,0.1435184167932581,0.019795752631293403,75.43800925925926,0.1982947681568287,200176.82962962962
2,5e-05,0.08168794793002775,0.07381855152271412,0.1901884177879051,0.03013584519654637,0.0005335148346614508,0.0008949701815067764,0.16584239881407767,0.019610227900070127,74.99035104248813,0.20848070523043058,199441.00310538703,0.24064527723524307,0.29624970612702545,0.26428787796585645,0.24373951099537036,0.026080505936234087,0.00048788397400467486,0.0008358599521495677,0.15562563295717594,0.012858342771176938,73.34050347222222,0.1901884403935185,200808.60444444444
3,5e-05,0.06201998672007766,0.0577333238389757,0.14103832103587963,0.022103818760849693,0.00045617681787776007,0.0007994162813998955,0.11404884185751113,0.011675353953030319,71.47043151536248,0.1549853270631829,199071.81063676777,0.16653575755931713,0.2166686107494213,0.17469208893952545,0.20147210015190972,0.020525679411711517,0.0004541551183771204,0.0008154105257104945,0.09666592068142361,0.01038508521185981,70.89298611111111,0.14103833233868635,198940.63407407407
4,5e-05,0.055599068013842075,0.052889370388454864,0.1257032945421007,0.019801208841961234,0.00043152192058480227,0.00078109254376096,0.09481175075515044,0.009401876682018136,70.1808465534673,0.13689341912802044,198783.88644089957,0.15122658058449073,0.17391519052010995,0.19616391782407408,0.16941435637297453,0.01817003744619864,0.00044519821802775064,0.0008461171609384043,0.08306279500325521,0.008364983311405888,70.79372685185186,0.1257033058449074,198334.31703703705
5,5e-05,0.05174759576276381,0.05196692007559317,0.12727040608723958,0.018264389589085987,0.0004156980685556123,0.0007732316331559985,0.08465534760363431,0.008216372593676196,69.30647340878284,0.12576033896669184,198503.57720972804,0.1463006478768808,0.16718317102502894,0.1578880027488426,0.2039664261429398,0.0183868408203125,0.00041220700299298324,0.0007662482614870425,0.08646486070421007,0.00841922406797056,68.73835069444445,0.12727040608723958,199076.4562962963
6,5e-05,0.05030434252694249,0.04911808720341435,0.11914684154369214,0.018142330221574614,0.00039427700855334684,0.0007417916254860634,0.08298774206987485,0.00791730167476702,68.11963280075265,0.12430118514560007,198673.19096495816,0.1406356246383102,0.18488564950448497,0.15528184678819446,0.16180484347873264,0.017272206059208622,0.0004078986026622631,0.0007627068625556098,0.07633965951425058,0.007877746864601418,68.21293402777778,0.11914684154369214,198200.49777777778
7,5e-05,0.047577814489338066,0.04703785366482205,0.1131365966796875,0.01701229260981114,0.0003755819460864693,0.000714443846269304,0.07857616114815907,0.007286049830863665,68.36593589623104,0.11862434988459533,198477.5016997908,0.13903894495081018,0.166973876953125,0.14209052191840277,0.1544623819986979,0.0164323976304796,0.00039895304927119505,0.0007519671652052137,0.07105202003761574,0.006953117935745805,68.07327546296297,0.1131365966796875,198289.82518518518
8,5e-05,0.04774696882677783,0.04562814500596788,0.10901597764756944,0.01672585378936784,0.0004093291240374376,0.0007809903654356371,0.07036438921006653,0.006533398663149718,67.97556976892957,0.10999483078188228,197937.500457636,0.1318159654405382,0.16695404052734375,0.13352875886140048,0.15296601472077545,0.016034421567563656,0.00038581839314213507,0.0007354685553797969,0.06868534794560185,0.006700146993001302,66.92650462962963,0.10901597764756944,198213.4162962963
9,5e-05,0.04730474493450731,0.04432367395471643,0.10639109293619792,0.016856483918825108,0.0003908082984980104,0.0007522093667575669,0.07271897144397432,0.0065245513636696785,67.54601594294465,0.11245822830897245,198179.36921417364,0.12619556568287038,0.1536812111183449,0.134533849645544,0.15654712818287037,0.01555064872459129,0.00037829747906437626,0.0007259977746892858,0.06572102864583333,0.00635694009286386,66.64403356481482,0.10639109293619792,198020.68148148147
10,5e-05,0.04375124808252793,0.047616068522135416,0.11949005126953124,0.015895361817738034,0.0003577633156707204,0.0006957825358876331,0.06645146685664124,0.005749877027886682,67.5362472613985,0.10557371460555987,197916.1809296548,0.1296544505931713,0.18959671585648147,0.14818084716796875,0.16627478705512153,0.016957100762261285,0.0003761714917642099,0.0007237747421971074,0.07900261773003472,0.0073338918332700375,66.52550925925927,0.11949006257233796,198755.10518518518
