epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_ssim,train_mlw,val_rmse,val_h1,val_ssim,val_mlw
1,4.0100000000000006e-05,0.0952328230254352,0.09843891067430377,0.4959086664021015,0.0952328230254352,0.0004766808022395708,0.3785895198583603,77.41122035980224,0.09843891067430377,0.0006273181879805634,0.38555798679590225,84.00802564620972
2,5e-05,0.17512188935652376,0.18119167815893888,0.8681890070438385,0.17512188935652376,0.0015741997856821399,0.5814685985445976,99.75266189575196,0.18119167815893888,0.0010677104037313256,0.7112038284540176,119.47673988342285
3,5e-05,0.16563544813543557,0.11714674718677998,0.6118514090776443,0.16563544813543557,0.0019291470125608612,0.6735305652022362,109.1616111755371,0.11714674718677998,0.0009326411163783632,0.545092910528183,102.96194362640381
4,5e-05,0.14614938097074628,0.12071619275957346,0.612045731395483,0.14614938097074628,0.012030427870195126,0.5591888204216957,108.89917316436768,0.12071619275957346,0.000860588945215568,0.49050677567720413,103.4605188369751
5,5e-05,0.11062075700610877,0.10215132543817163,0.52602219581604,0.11062075700610877,0.000811965886168764,0.4879795327782631,98.64249801635742,0.10215132543817163,0.0008134045838232851,0.42085476964712143,98.2711534500122
6,5e-05,0.10320997573435306,0.0965752974152565,0.5188113059848547,0.10320997573435306,0.0009291655787819764,0.4714950084686279,102.0339708328247,0.0965752974152565,0.0008908971140044741,0.3998424634337425,102.3679609298706
7,5e-05,0.0941950822249055,0.0880603832192719,0.46389108896255493,0.0941950822249055,0.0009191904679028085,0.44153880029916764,99.91412868499756,0.0880603832192719,0.0009285323831136338,0.38839325308799744,100.51690006256104
8,5e-05,0.09151074718683957,0.09822013415396214,0.5246690213680267,0.09151074718683957,0.0024805856228340417,0.4305702567100525,103.2769775390625,0.09822013415396214,0.001010037518426543,0.4869162291288376,105.27826976776123
9,5e-05,0.07842859486117959,0.07710415869951248,0.4036911875009537,0.07842859486117959,0.0009118386278714752,0.3534259408712387,101.37151775360107,0.07710415869951248,0.0007987173830770189,0.3554655984044075,97.60109615325928
10,5e-05,0.06928334278054535,0.05696689756587148,0.3002220969647169,0.06928334278054535,0.0008186441184079741,0.29551450312137606,97.43828716278077,0.05696689756587148,0.0007867221356718801,0.28778668493032455,95.39338207244873
11,5e-05,0.05685982485301792,0.05910641327500343,0.34010489098727703,0.05685982485301792,0.0007639427578396863,0.264444662630558,94.45018520355225,0.05910641327500343,0.0007503814158553723,0.3235617056488991,93.67929744720459
12,5e-05,0.05759596116840839,0.052287924103438854,0.29405015520751476,0.05759596116840839,0.0007488525214284891,0.2860077083110809,93.36507244110108,0.052287924103438854,0.0007284371749847196,0.3043897971510887,92.21004629135132
13,5e-05,0.055691957380622624,0.04762404225766659,0.2520115189254284,0.055691957380622624,0.0007577638207294513,0.26046685725450514,93.59099349975585,0.04762404225766659,0.0007137640004657442,0.22863875329494476,93.46263313293457
14,5e-05,0.05292422571219504,0.05406501004472375,0.2787807807326317,0.05292422571219504,0.0006956972585612676,0.24896741062402725,92.84693326950074,0.05406501004472375,0.0006807721420045709,0.2591700702905655,94.01552248001099
15,5e-05,0.043493521166965365,0.06128195603378117,0.3252379195764661,0.043493521166965365,0.0006579699307621923,0.22245239317417145,91.46035814285278,0.06128195603378117,0.0006764433783246204,0.23128028959035873,92.23230361938477
16,5e-05,0.045582289714366196,0.03621930140070617,0.18395162280648947,0.045582289714366196,0.0006184270187077345,0.208029605448246,89.8652530670166,0.03621930140070617,0.0005917711678193882,0.17840804904699326,88.53730773925781
17,5e-05,0.04205733831040561,0.04967981204390526,0.2606211490929127,0.04205733831040561,0.00058681169157353,0.20435957610607147,88.79066581726075,0.04967981204390526,0.0005685914184141438,0.22840631753206253,88.76418018341064
18,5e-05,0.041338211251422764,0.03203245741315186,0.1669191662222147,0.041338211251422764,0.0005538701912882971,0.19864397197961808,87.12174291610718,0.03203245741315186,0.0005320806303643622,0.15186449140310287,86.36707735061646
19,5e-05,0.03924938733689487,0.052930931793525815,0.2590475995093584,0.03924938733689487,0.0005486044183271588,0.17633920311927795,86.86624364852905,0.052930931793525815,0.0005428949261840899,0.22531449049711227,85.36492729187012
20,5e-05,0.041970315179787575,0.030940401600673795,0.16433669533580542,0.041970315179787575,0.0005612825601929216,0.19238187968730927,87.58001031875611,0.030940401600673795,0.000525051686054212,0.15020490437746048,86.35167407989502
21,5e-05,0.03280959005933255,0.03105966537259519,0.16900123748928308,0.03280959005933255,0.0005065092520453618,0.16133447289466857,85.81033477783203,0.03105966537259519,0.0004956447019139887,0.16204343736171722,85.00039291381836
22,5e-05,0.031715572183020416,0.02607628086116165,0.13700731191784143,0.031715572183020416,0.0004938210018735845,0.15602297484874725,84.6284252166748,0.02607628086116165,0.00047666415503044846,0.13961508870124817,84.07137298583984
23,5e-05,0.029912739316932856,0.033503397135064006,0.18518213089555502,0.029912739316932856,0.0004771279629494529,0.14883514791727065,84.03926935195923,0.033503397135064006,0.00047886256925266935,0.19438476860523224,84.2872543334961
24,5e-05,0.035044539533555505,0.04003718588501215,0.18060994427651167,0.035044539533555505,0.0005026006387197412,0.1772308811545372,84.34312953948975,0.04003718588501215,0.00051277712918818,0.17021824419498444,84.82584381103516
25,5e-05,0.03222710266709328,0.03802622063085437,0.2253066822886467,0.03222710266709328,0.0004920259536447702,0.1549547240138054,84.14604778289795,0.03802622063085437,0.00047804086261749035,0.2007480189204216,84.8722095489502
26,5e-05,0.03471769958268851,0.03133421903476119,0.16211790218949318,0.03471769958268851,0.0004755995394589263,0.1742253839969635,84.15788488388061,0.03133421903476119,0.00046775468308624113,0.17138171941041946,84.80138683319092
27,5e-05,0.03240122189745307,0.02739548042882234,0.14985433593392372,0.03240122189745307,0.0004572220066620503,0.15888302624225617,84.3537088394165,0.02739548042882234,0.0004429370164871216,0.13342488557100296,84.16163063049316
28,5e-05,0.029245097585953773,0.034782754024490714,0.17724838573485613,0.029245097585953773,0.00044004821793350855,0.1468391627073288,83.23032264709472,0.034782754024490714,0.0004428015545272501,0.17003893852233887,82.87905359268188
29,5e-05,0.029284260398708285,0.030094999121502042,0.1511876741424203,0.029284260398708285,0.00044030095923517363,0.13906986266374588,83.27821350097656,0.030094999121502042,0.0004385030551929958,0.14393604546785355,82.8377914428711
