epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_ssim,train_mlw,val_rmse,val_h1,val_ssim,val_mlw
1,2.4800000000000004e-06,0.13235025405883788,0.1740182926878333,0.49121540039777756,0.06224241256713867,0.00042658602906158193,0.32519022226333616,69.95561370849609,0.0962696960195899,0.00042148765351157635,0.37782807648181915,73.89920854568481
2,4.4600000000000005e-06,0.17562170177698136,0.1690558223053813,0.484348651021719,0.09968205392360688,0.00039049669867381455,0.37609875202178955,70.96669158935546,0.09499544370919466,0.00039842238038545474,0.36092839390039444,73.51497030258179
3,6.44e-06,0.1275686576962471,0.16335141472518444,0.48550932854413986,0.0660087026655674,0.00036103204474784433,0.2900556683540344,70.24377059936523,0.09409621683880687,0.0003954935818910599,0.3298701196908951,73.90649700164795
4,8.42e-06,0.15733472555875777,0.16063353419303894,0.478352103382349,0.08890598192811013,0.00037981835776008667,0.32958546876907346,68.78466796875,0.0922098932787776,0.0004101398862985661,0.31944429129362106,74.43157577514648
5,1.0400000000000002e-05,0.17918210327625275,0.15967143885791302,0.4754650332033634,0.10487328171730041,0.0004561186913633719,0.3433525562286377,81.51993408203126,0.09148879861459136,0.00041564669118088204,0.3160020411014557,74.49861478805542
6,1.238e-05,0.13120401799678802,0.15746480133384466,0.47247862070798874,0.0666073277592659,0.0005470772739499807,0.2482855200767517,75.71022338867188,0.09129041852429509,0.0003967869988628081,0.30890020728111267,73.90378522872925
7,1.4360000000000001e-05,0.13972170948982238,0.1551439817994833,0.47330954670906067,0.08332665339112282,0.00029367630486376584,0.27807490825653075,76.38211364746094,0.09173927828669548,0.00037598598464683164,0.2973693385720253,73.42714548110962
8,1.6340000000000003e-05,0.17712653428316116,0.15475124306976795,0.47060708701610565,0.10724830105900765,0.0004624424094799906,0.31170737743377686,75.19749298095704,0.09097691113129258,0.0003698897335198126,0.3018656075000763,73.63351631164551
9,1.832e-05,0.18473215997219086,0.15465695038437843,0.47076812013983727,0.10768450349569321,0.0005299392389133573,0.33700459003448485,77.74924926757812,0.09100947715342045,0.0003677134318422759,0.30174534022808075,73.57993936538696
10,2.0300000000000002e-05,0.18005522787570954,0.1528734713792801,0.47065604105591774,0.11161152049899101,0.00038596719969063997,0.327635657787323,75.0702911376953,0.09040490118786693,0.0003595080006562057,0.2966211214661598,73.86909770965576
11,2.228e-05,0.16890296936035157,0.1532717738300562,0.47143852338194847,0.10644671618938446,0.00018997898005181923,0.35304864645004275,70.17829742431641,0.09059780044481158,0.0003569604505173629,0.29883967339992523,73.70370149612427
12,2.4259999999999998e-05,0.17149198651313782,0.14997011702507734,0.46247141994535923,0.10072610378265381,0.0004735965718282387,0.3139070153236389,76.12654190063476,0.08864718489348888,0.00035345920423424104,0.29099979996681213,73.61810874938965
13,2.6240000000000003e-05,0.11672697365283966,0.14797881711274385,0.4634201806038618,0.06714108362793922,0.0002476644440321252,0.24801779985427858,74.88128814697265,0.08877177583053708,0.00034581954241730273,0.27944041788578033,73.98037338256836
14,2.822e-05,0.1163008838891983,0.1459453534334898,0.458525063470006,0.06740230098366737,0.00024353427870664744,0.24481247663497924,74.96356658935547,0.0877131363376975,0.00034311373383388855,0.27384352684020996,73.96506786346436
15,3.02e-05,0.16263533532619476,0.14443534426391125,0.45361917838454247,0.09880868792533874,0.0002667725086212158,0.33658676147460936,64.13759307861328,0.0867622559890151,0.00033941795300052036,0.27134791016578674,73.74864673614502
16,3.218000000000001e-05,0.12654170095920564,0.14351139310747385,0.45503236167132854,0.06839438378810883,0.000501490241731517,0.22048537731170653,88.29009246826172,0.08661431446671486,0.0003367559202160919,0.26706187427043915,74.02219295501709
17,3.4160000000000005e-05,0.15416760444641114,0.14231582498177886,0.44723754562437534,0.08855237290263177,0.0004993405309505761,0.27098803520202636,76.07398986816406,0.08526784181594849,0.0003375224687260925,0.2678123787045479,73.68030405044556
18,3.614e-05,0.11165986433625222,0.14015430631116033,0.4443843839690089,0.058300194889307023,0.0004469277409953065,0.2067552089691162,80.3037223815918,0.08438847353681922,0.0003391103491594549,0.25873542577028275,74.22981834411621
19,3.812e-05,0.15985952615737914,0.1397725106216967,0.4330249112099409,0.09274805933237076,0.00040103644714690746,0.31373095512390137,74.66157684326171,0.08192466292530298,0.00034815591789083555,0.2696003317832947,74.73124933242798
20,4.0100000000000006e-05,0.12847102135419847,0.13219884503632784,0.4094631029292941,0.06641695350408554,0.00047113311011344195,0.25664941072463987,79.14692916870118,0.07660756027325988,0.0003744901478057727,0.24577848613262177,79.64951181411743
21,4.2080000000000004e-05,0.1027983233332634,0.11721237376332283,0.33344557415694,0.057472416758537294,0.0003292266861535609,0.1924304485321045,79.70579681396484,0.06305588129907846,0.0004133043548790738,0.22327516227960587,82.1920690536499
22,4.406e-05,0.12571130618453025,0.10938484966754913,0.2698362274095416,0.07254229821264743,0.0003371676430106163,0.2420708417892456,86.53289642333985,0.05040136259049177,0.0005397005006670952,0.21332306414842606,89.41209745407104
23,4.6040000000000006e-05,0.08914154022932053,0.12174716591835022,0.30937823094427586,0.0414785772562027,0.00041907756822183727,0.17806055545806884,88.49241180419922,0.05641143023967743,0.0005376981735025765,0.25633882731199265,86.9693546295166
24,4.802e-05,0.07818835973739624,0.11105260159820318,0.25976176280528307,0.03961327821016312,0.00025979419006034733,0.17056914567947387,80.1198013305664,0.047870160546153784,0.0005511800609383499,0.23748958110809326,90.52301788330078
25,5e-05,0.11441919505596161,0.09512647055089474,0.22714185900986195,0.04743100106716156,0.0005433975369669497,0.26545546054840086,95.61403198242188,0.04245398286730051,0.00047747673033882165,0.19199100881814957,87.23426914215088
26,5e-05,0.09209939390420914,0.10323193296790123,0.24897308461368084,0.04356959089636803,0.000501024212280754,0.15652395486831666,83.47235565185547,0.04558445722796023,0.0004764635041283327,0.2254953309893608,86.5351014137268
27,5e-05,0.11570404469966888,0.09428780665621161,0.22720065712928772,0.0478222630918026,0.0007093628111761064,0.21609092950820924,99.7353729248047,0.04178400570526719,0.00046376541649806313,0.19543685764074326,85.89185571670532
28,5e-05,0.09268850907683372,0.08111904561519623,0.18390893191099167,0.042785380780696866,0.0005113275197800249,0.16224499940872192,83.32774505615234,0.03415222209878266,0.00044639557199843694,0.16431362926959991,84.85836172103882
29,5e-05,0.07797807976603507,0.08608438773080707,0.20116508658975363,0.032950985431671145,0.0004890442680334673,0.13716585636138917,86.2815444946289,0.03646741691045463,0.0004565235749396379,0.17860528826713562,84.90456771850586
30,5e-05,0.09531276226043701,0.08862813655287027,0.22300740890204906,0.03897206299006939,0.0005917531554587186,0.17835360765457153,83.9349380493164,0.039933588821440935,0.00042657501580833923,0.18243864178657532,83.61896514892578
31,5e-05,0.07781257927417755,0.0862693665549159,0.20566863287240267,0.0392178826034069,0.00024130104866344483,0.17686429023742675,87.48338623046875,0.03703469131141901,0.0004193675467831781,0.18844198435544968,83.07329320907593
32,5e-05,0.0913221374154091,0.08118052454665303,0.18934782408177853,0.035732357576489446,0.00046199081116355957,0.21660158634185792,78.28576202392578,0.03559432760812342,0.0004109500250706333,0.1669246405363083,82.98224639892578
33,5e-05,0.06662041395902633,0.07999400375410914,0.18897796515375376,0.03648489937186241,0.00023207053600344808,0.12354658842086792,81.42698974609375,0.0354161118157208,0.00040014238948060665,0.16380514949560165,81.98499965667725
34,5e-05,0.0805143341422081,0.07869467046111822,0.183138326741755,0.033836137503385544,0.00037435311824083326,0.1864035964012146,73.8440055847168,0.0339501635171473,0.0004013851830677595,0.1645016446709633,82.18843650817871
35,5e-05,0.07968393564224244,0.06995904631912708,0.16396617330610752,0.03294569104909897,0.0004438803356606513,0.16362818479537963,75.31192169189453,0.03012127708643675,0.0003782006424444262,0.13951825350522995,80.99650382995605
36,5e-05,0.07211585193872452,0.07505765510722995,0.17353103961795568,0.03122153542935848,0.00031318290275521575,0.1682344913482666,85.32553558349609,0.032317898818291724,0.00038272581696219277,0.15735642611980438,81.30011701583862
37,5e-05,0.07062446847558021,0.07042804872617126,0.1688580261543393,0.03344135563820601,0.00024314762267749757,0.16683820486068726,79.30362854003906,0.030456715961918235,0.000368014110790682,0.1438041776418686,80.75414562225342
38,5e-05,0.06334901303052902,0.07185670267790556,0.16749849449843168,0.027035433799028397,0.00029396432219073174,0.14410243034362794,78.66425323486328,0.030971999396570027,0.0003771402907659649,0.14685125648975372,81.00154304504395
39,5e-05,0.07068242728710175,0.07222214201465249,0.16726456489413977,0.029291694052517414,0.0004462537486688234,0.12718696594238282,80.75391235351563,0.032995326211676,0.0003630522078310605,0.1404947116971016,79.70083856582642
40,5e-05,0.05843261629343033,0.06625880347564816,0.1570183765143156,0.026686564832925797,0.0003236279531847686,0.10376436710357666,74.43323364257813,0.02881717006675899,0.0003631207382568391,0.12857063114643097,79.55615615844727
41,5e-05,0.0702101618051529,0.06359512498602271,0.14647359773516655,0.03042674995958805,0.00037592503940686584,0.1399143934249878,86.06320037841797,0.027813200373202562,0.00036361944603413576,0.11733967065811157,79.5867133140564
42,5e-05,0.04986991584300995,0.06100488966330886,0.1403894256800413,0.02286876514554024,0.00025253578060073777,0.0958290696144104,70.79360733032226,0.026851322734728456,0.0003556384081093711,0.10914430022239685,78.92241144180298
43,4.946461621797824e-05,0.06230875849723816,0.06301852921023965,0.1410449966788292,0.02749885357916355,0.00028641856770263987,0.13659316301345825,80.2644660949707,0.02670074300840497,0.0003524868643580703,0.12462295591831207,78.68084907531738
44,4.532091636218622e-05,0.07122325412929058,0.06127158459275961,0.13602715730667114,0.029925491102039813,0.0004200905270408839,0.13528826236724853,82.70329284667969,0.025852839811705053,0.00035068358010903466,0.11923043429851532,78.49263048171997
45,3.775e-05,0.04987131804227829,0.05749539751559496,0.1265188828110695,0.021061146259307863,0.0003034517721971497,0.09091721773147583,67.22953948974609,0.02417960320599377,0.00035073959770670626,0.10519208759069443,78.17024803161621
46,2.8060947350057514e-05,0.05686814337968826,0.05305248382501304,0.11787767009809613,0.02522990629076958,0.00036590037925634535,0.08895478248596192,80.06096038818359,0.02231215825304389,0.0003391830359760206,0.09187448024749756,77.69004917144775
47,1.7929083637813794e-05,0.048862959071993825,0.05119578936137259,0.11382910842075944,0.019969451986253262,0.0003350164828589186,0.08095120191574097,75.74254760742187,0.021418637013994157,0.00033712436652422184,0.08613954484462738,77.623854637146
48,9.10630014420798e-06,0.056850184127688407,0.04990284936502576,0.11252407217398286,0.022270849719643594,0.00044030634016962723,0.08376010656356811,80.54871978759766,0.020687454496510327,0.0003326202913740417,0.08389586210250854,77.36321449279785
49,3.118136287756276e-06,0.04323774538934231,0.04847622220404446,0.10744780907407403,0.01814258061349392,0.0002615122590214014,0.08013033866882324,81.65005035400391,0.01999350276309997,0.0003296526856502169,0.08000056445598602,76.98206329345703
50,1e-06,0.053060756996273994,0.047872724710032344,0.10540165472775698,0.021140775084495543,0.00038759017479605973,0.0836031436920166,83.35839385986328,0.01968166825827211,0.00032884614665817935,0.07832499593496323,76.87645387649536
