epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_pressure,val_vrmse_density,val_vrmse_momentum_y,val_vrmse_momentum_x,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.1265736241439147,0.08183764422381366,0.2253605369285301,0.058333647778359046,0.0005454286151499032,0.000856376412372723,0.2731236284248001,0.10188702235162009,75.11081143303396,0.3985332841965444,201586.54756145398,0.28713419596354167,0.19770277235243056,0.20165965892650464,0.4519541648582176,0.03198290506998698,0.0005368159876929389,0.0008780398192229094,0.15342623110170717,0.02324061075846354,75.05846064814814,0.22536051432291668,201044.76444444444
2,5e-05,0.08113222861093582,0.06942615085177951,0.17599622938368056,0.030032644584135904,0.0005293459485378414,0.0008816992156132823,0.16421523789980422,0.019007117429038968,74.73160439654873,0.20593491846609813,199945.8503530335,0.23806373878761575,0.21393837257667825,0.20094602231626157,0.30562694408275465,0.025782948246708622,0.00048128896289401584,0.0008278060842443395,0.13052504928023728,0.015556390550401476,72.89341435185185,0.17599625198929397,200429.93777777778
3,5e-05,0.3798562622897982,0.08128836172598379,0.20116927535445603,0.05603734960109307,0.005675834858747556,0.012822703964493067,0.26684778454912256,0.06677235606824004,84.29459904626822,0.4181512931369588,216186.42547071129,0.3124463568793403,0.28387821903935184,0.2291816993995949,0.303492273401331,0.02945281699851707,0.0005460586371245208,0.0008955058345088252,0.16355074282045717,0.018978313869900173,76.40505787037037,0.20116929796006944,206855.68
4,5e-05,0.06360017293167912,0.05710394400137442,0.13843389440465856,0.022930298482796575,0.00048175762965104666,0.0008174386514735515,0.11054661682958883,0.01253917937996996,72.76071018554177,0.156954841477851,204859.22914487447,0.17802222357855904,0.16120629204644096,0.17779891402633102,0.22154380515769675,0.020623239587854458,0.0004644053512149387,0.0008124664977744773,0.08840290776005498,0.01024413991857458,71.403125,0.13843387179904515,203353.31555555554
5,5e-05,0.056355546484798756,0.056138729519314236,0.14037819191261575,0.020027932579430387,0.000444583982954922,0.0007895224039859165,0.09398942774309772,0.009673820753975394,70.22095161501832,0.13746943823587945,202383.54435800208,0.17112381546585648,0.16435364899811922,0.15307551631221064,0.2447194191261574,0.020093542028356483,0.0004413863464638039,0.0007912896297596119,0.0931724774395978,0.009937957481101708,70.48550347222222,0.14037819191261575,202959.00444444444
6,5e-05,0.05327777783133121,0.05116977267795139,0.12301280834056713,0.019286791267941188,0.0004182692084207409,0.000761785788898877,0.08718350392505214,0.008966694815887069,69.30938050337915,0.13144541077440502,202122.3427039749,0.1610111829969618,0.1541193305121528,0.1522578825774016,0.1913283058449074,0.017902877242476852,0.0004255655076768663,0.000778723469486943,0.07992411295572917,0.008223079398826317,69.63206597222222,0.12301280834056713,201430.5185185185
7,5e-05,0.047870138009316505,0.05096486974645544,0.12753885904947918,0.016962675106415533,0.00039308133761863334,0.0007289071843721202,0.07502263485138386,0.007447949139144132,68.94575340079463,0.11753190508322736,200685.45920502092,0.1729685013382523,0.16436717845775464,0.14435230396412038,0.1979171187789352,0.018144319322374133,0.00041029223689326535,0.0007635834481981065,0.08203960277416088,0.008590408607765481,68.66347800925926,0.12753885904947918,199760.02370370372
8,5e-05,0.05021401496689813,0.04866098474573206,0.11602188675491898,0.017647443986575754,0.00042877331395106634,0.0008007338533255785,0.07418603316011788,0.007158813990309648,68.61105657122624,0.11612607526620188,200044.2166579498,0.15533512821903936,0.1564316361038773,0.13648782235604745,0.1798532556604456,0.017389996846516927,0.00039948653291772915,0.00075204540182043,0.0753110588921441,0.007301165969283492,67.81779513888888,0.11602188675491898,199976.9362962963
9,5e-05,0.049545227124250524,0.046203997576678243,0.11186125578703704,0.01775022755497794,0.0004094604676207367,0.0007734633896169607,0.07547983838923307,0.00705509243151134,68.33618873532347,0.11742060912079393,199730.75869508367,0.1767675668221933,0.13431835033275463,0.1312839310257523,0.16424267804181134,0.016263269495081018,0.00039071515754417137,0.0007413308708756058,0.06936647203233506,0.006927202012803819,67.56453125,0.11186124448423032,199212.58666666667
10,5e-05,0.045031444406308324,0.04679948029694734,0.1122501853660301,0.01620209652727867,0.00037322977797426404,0.0007125564741101439,0.06778572306473385,0.006137815853541865,68.0952883365264,0.10700425831795861,199322.06978948746,0.16607390227141203,0.13254809344256366,0.1470001220703125,0.16714457194010415,0.0163387284455476,0.0003871734054000289,0.0007407946056789823,0.07401388662832754,0.006879528186939381,67.1566724537037,0.1122501853660301,198693.08444444445
