epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.11712776955263884,0.07778255886501736,0.1738038917824074,0.04986997400936534,0.0004740997856060858,0.0008204566821294666,0.23811377491412303,0.06525835694129498,78.35738977727532,0.3239546858366563,201505.46910957113,0.2072915988498264,0.1742806554723669,0.199542236328125,0.439892578125,0.0255017739755136,0.00047968550964638037,0.0008456561300489638,0.1367762134693287,0.015262750696252894,77.80080439814814,0.1738038917824074,199961.6
2,5e-05,0.0779627351261769,0.06981774224175347,0.15572368480541088,0.025543932855581264,0.00046350746605502876,0.0008260179679534634,0.14401927690126906,0.013719461453010846,76.4053662511594,0.17689584315633675,198592.4151085251,0.17848242865668404,0.18685945864076967,0.21349209255642362,0.32219792118778934,0.02274690133553964,0.0004463137079168249,0.000794407085136131,0.11556307192201967,0.012076699998643664,74.20692708333333,0.1557236961082176,276203001.17333335
3,5e-05,0.06965822931457015,0.06685138278537327,0.14449987340856482,0.022652478786341253,0.0004229065496543002,0.0007753261964593183,0.1236010910826248,0.011835062354179606,73.20258934627518,0.158821791644251,198127.6000915272,0.18283330846715856,0.16315633138020832,0.18425750732421875,0.30680695710358796,0.020949182863588687,0.00044906015749330875,0.0008422327041625976,0.10657727276837384,0.010867970784505208,74.62601273148148,0.14449988471137154,197960.40296296295
4,5e-05,0.06120534607104053,0.05978250009042246,0.1267752301251447,0.019362710953093908,0.0004073592985299165,0.0007627977760170187,0.09514340197192077,0.008655028861935667,72.03159507847231,0.13303241722098705,197532.46508891214,0.15923642758969908,0.14522543447989006,0.18213985866970486,0.2424751564308449,0.01851809607611762,0.0004044024149576823,0.0007562240847834834,0.0923454510724103,0.00821920182969835,71.92465856481482,0.12677521882233797,197192.9125925926
5,5e-05,0.05714026431330951,0.05692101937753183,0.12235068992332176,0.017954385578320613,0.0003850355916393371,0.0007332427742978523,0.0859966461379159,0.007853513981009128,70.34602074244032,0.1247381628822208,197677.4733917364,0.15389764856409144,0.16902481644241898,0.14097160056785302,0.2298990433304398,0.017513286449291086,0.00038972761895921497,0.0007407827730532046,0.08623137297453703,0.007999570634629992,69.86645833333333,0.12235068992332176,197376.37925925927
6,5e-05,0.05353289135345979,0.054079714174623844,0.11596166540075231,0.016939946474647735,0.000370037939850301,0.0007149575139149165,0.0743555123586535,0.0069542333920131665,69.3772057010539,0.11447782983621543,197267.95224241633,0.15748968053747106,0.1418647031430845,0.15469807942708333,0.1976034206814236,0.01676595758508753,0.00038255091066713686,0.0007305775748358833,0.07475643016673901,0.00710095935397678,69.72745949074074,0.11596166540075231,197437.81925925927
7,5e-05,0.05085250563826022,0.0568096923828125,0.12777002405237267,0.015777989422169878,0.00035015720117044264,0.000684039559504047,0.07085042605839015,0.006332402199382064,69.39092017616687,0.10982322688974347,197124.40569429917,0.18980830439814814,0.18153821026837386,0.13282432273582176,0.1873291015625,0.017827073556405528,0.0003772341322015833,0.0007294898562961154,0.08776549727828414,0.007565299140082465,69.56088541666666,0.12777000144675926,196905.0311111111
8,5e-05,0.052915920499540775,0.051659636320891204,0.10820540816695602,0.016211539043686413,0.000385579932833337,0.0007556039465031428,0.06956213363543715,0.006156526225381317,69.91064610341603,0.10694504071759629,196502.11584728034,0.12742820457175927,0.15377297860604747,0.13849336977358218,0.19128044976128472,0.0161835041752568,0.00036844929059346517,0.0007192439944655807,0.06726404260706019,0.006357730582908348,69.64059027777778,0.10820540816695602,196719.25333333333
9,5e-05,0.05174511727958793,0.04949907090928819,0.10377459490740741,0.01608187975810069,0.0003702936801099016,0.0007344027548314896,0.06804856583164327,0.006061089836902699,69.41268351088009,0.10734397019396018,196695.07302562761,0.12419709382233796,0.12670432761863426,0.14171511049623842,0.18340781882957177,0.014935395982530382,0.00036190242679030806,0.0007094860076904297,0.06417604799623843,0.006000582377115885,68.42141203703704,0.10377459490740741,196723.8637037037
10,5e-05,0.047424713954345075,0.04780918262622975,0.09874053955078126,0.014679175033428898,0.0003385863224548112,0.0006741680304174483,0.05938007866488341,0.005173412701076045,69.09210873847228,0.09653226998887925,196686.85881929917,0.12214894612630209,0.12697088170934606,0.129428631817853,0.1653200728804977,0.014479087547019676,0.00035591951122990363,0.0007001389839031079,0.05795928955078125,0.005652182190506547,68.40226273148149,0.09874052824797454,196772.74074074073
11,5e-05,0.047574286947268445,0.05138335051359954,0.11035490813078704,0.014757168945412163,0.0003348498113767746,0.0006675896637408266,0.06187900564161804,0.005510872128618312,67.92776532352718,0.10297560659880169,196466.16474895398,0.12703223334418404,0.17400959156177662,0.1292822265625,0.1732618882921007,0.015903296294035734,0.0003608453273773193,0.000709321763780382,0.07049654360170718,0.006312068656638817,68.6330787037037,0.11035491943359375,196490.08592592593
12,5e-05,0.04982761220780501,0.04829230414496528,0.10059921829788773,0.015321336114763528,0.00036591929880239936,0.0007372969654440632,0.06227662623178011,0.005390111247864727,68.68817032530717,0.09961269314646347,196649.40879968618,0.12474427399811922,0.13523993598090278,0.1261456298828125,0.17118815104166665,0.01467191908094618,0.00035451906698721425,0.0006996397177378336,0.0609620044849537,0.0057230242976435905,67.5012673611111,0.10059920699508101,196252.27851851852
13,5e-05,0.048142545416203004,0.04905656602647569,0.10457569263599537,0.01504318243054338,0.0003342570552030563,0.000675519466221505,0.06363837988306788,0.005483208590471595,68.40752958353593,0.10148907381900933,196753.31047332636,0.12457209834346065,0.12881912796585648,0.1369196347837095,0.19116466380931713,0.015276520340530961,0.00034832537174224855,0.0006882336846104375,0.06405725549768519,0.005836483284279152,67.55184027777777,0.10457570393880208,196285.79555555555
14,4.603315856985009e-05,0.04624151040616769,0.04666402463559751,0.09541988796657987,0.01445168114284825,0.0003155750632529276,0.0006414522984273561,0.06052420989738847,0.005228767085773675,69.32444307494862,0.09799293355010917,196594.40677301254,0.12529290093315973,0.12098831741898149,0.1222237707067419,0.14999482331452546,0.01389520009358724,0.000350033442179362,0.000702982434520015,0.05644960756655092,0.005239816948219582,67.99712962962963,0.09541987666377315,196656.8651851852
15,3.396144383332204e-05,0.04411246464880004,0.04521522239402488,0.09295168841326679,0.013493137510111516,0.00031759461863214305,0.0006514515758000058,0.052899325367795874,0.004613654508750309,68.04697296110656,0.09130879313096592,196571.6277785042,0.11613126401548032,0.12681608977141204,0.11749502676504629,0.14813182689525464,0.013628302680121527,0.00033990712077529344,0.0006793130768669976,0.05258910002531829,0.005026015528926143,67.03193287037037,0.09295168276186343,196330.69037037037
16,1.852907412753971e-05,0.04124928362059668,0.04290399904604311,0.08673274287471065,0.012237851587357974,0.00030717731136561293,0.0006329297020175131,0.046722868122316304,0.004294526751570123,66.44136183032431,0.08567276019330242,196035.91988101465,0.11051764594184028,0.11062557644314236,0.110436932599103,0.13318981029369212,0.012738096449110243,0.0003321593779104727,0.0006660370473508481,0.04648171884042245,0.004584814707438151,65.85677083333333,0.086732748526114,195994.38222222222
17,5.865366264235065e-06,0.04027737940907104,0.04229272913049768,0.08516944602683739,0.012018366503211666,0.00030503884679727655,0.0006350823542337037,0.043432433859573745,0.003997522542666192,64.92205273456653,0.08208639235683876,196089.75807400627,0.1084576529043692,0.10824381510416667,0.10785790337456597,0.13022980866608797,0.01250644259982639,0.0003296795818540785,0.000662519755186858,0.04515899658203125,0.004472210495560258,65.28457175925926,0.08516944037543403,195853.72444444444
18,1e-06,0.04001525945564007,0.04215273256655092,0.08491789076063368,0.011819595406241092,0.0003075105227844307,0.0006396382883617453,0.04261144197635571,0.004038030133586549,64.2842143788996,0.08183438424995193,195877.60793671547,0.1081429601598669,0.10798599808304399,0.10739408139829282,0.12959520128038193,0.0124708331072772,0.00032909746523256654,0.0006610858881915058,0.044887367531105324,0.004453676365039966,64.93922453703703,0.08491789641203704,195881.6
