epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,2.99525e-05,0.1923458685143655,0.15523645471643518,0.24632396556712963,0.05804274285979131,0.0005315032517615737,0.0009053387080452272,0.2591237636173473,0.0648106427691063,0.0,0.3515138415729298,198981.1899947479,0.44349205468883035,0.6885939445816168,0.2847356499565972,0.3564478443287037,0.28394689489293984,0.5264227520978009,0.032803497314453124,0.0005039579780013473,0.0008643482349537037,0.2038736527054398,0.022599238642939813,0.0,0.24632396556712963,194485.9022222222,0.649395435474537,0.6665401656539351
2,4.9963273333986144e-05,0.16006647651435948,0.15237872088396992,0.1978807689525463,0.03579272484766836,0.0004906011306330515,0.0008400216800876807,0.20463342626555628,0.023874279706418013,0.0,0.23936950296413997,193489.45548844538,0.4192487943072279,0.6904867967637647,0.26346290870949074,0.2064543773509838,0.31000745985243056,0.34068879304108796,0.028007032606336805,0.0005135394025731969,0.0009197851463600441,0.16294065122251158,0.018709237840440537,0.0,0.1978807689525463,190627.84,0.6551719382957176,0.7425360785590278
3,4.937559161148094e-05,0.1489618566482007,0.1516060949254919,0.19212357132523147,0.02833321280464405,0.00048520447338536036,0.0008658897950990955,0.13956077559655453,0.015682030782228757,0.0,0.1790248139941392,191671.0332195378,0.49250329166901213,0.7543430117999806,0.2071294261791088,0.3257122576678241,0.18191862883391205,0.36793940791377316,0.025952272768373842,0.0004425874462834111,0.0008060887124803331,0.16872832121672454,0.018305827953197337,0.0,0.19212357132523147,191067.5911111111,0.7844145146122685,0.7821520543981482
4,4.808747105966034e-05,0.14460790132274146,0.1495269097222222,0.17610093858506945,0.02590096082945331,0.0004365131286600949,0.0008036617161275647,0.12425109067884814,0.012561101372502432,0.0,0.16283312490006455,190199.81473214287,0.5717872684242344,0.7824361765084147,0.1938570601851852,0.29738468876591434,0.20381130642361112,0.2862406864872685,0.024589193838614003,0.00042101639288443107,0.0007716989517211914,0.14379747178819444,0.01313124762641059,0.0,0.17610093858506945,189707.4251851852,0.8129041883680556,0.8231727430555555
5,4.613670130342732e-05,0.1384704778550052,0.13652147081163193,0.1454107666015625,0.022835526317984117,0.0004001642684227231,0.0007419312916238236,0.10389679119366557,0.010010632271526241,0.0,0.14380880827162446,189557.9262079832,0.6182730343161511,0.8004221775952507,0.16172290943287038,0.16788560655381946,0.23607415093315973,0.2301596408420139,0.020111058553059894,0.00040251771608988446,0.0007489776611328125,0.10475234420211227,0.010302210207338687,0.0,0.1454107666015625,189065.29185185186,0.8491292317708333,0.8057166883680555
6,4.3580512123997546e-05,0.13695216423072734,0.1342873919451678,0.13140081334997106,0.021750131183687377,0.0004002202501297467,0.0007490626036897771,0.09371273557678993,0.00883241226317502,0.0,0.1334337302241005,188648.12198004202,0.6543463613806653,0.8113410843520605,0.1734929515697338,0.15187934027777777,0.17348271122685185,0.24426477502893518,0.01865675749602141,0.0003988879256778293,0.000745773403732865,0.08752960205078125,0.008488236886483652,0.0,0.13140081334997106,188225.3037037037,0.8811101164641204,0.8255679434317129
7,4.049389450737396e-05,0.13622132832763575,0.13606363932291668,0.12695719401041666,0.020748038541431688,0.0003808499811590892,0.0007213518784592758,0.08697002725440915,0.008268321073856675,0.0,0.12890000722738876,188436.55042016806,0.70293014390128,0.8338528490867936,0.1707112178096065,0.15679825394241897,0.17366963704427082,0.1995317021122685,0.01788789254647714,0.00038777457343207463,0.0007341176492196542,0.08582236961082176,0.008496898368552878,0.0,0.12695719401041666,188744.77037037036,0.9319963469328704,0.859136646412037
8,3.696740063191148e-05,0.13565594865744854,0.13433223017939816,0.1225082058376736,0.01916832067541966,0.0003755742533840709,0.0007197516065427423,0.07574670855738536,0.007060628196521967,0.0,0.11565856109647189,188426.27888655462,0.7797078530327612,0.863469078761189,0.14771344220196758,0.1623188838252315,0.16366453947844328,0.1967503074363426,0.017528960616500288,0.0003817643501140453,0.0007299135790930854,0.0810908677842882,0.00798179061324508,0.0,0.1225082058376736,188550.4711111111,0.9754273365162037,0.855514232494213
9,3.3104487336791805e-05,0.1365367653114455,0.13184539794921876,0.1048234275535301,0.019293641131527785,0.0003792946591304161,0.0007304194375496952,0.07706638794987142,0.0070958344124946275,0.0,0.11675448458986122,188170.8731617647,0.7775983129228864,0.8671843149080998,0.13764476634837963,0.12705942789713542,0.13188177038122106,0.17906378851996527,0.015092742354781538,0.0003697632418738471,0.0007122164302402073,0.06127622251157407,0.006263325302689164,0.0,0.1048234275535301,188136.2725925926,1.0049123806423612,0.890730613425926
10,2.9018481006140187e-05,0.13603215890020884,0.1340688521773727,0.10556689227068866,0.018603521062671637,0.0003657796242354563,0.0007117915687742134,0.07272989910189845,0.006609162832258128,0.0,0.11254333592012149,188218.56551995798,0.8220119125702802,0.8823016967092242,0.13397996690538194,0.1322665970413773,0.14132095902054398,0.176314697265625,0.015156748736346209,0.0003653862299742522,0.0007059467280352557,0.06604442455150462,0.006311066238968461,0.0,0.10556689227068866,187513.16148148148,1.009392361111111,0.9073612919560186
