epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,train_sds,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor,val_sds
1,2.99525e-05,0.11915696362236969,0.08848956072771991,0.21911367910879628,0.05411647397930883,0.000490650235276137,0.0008589151616701309,0.22645179964915044,0.057808725648567455,0.0,0.3217435131052963,198658.38642331932,0.27345558174517975,0.6540206245013646,0.23705948441116897,0.19960693359375,0.25951070149739586,0.6092750831886574,0.03005732783564815,0.00048505606474699795,0.0008505271099231861,0.1858869312427662,0.022036395602756078,0.0,0.21911367910879628,198470.21037037036,0.4865436469184028,0.6296388979311343
2,4.9963273333986144e-05,0.08998361323811427,0.07964499014395254,0.18391177707248263,0.032595670977685634,0.0004656323017268794,0.0008210416060496716,0.1831058924939452,0.018872927060397733,0.0,0.21557905794191762,195489.4055934874,0.2257646419921843,0.6640441953635016,0.2622106029369213,0.2071707492404514,0.2252676052517361,0.3697780128761574,0.026090415672019675,0.00047143114937676326,0.0008583953645494249,0.15162303783275463,0.016647573400426795,0.0,0.18391177707248263,193413.7837037037,0.4984524197048611,0.7239563440393518
3,4.937559161148094e-05,0.07240266443676308,0.0624199535228588,0.1414481834129051,0.025247634740687218,0.00045217901929046867,0.0008315285161517153,0.11596767241213501,0.011732710040166598,0.0,0.1556705058622761,193253.43658088235,0.21311046095455394,0.715092765183008,0.19427662037037038,0.16207400851779513,0.16150911684389468,0.29331452546296294,0.01996353997124566,0.0004187257201583297,0.0007770785578974971,0.09233953405309607,0.00982926262749566,0.0,0.1414481834129051,192955.11703703704,0.5019474283854166,0.7669199399594907
4,4.808747105966034e-05,0.06843145617416926,0.06106179696542245,0.13207892523871528,0.02354181302758325,0.0004135921216929848,0.0007714577808686602,0.1118616792334228,0.010249262534770645,0.0,0.14863116363016496,191936.8279936975,0.22642765638708068,0.7430784812494486,0.1585242603443287,0.18199277524594906,0.175863037109375,0.23255985966435186,0.01906772048385055,0.0004055376406069155,0.0007577226780079029,0.0924959875036169,0.00890480394716616,0.0,0.13207892523871528,192009.38666666666,0.5208466254340278,0.7842795138888888
5,4.613670130342732e-05,0.061477696350893056,0.0577263500072338,0.1257948585792824,0.021154557957368737,0.0003884343272407672,0.0007331826349430788,0.08867717139861163,0.008435606361687685,0.0,0.1296634138131342,190945.16412815126,0.24274881572282614,0.7599845764015903,0.15590185094762732,0.1479836697048611,0.1648964210792824,0.25152924714265046,0.018244538483796296,0.00039218743642171225,0.0007408254234879105,0.08096027515552662,0.008050355558042174,0.0,0.1257948585792824,189127.34814814816,0.5305228226273148,0.7728400788483796
6,4.3580512123997546e-05,0.05966599811525906,0.061918549714265046,0.14034046314380788,0.02053996390749176,0.00038677185077803255,0.0007358069131503022,0.08102663875627919,0.00765128033000882,0.0,0.12225850233260323,190097.9348739496,0.2610378514568345,0.7633445328023253,0.20183797200520834,0.17657512523509838,0.14938866509331597,0.2646279568142361,0.019923648127803097,0.00039561933941311306,0.0007456269970646611,0.09678279170283564,0.009265571876808449,0.0,0.14034046314380788,189747.01037037038,0.5231516294126157,0.7696519639756945
7,4.049389450737396e-05,0.05666501776260488,0.0554425048828125,0.11929468225549769,0.01931273191384658,0.00036898984924984017,0.0007103450034799822,0.07465018294438594,0.007149269882620883,0.0,0.117728193204443,189504.8194590336,0.2753307687885621,0.7705265679279295,0.14575871220341435,0.16316296612774883,0.1379104049117477,0.22588584617332175,0.016912299262152777,0.00038311490306147824,0.0007305243280198839,0.07711846245659722,0.007655741373697917,0.0,0.11929468225549769,189482.8088888889,0.564727466724537,0.7806689453125
8,3.696740063191148e-05,0.055736373953458644,0.053405377423321757,0.1117476173683449,0.018661790715233117,0.0003665023876604538,0.00071468877023039,0.07324559197706335,0.006651495559876706,0.0,0.1125778794413855,189113.20076155462,0.29052268870237496,0.7762624861813393,0.13305862991898149,0.1253022144458912,0.17400018762659145,0.19308704517505787,0.01646298161259404,0.00037076967733877677,0.000716449949476454,0.07008044207537616,0.006659627843786169,0.0,0.1117476173683449,188037.49925925926,0.5591029188368055,0.7891849320023148
9,3.3104487336791805e-05,0.055022641327701696,0.04889477199978299,0.09921902126736111,0.018511084409258447,0.00036805042284814753,0.0007185679618288771,0.06846011436286092,0.006316033387634934,0.0,0.10919834886278425,188741.25669642858,0.2945841211481255,0.7840018577936316,0.1264671043113426,0.12706631130642362,0.12232355188440394,0.16895731608072917,0.01442088798240379,0.00035979880226982966,0.0007009515497419569,0.057104209617332174,0.0057080516108760125,0.0,0.09921902126736111,188240.21333333335,0.5848531087239583,0.7918314163773148
10,2.9018481006140187e-05,0.05139077382803965,0.048809367992259836,0.09900476526331019,0.016841194349802843,0.0003516276436955707,0.000696582073529697,0.05976696124597758,0.005482851018925675,0.0,0.09941662491119209,188463.53216911765,0.345229316909774,0.8003152894372699,0.1218500660083912,0.12436069064670138,0.12164403844762732,0.17832618995949073,0.01426362779405382,0.0003549125238701149,0.0006948315655743634,0.058065400300202547,0.005615136535079391,0.0,0.09900476526331019,188354.6785185185,0.6059042245370371,0.8090303096064815
