epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_pressure,val_vrmse_momentum_y,val_vrmse_momentum_x,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.1448737970050658,0.08821570502387152,0.23565897623697918,0.0735619670953056,0.0005470159411996285,0.0008413534175766114,0.2930735416990943,0.14335318115465812,73.72293408445734,0.48849106608075576,201584.21280073223,0.21878503870081017,0.2658159496166088,0.323166345666956,0.42385073061342593,0.03313589025426794,0.0005478333102332221,0.0009169278321442781,0.18458765100549768,0.027012354532877605,75.82214120370371,0.23565897623697918,200506.59555555554
2,5e-05,0.07935459357510988,0.07805746572989004,0.21011040581597223,0.029052045999024702,0.0005278058019064389,0.0008939226032742219,0.15941504354756247,0.018239861627004136,74.41312532943661,0.2007583723594454,200040.40386375523,0.19583737973813659,0.34234795464409723,0.2792445656105324,0.3466337302879051,0.028569451791268807,0.00047786103354560005,0.0008242780190927011,0.17063301368995948,0.0185972566957827,71.98429398148149,0.2101103832103588,199987.2237037037
3,5e-05,0.0632771509952812,0.0631991238064236,0.16199006257233797,0.02289343554581122,0.00045147334642393487,0.0007944912936029719,0.1187336490992223,0.012168624660460021,71.22959663678412,0.1603542496625599,198997.93282557532,0.1844776294849537,0.2361637595847801,0.2759581615306713,0.19462063259548612,0.02256167517768012,0.00044587188296847874,0.000802305539449056,0.12229236744068286,0.011141126420762804,70.3691724537037,0.16199005126953125,198512.72296296296
4,5e-05,0.054509251790557635,0.05729237874348958,0.14271908230251737,0.01942751641096898,0.0004236327641406187,0.0007721243330623065,0.09266731192876106,0.009228147971580218,69.45577174549821,0.1340871027838361,198876.45057531382,0.14916585286458334,0.18862605342158564,0.19984752513744214,0.2341335494429977,0.020384049592194736,0.00043484595086839466,0.0008089841736687554,0.10110684995298032,0.009797110380949797,70.35967592592593,0.14271907099971065,198412.61037037038
5,5e-05,0.052553998937666664,0.05020875153718171,0.12104764585141782,0.018825565213454444,0.0004051931647576962,0.0007586990095831684,0.08979183323213745,0.008392107287211398,68.89201402065645,0.1312742288766047,198933.21740978034,0.1378325398763021,0.16316401728877314,0.17308399341724537,0.17838737205222802,0.017652610496238424,0.0004116241137186686,0.000766453919587312,0.07983290495695891,0.007961663846616392,68.71842592592593,0.12104764585141782,199086.38814814814
6,5e-05,0.04911886817078149,0.04965164749710648,0.12095318829571759,0.017676553712810964,0.0003893153194700618,0.000742050659925009,0.07984365229826093,0.0075505459408381,67.9699051031009,0.12030145479950695,198644.7421875,0.1354314281322338,0.13893089011863427,0.2079024929470486,0.16209109836154514,0.017670422306767217,0.00040146174254240813,0.000761351850297716,0.07938758002387153,0.007886001445628978,68.40665509259259,0.12095317699291087,198630.1985185185
7,5e-05,0.04546332970908434,0.05224349410445602,0.13453357837818286,0.016284646503393497,0.0003659681393271731,0.0007029920333609206,0.07253517291535892,0.006722478437623219,67.7943414105531,0.11319910183112492,198379.35908080544,0.13435219093605325,0.15739286069516784,0.18659813774956596,0.22471175582320602,0.01903177190709997,0.00038900724163761847,0.0007405722582781756,0.09174241242585358,0.008805951012505425,67.36892361111111,0.13453358968098958,197998.8148148148
8,5e-05,0.04787645571491054,0.04598279317220052,0.1149111599392361,0.016942175943501853,0.0003994871706002235,0.000770585589064859,0.07306613832338085,0.0066473410468719995,67.61120485760677,0.112879946110887,198411.78710120294,0.1275979162145544,0.13696067527488426,0.16112018726490163,0.17818094889322916,0.016449607566550926,0.0003782677208935773,0.0007269067234463162,0.07079866762514468,0.0064995129903157554,66.62913194444444,0.1149111599392361,198518.5659259259
9,5e-05,0.04596888613068814,0.04455396864149305,0.10876079418041087,0.016504551379972577,0.0003803156266479822,0.0007408218771094451,0.06965702048904228,0.006191568145193315,67.08422808467594,0.1095825047797239,198093.74418148535,0.11918208369502314,0.12765143500434029,0.1594575670030382,0.1665097384982639,0.01576809212013527,0.00037287252920645254,0.0007202771857932762,0.06761500040690104,0.0063501654730902775,66.50767361111112,0.10876080548321759,198040.6162962963
10,5e-05,0.04251888970684681,0.0446479571307147,0.10852906403718171,0.015535378697616628,0.0003490461525529533,0.0006858132342854314,0.0635413534970463,0.005596722893136316,67.19576853189508,0.10266664632007667,198177.92720319037,0.12832311559606482,0.1378206154152199,0.16670205575448496,0.15104375768590855,0.015952724880642363,0.0003720757254847774,0.0007213807106018067,0.06727628919813368,0.006354324905960648,66.184375,0.10852907533998843,198391.89333333334
11,5e-05,0.04188874298044204,0.04639274879738137,0.11623893455222802,0.015064075884358591,0.00034398969023688826,0.0006798547312245467,0.06416788161050326,0.005719431648693324,66.32699454080111,0.10488762757175886,198046.32227379706,0.12130346227575231,0.15311511004412615,0.19743891963252314,0.14884264910662615,0.01651201601381655,0.0003641721937391493,0.0007099458464869746,0.07781413890697338,0.006414559682210287,66.16427083333333,0.11623893455222802,198001.3037037037
12,5e-05,0.04460538708542524,0.04201433534975405,0.1028500818323206,0.01581748949985359,0.0003797765425283862,0.0007616632899260816,0.06532713421717848,0.005553114114944905,67.35079817991377,0.10221497661523739,198568.09809754184,0.12484167028356481,0.12997266981336805,0.13772449634693287,0.14982798258463542,0.015068001923737702,0.00036277587767000554,0.0007124229713722512,0.05871693363896123,0.0058046782458270035,66.30651041666667,0.10285007052951389,197988.68148148147
13,5e-05,0.041485332654960544,0.04404233861852575,0.10769020363136574,0.015078533290316463,0.0003413950708196737,0.0006843304831637629,0.062246969678910705,0.0054455572840558936,66.50612382609475,0.1019542933944379,198244.98872254184,0.12391712330005787,0.14921663637514468,0.15398578785083913,0.15482577853732638,0.0155341551038954,0.0003579560474113182,0.0007016402262228507,0.07073586357964409,0.006452473534478082,65.78085648148148,0.10769020363136574,198518.1037037037
14,4.603315856985009e-05,0.03941175876337271,0.0419780448631004,0.1021835779260706,0.014500231710535369,0.000320975415413623,0.000648006312216026,0.05908503966351433,0.005226636780854548,67.05130150128608,0.09806759439595823,198393.49800601465,0.12040002893518519,0.12350496645326968,0.14633217140480323,0.1526009566695602,0.015143537168149595,0.0003513824277453952,0.0006924041553779884,0.06176927354600695,0.00556418948703342,65.2194849537037,0.1021835779260706,198430.6725925926
