epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.10400093876012449,0.06969486942997685,0.1762485193323206,0.04705194446012752,0.00047331160993616545,0.0008193144599926614,0.22188941766527406,0.05962773958010654,74.0012766945811,0.3080446637200511,201118.2155465481,0.02586745650679977,0.0004724707426848235,0.0008285241656833225,0.13469248453776042,0.015099078990794995,73.24164930555555,0.17624853063512733,200290.01481481481
2,5e-05,0.0718919796943197,0.06415679366500289,0.16192473234953703,0.0262276887597524,0.0004737234421012332,0.0008460829297949976,0.14652078720316228,0.015123375539500345,73.7308197580122,0.17996709396337865,199024.1862251569,0.023333719041612414,0.0004461230172051324,0.0008006162996645328,0.12344616925274884,0.012378511782045718,71.7903125,0.16192474365234374,198532.7525925926
3,5e-05,0.057065878631391224,0.05572360003436053,0.1376894576461227,0.020458414822341446,0.0004150909759959801,0.0007640795826571996,0.10568609733960618,0.00985993014718698,70.55900291219416,0.14184621285070434,198423.14961427826,0.019729977360478154,0.00042076455222235786,0.0007801932758755155,0.09970262315538195,0.00914764404296875,70.75241898148148,0.13768944634331598,198799.51407407408
4,5e-05,0.050038608906510046,0.049954867892795136,0.11968818947120949,0.01781162764939429,0.00039656869466234715,0.0007451287881499468,0.08265697394953612,0.007693790242262964,69.27552200062006,0.12146715572002542,198536.88016474896,0.017423790825737848,0.0004055931833055284,0.000762638250986735,0.08167612711588541,0.007706504397922092,68.60502314814815,0.1196882007740162,198235.9940740741
5,5e-05,0.04954652140446974,0.04771950050636574,0.11577534993489583,0.01780194486734929,0.00038319013598611033,0.0007334314190821833,0.08390046213461265,0.007504612830892267,68.32769476918496,0.12221944238600871,198334.66242808578,0.01675188276502821,0.00038754653047632287,0.000737381864477087,0.07726860328956886,0.007328549137821904,67.88134259259259,0.11577534993489583,197270.5185185185
6,5e-05,0.04659434974633905,0.048029779504846645,0.11921096236617477,0.01687844310815068,0.0003655392079734072,0.0007063363460782886,0.07625963909855447,0.006933930154624843,67.31585878507862,0.11502427504510934,198057.38627745816,0.017351341247558594,0.0003823589837109601,0.0007314168965374982,0.07706993950737848,0.0073698785569932725,67.32473958333334,0.11921097366898148,198092.5274074074
7,5e-05,0.04364020140183053,0.0472753256338614,0.11640419288917823,0.015797736799289867,0.00034645647461238924,0.0006765395408148384,0.07013093701965141,0.006268908663274853,67.26590226783912,0.10940599212399586,197788.45750523012,0.01665778124773944,0.0003801088862948948,0.0007333952409249764,0.07741399694372106,0.0073711494163230615,67.82987847222222,0.11640419288917823,197386.69037037037
8,5e-05,0.04589250564056928,0.046400813349971065,0.11429137053313079,0.01615582807983221,0.000385363171753557,0.0007562941095066209,0.06979012414501302,0.006049235620259241,67.81425480064487,0.10658612587025475,197814.58917364015,0.016351554305465133,0.0003724884986877441,0.0007347224818335639,0.07616555673104745,0.006146570841471354,67.5780150462963,0.11429137053313079,198199.59703703705
9,5e-05,0.04374025381466366,0.04168122185601129,0.10021969265407986,0.015511820832205056,0.00037152813721962324,0.0007439406659865336,0.0643468383216459,0.005630444906745496,67.55015514485507,0.10239453200702887,197583.68017782428,0.014737630773473669,0.0003605329769629019,0.0007061463815194589,0.059446298104745374,0.005759330678869177,66.73706018518519,0.10021968135127315,197572.23111111112
10,5e-05,0.041713997227759356,0.04241457903826678,0.10429704454210069,0.015241827142608029,0.00033718466983883146,0.0006731249076805184,0.06408624195154741,0.005301943508650968,67.30698180896967,0.1005809258389049,197479.5552758891,0.015045324254918982,0.0003534410176453767,0.0006941537503842955,0.06464801929615162,0.005977595293963397,65.90367476851851,0.10429704454210069,197230.38814814814
11,5e-05,0.03974292285557229,0.041487938209816264,0.10121497260199652,0.014337896126338035,0.00032993437160530636,0.0006599595312193182,0.059388718220978104,0.005222475927743952,65.79934014835118,0.09953910690658262,197328.11663179917,0.014656092325846354,0.00035390438856901945,0.0006965042043615271,0.06091085928457755,0.005727564493815104,65.88178819444444,0.10121497260199652,197492.61037037038
12,4.2824116139070415e-05,0.04318484578819392,0.04077612982855903,0.0989515855577257,0.015456896462812864,0.00036186105635675314,0.0007295462915657534,0.06423264168296398,0.005336246355806934,66.51540305325177,0.09991098479776951,197726.1343161611,0.014419811390064381,0.00034779085053337946,0.0006868760232572203,0.05977851019965278,0.005441482332017687,65.35802083333333,0.0989515855577257,197648.18962962963
13,2.5500000000000003e-05,0.0373008979818585,0.03761576052065249,0.0903450181749132,0.013306103152598968,0.00032495381982190725,0.0006599227606496292,0.051647358110260264,0.004562858881810719,65.37115158496043,0.08938316253080153,197312.90533472804,0.013188866509331596,0.00033948160983898024,0.0006763046759146231,0.04968541463216146,0.00486469374762641,64.5779224537037,0.0903450181749132,197149.1437037037
14,8.175883860929588e-06,0.03376965139501545,0.03628932529025607,0.08598886560510706,0.012087563975084823,0.00029921041774190916,0.000616002235522969,0.0448104427449374,0.003975387896453985,65.39296103920398,0.08127219445426719,196672.48277327407,0.012617505391438803,0.0003342439951720061,0.0006685909960005018,0.04639743946216725,0.004543436544912832,64.11394097222222,0.08598887690791378,196738.37037037036
15,1e-06,0.03336144868814422,0.03605171486183449,0.08525872124565972,0.011733425563887135,0.0003044451559805193,0.0006299447492139323,0.04270510069994747,0.003811050907837297,64.68603713542348,0.07920135074260033,196500.0861336297,0.01251484199806496,0.0003333596388498942,0.0006673298941718207,0.045792612146448204,0.004498960000497323,63.99414930555555,0.08525873254846643,196636.81185185185
