epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_pressure,val_vrmse_momentum_y,val_vrmse_momentum_x,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.1553299774505416,0.09908591941550926,0.27294499150028934,0.0810673563686593,0.0005390161605488502,0.0008162366038436345,0.3154120773201707,0.16897939575765922,72.28188282475811,0.539628999596111,201950.94688153765,0.259447337962963,0.2366911033347801,0.4127513744212963,0.46845960828993055,0.03948603877314815,0.000584549727263274,0.0009497012915434661,0.20248259367766203,0.03550111841272425,78.06451967592592,0.27294499150028934,644499082.8088889
2,5e-05,0.08007440045982536,0.06419996473524306,0.16103413899739583,0.029771475610420668,0.0005403383520007619,0.0008979546131223253,0.15524004006984343,0.0199938233178031,75.0150298513628,0.20207722481168713,201356.32129314853,0.19322726779513888,0.18162440547236688,0.22463460286458334,0.24505235460069444,0.022860512910065828,0.0004826725412298132,0.0008244480027092828,0.11470544885706019,0.013194722776059752,72.35612268518518,0.1610341276945891,201673.5525925926
3,5e-05,0.06106791677339213,0.05737812183521412,0.14001975730613425,0.022033681556247332,0.00045352851891141625,0.0007894361599302334,0.10905205604920327,0.012064830902730072,71.29495463510936,0.1525929068141153,201665.04726725942,0.17069855866608796,0.16586078785083913,0.20186830873842593,0.20350746437355324,0.020370474921332465,0.0004554248739171911,0.0008065792366310403,0.09490930627893518,0.010598339504665799,70.64277777777778,0.14001975730613425,201656.10666666666
4,5e-05,0.056559314406730204,0.05799675835503472,0.14002418800636574,0.020196833001901726,0.0004348686153420485,0.0007833896438264921,0.09746033464515558,0.009898807463785594,70.34354748586232,0.13914193882447157,201583.3232544456,0.14858679877387151,0.15880515769675926,0.21789152922453703,0.21056414568865742,0.019947196112738715,0.00045963340335422094,0.0008460189678050853,0.10045257568359375,0.01040034117522063,71.9069675925926,0.14002418800636574,201630.12740740742
5,5e-05,0.05309475508467859,0.054658643934461806,0.13769053141276041,0.018895652099360543,0.0004193885275501819,0.0007720605535438328,0.08819784130511424,0.008980302755802746,69.80360928140425,0.1304438905439741,201549.42102510462,0.16788419370298033,0.15389643916377316,0.18348481354890045,0.21305076316550925,0.019481660348397715,0.0004211237695482042,0.0007712505481861255,0.0941386131004051,0.009078923684579354,68.91693287037037,0.13769053141276041,201549.13185185185
6,5e-05,0.05148501005842035,0.05117219712999132,0.12557850025318287,0.018648154773480537,0.0003981037433480969,0.0007395655549417714,0.08621111674288826,0.008555244576482095,68.59463331789152,0.12738901580913795,201513.0619116109,0.15337563973885995,0.1375651380750868,0.18953048140914353,0.18038762975622105,0.018257759941948785,0.0004131621343118173,0.0007627919868186668,0.08170886004412616,0.008702389045997903,68.91328703703704,0.12557850025318287,201482.7140740741
7,5e-05,0.04728642747168542,0.05005408393012153,0.12428916648582176,0.01695038949988907,0.00037849454280133854,0.0007121317567169431,0.07607540213912102,0.007606035121813978,68.94483026799797,0.11846057467443175,201493.25742024058,0.13795791060836227,0.17332970513237847,0.16874679000289353,0.184924158166956,0.01808812318024812,0.00040565556950039334,0.0007549870455706561,0.07788791232638889,0.008130213419596355,68.21755208333333,0.12428917778862847,201488.28444444443
8,5e-05,0.04937279631898088,0.05132950394241898,0.1275688906069155,0.01743366803962223,0.0004131068411533531,0.000779396323713661,0.07522523677498726,0.007245628903600461,68.49313727981375,0.11513188881526806,201374.0447829498,0.13628276683666088,0.136059649432147,0.20360295048466434,0.19315732602719907,0.01863700301558883,0.00039663743089746547,0.0007423566005848073,0.08573753074363426,0.008755276997884115,67.91510416666667,0.12756890190972223,201439.05185185187
9,5e-05,0.048725233125893955,0.04617314656575521,0.1113343189380787,0.017568773417597223,0.0003979854199449155,0.0007550877863207054,0.07504792168549414,0.0072149242816111035,68.33526339191772,0.11662261460023196,201356.06871077407,0.13117442943431712,0.13121508563006365,0.1555196013274016,0.16250289351851852,0.016218275847258393,0.00039223551750183105,0.0007368810088546187,0.06895398740415219,0.007196361400462963,67.6442824074074,0.1113343189380787,201438.24592592593
10,5e-05,0.045934935994680084,0.04967139915183738,0.12520238805700232,0.016680978308236966,0.00036498733423630855,0.0006992752483258384,0.0733639373440124,0.006629578114553476,68.66911502662563,0.11159403610849854,201348.41105517783,0.14182126645688659,0.138691327130353,0.20028819896556713,0.17259449146412037,0.017920119674117475,0.00039224545160929363,0.0007379562324947781,0.08092671147099248,0.008045054541693793,68.16963541666667,0.1252023767541956,201314.98666666666
11,5e-05,0.04381551311612441,0.04581573768898293,0.11169217710141782,0.01574612431087878,0.0003599701655295545,0.0006932822844736007,0.06713920095974431,0.006462620766093043,67.73282649626792,0.10944206646359117,201456.46852118202,0.1297562097620081,0.1414596218532986,0.16333337854456018,0.15434470847800927,0.01616232130262587,0.0003871380841290509,0.0007325730500397858,0.06864342018410012,0.0070579210917154946,67.37407986111111,0.11169218840422454,201329.73037037038
12,4.2824116139070415e-05,0.046588627615686364,0.04470428466796875,0.10837319833260996,0.016498614793787534,0.00039442480853710954,0.0007694164118844303,0.06912514667131911,0.006357917975182314,68.43627260918397,0.10784533529476142,201308.4702536611,0.12797387017144096,0.1291449878833912,0.15285309968171296,0.155982824254919,0.015860958805790654,0.0003817692067888048,0.0007258533106909858,0.06503239384403935,0.006799881546585648,67.40105324074074,0.10837318702980324,201342.29333333333
13,2.5500000000000003e-05,0.04164872373304248,0.04260589599609375,0.10274464925130208,0.014888354348677316,0.00035223795779145263,0.0006901075770424332,0.0609898072156946,0.005752422694880593,67.38881957880123,0.10074656533085152,201252.73551908997,0.12171608253761575,0.12154247142650464,0.1433387134693287,0.14573619701244214,0.014984985634132668,0.000372085968653361,0.000711092507397687,0.0601107335973669,0.006300187287507234,66.36335648148147,0.10274464925130208,201361.20888888888
14,8.175883860929588e-06,0.037756868364838846,0.041243486757631655,0.09884075023509838,0.013573425988545914,0.0003255959834790374,0.0006464770664313612,0.052690953140977034,0.0050188154605642025,67.48007734450336,0.09165534633504048,201316.7896508891,0.11857122350622107,0.11555948893229166,0.1372920509620949,0.1384244226526331,0.014461611994990596,0.000366923279232449,0.000704242918226454,0.056238058584707755,0.00591817643907335,66.00556712962963,0.09884073893229167,201399.77481481482
15,1e-06,0.03738858594625378,0.04103822496202257,0.09831153021918403,0.013219028413704904,0.00033124465256314503,0.0006602282847022583,0.05071549871975408,0.004822235601217677,66.79068849475813,0.08978070433847762,201323.2288506799,0.11795398853443287,0.11471329300491898,0.13630271629050925,0.1374297304506655,0.014378875449851707,0.0003659274843004015,0.0007026916080050998,0.055753196433738425,0.005872997001365379,65.88363425925925,0.09831153021918403,201425.11407407408
