epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor
1,2.99525e-05,0.08887422519947301,0.0683814380787037,0.2383688693576389,0.04917450144323481,0.00019016376175103755,0.00028609691444293306,0.20127689337530055,0.05461490617579773,0.0,0.306703059487984,810115.5115546219,0.40566115870195274,0.22720987955729166,0.5065017813223379,0.17921827528211806,0.39074544270833333,0.03187253316243489,0.00017456245643121226,0.0002595331933763292,0.18520521375868054,0.019230487964771413,0.0,0.2383688693576389,811504.5451851852,0.5699161783854166
2,5e-05,0.24430263837595947,0.18081549750434028,0.6195160590277777,0.0750370948348476,0.0023864980404531316,0.006664597796190123,0.3329375696783306,0.1358955885682787,0.0,0.4813739634862467,158440933264.5268,160.98530350838388,0.7508100947627315,0.7948594835069445,0.6734993489583333,1.2901362666377314,0.094818115234375,0.00038782124166135434,0.0005053000979953342,0.4440419741030093,0.21064973054108796,0.0,0.6195161494502315,876427.3777777777,6.49060546875
3,5e-05,0.11822867850546076,0.07105526959454572,0.2340949390552662,0.06157486342644992,0.00032273096244238287,0.00034844086762515737,0.2701151015377846,0.07381263788507766,0.0,0.37564750616790865,970994.5441176471,8.624290259946294,0.3426406521267361,0.29612878870081016,0.2541053150318287,0.4074330421730324,0.033094663266782405,0.0002764921055899726,0.000324558902669836,0.1609066433376736,0.026380697179723668,0.0,0.2340949390552662,872912.1185185185,2.6414775028935185
4,5e-05,0.0586778359691135,0.05077900074146412,0.16168228714554397,0.028641332926995614,0.00022124542383684487,0.0002730766280044062,0.12649487397250006,0.015019715458405119,0.0,0.17826391543660844,852525.1292016807,2.0036488195427324,0.20057820638020835,0.1893577293113426,0.20163289388020833,0.33135938856336805,0.024537376121238425,0.00020470107043230976,0.00025647622567636,0.10671043113425926,0.011786817621301722,0.0,0.16168228714554397,860419.7925925925,1.6929289641203704
5,5e-05,0.045867753050783104,0.042180204038266784,0.1365112417715567,0.022487389988132885,0.00019029087416740613,0.00025581801080897237,0.0924387929820213,0.00881143891009964,0.0,0.13552755881257417,837822.5010504202,1.4979532666566993,0.20362139666521992,0.14181759304470487,0.18355212176287616,0.2200332302517361,0.01961213853624132,0.00017668461358105695,0.0002421044420312952,0.09155889440465856,0.007750472316035518,0.0,0.1365112417715567,827901.3451851852,1.3956404622395833
6,5e-05,0.04283470990715407,0.03783055340802228,0.11758397985387732,0.02147545020620362,0.0001686325935637598,0.00023482143468059162,0.08618419611153483,0.007542975309516201,0.0,0.12728573287985906,828443.3781512605,1.6118530746267623,0.1364499466507523,0.16387787995515046,0.16078811080367478,0.22146538628472223,0.0175560223614728,0.00016375719397156326,0.00023276666800181071,0.08057779382776331,0.00674692224573206,0.0,0.11758397985387732,829586.5837037037,1.7196104600694444
7,5e-05,0.036090696027048494,0.032698711819118924,0.10372202555338542,0.01770641452421536,0.00015841364388086563,0.00023046326459123275,0.06975732631042224,0.005943924313833734,0.0,0.10856671543682322,819119.4711134454,1.2857428115456044,0.1460244411892361,0.12303227177372685,0.13548749005353009,0.18563812255859374,0.015126024881998698,0.0001526865142363089,0.00022566464212205674,0.06625572487160011,0.0054867864538122105,0.0,0.10372203685619213,821979.0222222222,1.4225519929108796
8,5e-05,0.034341166993337016,0.03456630282931858,0.10744528311270254,0.01708274002053908,0.00014706703770280612,0.0002208104455379374,0.06603383116361473,0.005066933000788969,0.0,0.10231423108768062,815842.593487395,1.3494731701221787,0.1339717384620949,0.1352268699363426,0.16522326434100115,0.16780574092158565,0.015798746744791668,0.00015638268656200833,0.00025032041249451815,0.07298948499891493,0.00516208083541305,0.0,0.10744528311270254,818831.36,1.4469387478298612
9,5e-05,0.03453674367746385,0.028655740243417244,0.09352260448314526,0.016820682064011817,0.00016052519613138336,0.0002483825323792143,0.0645986750346272,0.005100931189641231,0.0,0.10226615812598157,815362.1465336134,1.202793511022039,0.1098720070167824,0.12746412489149306,0.10871117485894097,0.18154908356843172,0.013418071888111257,0.00013907996592698273,0.0002145330552701597,0.05522446808991609,0.00435739658496998,0.0,0.0935225988317419,809438.0562962963,1.2589569769965279
10,5e-05,0.033466233707526154,0.029914508395724827,0.09962213586877894,0.016837630025698106,0.00015063708321706924,0.00023622167431954841,0.06064499426288765,0.004592843792017768,0.0,0.09803197795853895,815324.6722689075,1.4062211601173176,0.1085301830150463,0.12354787190755208,0.13423066315827548,0.2054494674117477,0.014093418827763311,0.00013597816228866577,0.0002087369892332289,0.060147874620225694,0.0048117083090322985,0.0,0.09962213586877894,815637.8074074074,1.3834365053530093
