epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_pressure,val_vrmse_momentum_y,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.14526570056444307,0.07746851038049768,0.19686182092737267,0.07226950708566288,0.0005751859712595185,0.0008894816230727031,0.29491262094246296,0.13950650150805838,74.69667559188778,0.4802773345464443,195078557.77785042,0.18762973361545138,0.3202437789351852,0.21676405164930557,0.2967514829282407,0.028211353443287037,0.000545385722760801,0.0009012593163384332,0.14658581769024884,0.01954481901945891,75.58157986111111,0.1968618435329861,201373.91407407407
2,5e-05,0.08007839002556881,0.07402364660192419,0.19313112612123842,0.029106455903780883,0.0005294153462486347,0.0008908019993263582,0.16334110535837118,0.017878330152902643,74.80307389901772,0.2026744628613464,199450.51248692468,0.17952736183449075,0.228768310546875,0.4677428747106481,0.24403252495659722,0.026519351535373263,0.0004975189986052336,0.0008451959821912978,0.15085558855975115,0.01733195975974754,73.50247685185185,0.19313112612123842,198667.33037037036
3,5e-05,0.06257505884986356,0.06993170844184028,0.18143107096354166,0.02249329707343677,0.00045712560636294186,0.0007971466088918792,0.11483653881061028,0.0122513889518243,71.52491194433748,0.15749835708494217,198625.58018436193,0.28192719636140046,0.2474535228587963,0.19571381745515046,0.24724760832609954,0.024959872210467304,0.0004541237265975387,0.0008126194388778121,0.14843769214771413,0.012413048920808014,71.26773148148148,0.18143107096354166,197999.11111111112
4,5e-05,0.05523584481176753,0.055540991889105905,0.13040443702980323,0.019601740602551956,0.0004315208875377188,0.000782596647269548,0.09372039557002079,0.009371472826562666,69.99499351309932,0.13512339466348852,198538.72793540795,0.15893900553385418,0.181575848614728,0.16661824544270834,0.19072907624421295,0.018967135394061054,0.0004632699489593506,0.0009015173382229275,0.0894024149576823,0.009299363736753111,71.45103587962963,0.13040442572699654,198038.8148148148
5,5e-05,0.05294890708784927,0.05270897194191262,0.1320122386791088,0.01880685029995616,0.00041752623890384694,0.000775931010698571,0.08843829504615593,0.00860942320344837,69.45329283869916,0.12945532394284734,198608.5407296025,0.1470879222728588,0.19802657515914351,0.15761476869936342,0.1913054741753472,0.019005020989312067,0.00041878713501824273,0.0007731593096697772,0.0850972550003617,0.009124606097186053,69.116875,0.13201222737630208,199160.74666666667
6,5e-05,0.04988775549994228,0.0515597986291956,0.12552504928023728,0.017895230181246342,0.0003973148167989702,0.0007501689098658195,0.08084522555562741,0.007714269550275603,68.27583771869229,0.12181793873404859,198470.44135721758,0.13885798701533564,0.17599561903211805,0.19485460069444444,0.19156919126157407,0.018187378777398004,0.0004069047062485306,0.0007657372509991681,0.08684787326388889,0.008166357676188151,68.47799189814815,0.12552504928023728,198279.0874074074
7,5e-05,0.04680341049623539,0.055027494077329285,0.14214732982494213,0.01669598848677813,0.000374908254334571,0.0007136002014565092,0.07574672604205718,0.007045550700510895,68.26848540844777,0.11616322857222547,198617.82743854602,0.16961581759982639,0.24730333116319445,0.1893654152199074,0.15862779405381944,0.01966373019748264,0.00040001229003623677,0.0007539624638027616,0.10242103859230324,0.007830898850052444,68.02212962962963,0.1421473185221354,197765.1437037037
8,5e-05,0.049779576275723686,0.047389195760091145,0.11458021375868055,0.017539952859715033,0.000411443291482881,0.0007837050269553322,0.07778305837798817,0.007097136899517171,68.14002491939019,0.11689223176078817,197711.10653111924,0.14552823667173032,0.15463415075231482,0.14737058286313656,0.17632819281684028,0.016934472543221932,0.000388521220948961,0.0007388085347634775,0.0735244298864294,0.00679123701872649,67.30915509259259,0.11458021375868055,198286.6725925926
9,5e-05,0.04665278266359386,0.04503892404061777,0.10966478135850695,0.016613939930938154,0.00039248999722040254,0.000754979114390153,0.06942895029878018,0.0064727510617866675,67.563651783197,0.1097926274136831,197792.60515821129,0.13257545753761574,0.1621552304868345,0.13861033121744792,0.15234134250217013,0.015983766626428676,0.0003797014112825747,0.0007266939127886737,0.0671339190447772,0.006549575946949146,66.88248263888889,0.10966478135850695,198167.45481481482
10,5e-05,0.04442914937930688,0.047269467954282406,0.1182126193576389,0.016125967739750027,0.00035986015642202766,0.0006986832777919094,0.06873448910074753,0.00603841687844887,67.73896416859647,0.10738032561372264,198353.2924620816,0.14705346001519098,0.1603696017795139,0.15040430139612268,0.18199415418836806,0.017211201985677084,0.00037993099954393173,0.0007282338760517262,0.07374477245189526,0.007006559725160952,67.1370949074074,0.11821260805483218,197821.20296296297
