epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_ssim,train_mlw,val_rmse,val_h1,val_ssim,val_mlw
1,3.02e-05,0.09788648204519472,0.0635033655277005,0.18855242060290442,0.05053050803881778,0.0005074074892469968,0.2311385703510819,74.73780215434948,0.027469395654345,0.0005032445259213865,0.1563523726110105,74.76193101671007
2,5e-05,0.05479642878399546,0.05090011714923161,0.1515367830351547,0.02421864528339512,0.0004526435046884757,0.128411301509107,74.11114937690512,0.02211662352292074,0.0004690104008046479,0.11372155295477973,72.87433770638926
3,5e-05,0.04816780905979666,0.04735660175344458,0.1428993226753341,0.02121011835764548,0.00045292540230871647,0.10423036723954907,72.58156844661825,0.020760327305092856,0.00044554891623933883,0.10305033913365116,71.6825979953342
4,5e-05,0.044031312281975064,0.04338790490395493,0.13342493598659833,0.019456284971631065,0.0004297995151937281,0.0922002590351025,70.95839453741098,0.019475729618635442,0.0004344666926132319,0.0870033832832619,70.91309695773654
5,5e-05,0.0421228230269392,0.04535939746984729,0.1426899311001654,0.01865795324653948,0.0004068402003275912,0.08862576219077889,70.30309904569363,0.01981925325675143,0.00041574089378931,0.1009774754665516,69.52849086055049
6,5e-05,0.040962928706374815,0.04284950962152194,0.12774400432352667,0.018376062097608514,0.0003999757496651464,0.08391648262863878,70.16863150576667,0.019061841782941312,0.00041253202729792435,0.0898291113641527,69.59254575941297
7,5e-05,0.0387403421185786,0.03918674674437002,0.1195433505596938,0.01733941087990251,0.00038447299583899375,0.07859403973593372,68.90078701434275,0.01749468932342198,0.0004080574530713353,0.07660413750895748,69.49675055609809
8,5e-05,0.0388904817642987,0.04217177889827225,0.13485552278381807,0.017253486084981694,0.00039944886169825745,0.07767182526229316,70.00433975682598,0.019587105939647666,0.00040067012722458996,0.0837861297748707,69.01843486079463
9,5e-05,0.038297212999762194,0.03947170752962982,0.12061398769970294,0.0172969828241419,0.00038885571340749407,0.07519224597819181,69.08892657068483,0.017509375089020642,0.00039315346182303514,0.08088996993170844,68.45250593397353
10,5e-05,0.03661404270142956,0.038853706338753305,0.11809209588501189,0.01656718403938768,0.000368793047204555,0.07218021403795506,68.54111554931896,0.017456675611298392,0.0003892373820481562,0.07777397208743625,67.86215286254883
11,5e-05,0.03491008163441487,0.03643963380130353,0.10966760247945785,0.01574779166981274,0.00036257734909829947,0.06731903945801149,67.83110275428166,0.01623545587580237,0.0003848498466757317,0.07055287581902964,67.61095334653501
12,4.2824116139070415e-05,0.036401822845447636,0.03468846354426609,0.10621157857003036,0.01635684683615981,0.00038300764467168776,0.06979856393826057,67.81187523159522,0.015558284007840687,0.0003827991001896778,0.0637346778092561,67.33761710272896
13,2.5500000000000003e-05,0.0325402448218799,0.03289519467494554,0.09999852392132635,0.014697157786857087,0.0003471699941489245,0.06109224565358341,67.76984286607559,0.014659007013326994,0.0003736173078825097,0.059305031741106955,66.90533389621311
14,8.175883860929588e-06,0.030125018769132837,0.031384946253771584,0.09547371905159067,0.01359819858744117,0.0003432490011038612,0.052970632910728455,67.00852033782704,0.014023267300799488,0.00036827794978577273,0.054364866857175474,66.33611694901077
15,1e-06,0.029117832214339678,0.031175824733519996,0.09488589160834197,0.01314567704599791,0.00033636736443926085,0.05041980487781589,65.74594411889878,0.013936082724550807,0.00036731523420005237,0.0537124056286282,66.26675979049118
