epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.10872171316529668,0.08899679113317419,0.2570492666739005,0.04949950002071498,0.0004693204213697252,0.0008146779635669445,0.23837460508905195,0.06429401738374303,73.68135301438336,0.32190701242333675,201429.7494116109,0.034221991079824945,0.00047230371722468625,0.0008313929593121564,0.20773075810185185,0.03140595895272714,73.72657407407408,0.25704928927951387,276208778.0503704
2,5e-05,0.07299422368672229,0.08149332117151331,0.20336674442997685,0.02704978863334587,0.0004649854625990674,0.0008307035733181022,0.1513010743522245,0.01617369055747986,73.51150320364341,0.18726616155621148,199143.27657557532,0.02820050274884259,0.0005026555944372107,0.0009798130282649288,0.18773364031756365,0.016776549727828414,73.82505787037037,0.20336674442997685,276208608.1422222
3,5e-05,0.22331531755782072,0.07571984750253183,0.19549768518518518,0.050296857052923,0.002599842248775652,0.006881805018603555,0.28684228608797785,0.06240673319565202,84.92774998493275,0.35062501180496175,203403.3722541841,0.027495077627676504,0.000497453698405513,0.0008573041138825593,0.1556805419921875,0.019638345506456163,75.76166666666667,0.1954977077907986,193779.97037037037
4,5e-05,0.06212718356751436,0.05598110057689525,0.13538336859809028,0.022521217360461296,0.00044265056833096253,0.0007840612250174482,0.11648958011152355,0.01137099056563118,72.52355885206406,0.15443289673509208,194796.86009414226,0.020266992074471933,0.00043340475470931444,0.0007841772503323025,0.09362577650282118,0.009659837793420863,71.40627314814814,0.13538336859809028,195110.6962962963
5,5e-05,0.05171495652075654,0.050274364330150464,0.1212151195384838,0.018500874050850026,0.00040677364754476583,0.0007505175875826258,0.08583599790369617,0.008477646062563652,69.97733049911434,0.12654889487977058,194403.91017259413,0.017872387921368634,0.00040687380013642487,0.0007537611325581869,0.08038857919198496,0.007910240314624927,69.52837962962963,0.12121513084129051,193953.13777777777
6,5e-05,0.04982731760105422,0.048697600188078706,0.11935564959490741,0.01806642782141817,0.00038379036021157146,0.0007226514770549915,0.08380914220750083,0.00782528806431024,68.86851779985628,0.12321556391482823,194503.7578451883,0.01729397243923611,0.00039565404256184896,0.0007422370380825466,0.07747281109845197,0.007588496031584563,68.81467592592593,0.11935564959490741,194861.86666666667
7,5e-05,0.045292482184339705,0.04754996405707465,0.11509045636212384,0.016291034134167198,0.00036211100667604413,0.0006908190650095676,0.0726393160710275,0.0067550759435198796,68.49808339394286,0.1127814347836263,194548.25310538703,0.016753532974808305,0.00038891443499812375,0.0007416054937574598,0.07567142062717014,0.006865998727303964,68.90975694444444,0.11509046766493056,195396.1362962963
8,5e-05,0.048633457122518674,0.049304849130136,0.11977832935474537,0.01708711421499068,0.00040254742908491496,0.000773212176703542,0.07612647359341258,0.006774977036599834,68.81535119092614,0.11264233160997784,195698.9529288703,0.017173611676251446,0.000381485797740795,0.0007400980702152958,0.08704633359555845,0.006550321932192202,68.30677083333333,0.11977832935474537,195006.9688888889
9,5e-05,0.047504490972048445,0.04459071971752025,0.10835286458333333,0.01684709176982297,0.0003864110682590732,0.0007550219552095582,0.07557896939281639,0.0063402868464402075,68.64690865233354,0.11287047028167477,194815.94338389122,0.015592535513418692,0.00037243639981305156,0.0007211176554361979,0.06917575977466725,0.006169278180157697,68.08228587962962,0.10835286458333333,194681.3274074074
10,5e-05,0.043163561573930115,0.04584273726851852,0.11491312662760417,0.015571006337983464,0.0003534073323774209,0.0006965347932267352,0.06614792184849663,0.005646218689914528,68.42316921984302,0.10275170316522216,194452.22476464434,0.016444535432038485,0.00036490040796774404,0.0007077965029963741,0.07435453626844618,0.006689511758309823,66.88147569444445,0.11491311532479745,193788.23111111112
