epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,val_vrmse_pressure,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl
1,3.02e-05,0.12676428796559822,0.0768654943395544,0.20037443938078703,0.058679443330087046,0.0005455253033813346,0.000856274596880132,0.27205718573666016,0.10048007603469752,74.81765814904887,0.3896105666196745,201891.82848457113,0.3705572961877894,0.20646898057725693,0.1976785843460648,0.3364447699652778,0.028190528021918404,0.0005251770549350315,0.000863028985482675,0.1494407484266493,0.01842937328197338,74.66827546296297,0.20037441677517362,199974.4711111111
2,5e-05,0.0780628224324326,0.0716989192256221,0.18248845983434606,0.029059383692804367,0.0005243801114922927,0.0008773667775423906,0.15189621750280946,0.01826807993725254,74.42123690010614,0.1994457288672485,200022.04775758367,0.37905922218605326,0.1951652244285301,0.2155584716796875,0.26669148763020833,0.02571006492332176,0.00048503209043432164,0.0008330364580507631,0.1449149915907118,0.013659546463577836,72.2160763888889,0.18248844853153937,201100.9185185185
3,5e-05,0.06381091107438985,0.062405355947989,0.15472093370225695,0.023099120421857265,0.0004551327519615271,0.000795634424705526,0.11970101664754636,0.012229347827544272,70.97258376277142,0.16077019282028265,199568.72329367156,0.23478827582465278,0.17333671287254052,0.18899618643301505,0.25529491283275463,0.02218760031240958,0.00045749271357500994,0.0008198993294327347,0.11562078405309606,0.011960293805157696,70.8603587962963,0.15472093370225695,199538.01481481481
4,5e-05,0.056936070174914026,0.05472582781756366,0.13543871844256367,0.020250212629111367,0.00043095376583558725,0.0007762589733064484,0.10092112434459032,0.009294145650943452,69.55035943865278,0.14044089735364815,198812.0637748431,0.17600024188006366,0.15575058548538773,0.14497335928457755,0.23663911042390046,0.019294254161693433,0.00043093186837655524,0.0007904224925571018,0.09256658483434606,0.0096178549307364,68.9181712962963,0.13543871844256367,198631.71555555557
5,5e-05,0.05199122405026466,0.050432241934317126,0.1218056007667824,0.018471431084538355,0.0004148902616352034,0.0007701520146402727,0.08516852863164127,0.008520485591688914,68.69828096493518,0.1274948597858391,198583.75977379706,0.1657098501699942,0.14061023853443286,0.15557475902416087,0.19379358362268517,0.01747745231345848,0.0004126246770222982,0.0007708270461470992,0.08215705589011864,0.007862021128336588,68.27778935185185,0.1218056007667824,198516.90666666668
6,5e-05,0.05061965240321461,0.048941045690465854,0.11684236879701967,0.01822856932130319,0.00039661546910865124,0.0007551960931994921,0.08373539480205361,0.007944745997504709,68.11763971719782,0.1246098677109475,198935.85179131798,0.16530626085069444,0.14068060980902777,0.1609975066008391,0.17091856779875578,0.016954704567238136,0.00040420404186955206,0.0007629778650071886,0.07850761696144387,0.007505456429940683,68.35695601851852,0.11684238009982639,199038.22222222222
7,5e-05,0.04612682078610404,0.04864873815465857,0.12191313566984954,0.016464974934811933,0.00037377337417651365,0.0007157939672237201,0.07315451181084541,0.00691760035239503,67.99113546555013,0.1142530524908374,198696.34809754184,0.21824894657841434,0.13285350658275463,0.140723876953125,0.1826418728298611,0.017496634589301216,0.0003980111634289777,0.0007548888524373372,0.07501029120551216,0.007911962579797815,67.70115740740741,0.12191313566984954,199037.58222222223
8,5e-05,0.04694882802914625,0.05207326818395544,0.13148974383318865,0.016379846162045818,0.0004070512242853004,0.0007850022292173912,0.0681094684361414,0.006251228529040285,67.67678060491714,0.10784375641463816,198539.68834989538,0.1450064652054398,0.1898140010127315,0.16236071551287615,0.20002839265046296,0.01973348829481337,0.00038707044389512806,0.0007433583118297435,0.0865750574182581,0.00875833723280165,66.91780092592593,0.13148973253038193,198611.98222222223
9,5e-05,0.047025408821811734,0.04276188603153935,0.10270442256221064,0.016806346050144083,0.00039427303752966216,0.0007691985867836117,0.07003607049147953,0.00661751091729647,67.79266581674999,0.11163323247127203,198529.73264252092,0.1405489773220486,0.12456940827546296,0.12676229971426506,0.15571251763237848,0.014939197964138454,0.00037600941128200955,0.0007264744793927228,0.06014810067635996,0.0060702415748878765,66.26572916666667,0.10270442256221064,198652.06518518517
10,5e-05,0.042221472255698556,0.04737961663140191,0.11984371609157986,0.015218739146970712,0.0003537966044816975,0.0006945924687712272,0.062086016687887984,0.005386088931909665,67.11079636577782,0.10095458714268073,198538.42226725942,0.15389608877676506,0.13140986689814815,0.14184182626229747,0.2057347728587963,0.01681042000099465,0.0003730258676740858,0.0007242594383381031,0.07945268419053819,0.007112757364908854,66.26883680555555,0.11984371609157986,198193.6474074074
