epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_ssim,train_mlw,val_rmse,val_h1,val_ssim,val_mlw
1,3.02e-05,0.10767364434344562,0.07352205711934301,0.19610667280576846,0.04922142013163154,0.0004684115417413336,0.23354430415640318,73.33259774850502,0.02788489997110985,0.00047223431309518035,0.14683627102110122,73.49727282488787
2,5e-05,0.0684136865138384,0.0592416888696176,0.14752541929483415,0.025130309099253564,0.0004631686600146453,0.13416629094459023,73.0806987714568,0.021221847341016488,0.0004397953686754961,0.10686714993582831,71.44619458233869
3,5e-05,0.05660291649225834,0.05839546360489395,0.1447843764225642,0.020195428035553218,0.0004133561089444381,0.1049312154867659,70.43731473978593,0.020767346828900003,0.00042397012783718915,0.10953073219016746,70.69852741947881
4,5e-05,0.050207110086775475,0.050736693738511314,0.1246242920005763,0.01791815962652173,0.00039872157957171077,0.08235247339663646,69.44255736283179,0.017758199436659062,0.0003968256494644501,0.08758140855365329,68.73304370456272
5,5e-05,0.04674714978172533,0.049096266187865424,0.1192611159660198,0.016655578731976168,0.00037823118541753455,0.07453340902986885,67.99955706416813,0.01728751949414059,0.00038579188462352723,0.08346101389990912,67.80806511207864
6,5e-05,0.0454855599814722,0.04692112050467619,0.11662707334315335,0.01648005474530254,0.0003622732459080493,0.07261228411766275,67.29279018545749,0.016734395364506376,0.00038090948642531184,0.07427500309767547,67.49284691139503
7,5e-05,0.043068912819370815,0.04506026872537202,0.10893292462936154,0.01540008662891999,0.0003470757663048457,0.06876691639672762,67.32987670419605,0.015629163294754646,0.00037525914346082977,0.07112098702677974,67.42929578993055
8,5e-05,0.044516695743216254,0.04613021092489362,0.10848235972501613,0.015551321647348171,0.0003828351822216764,0.0654907644293797,67.69925460655818,0.0159959647314692,0.00038466612336344916,0.07267293100003842,68.56616298534252
9,5e-05,0.04443567174888181,0.04220505938485817,0.10195577981019462,0.015835882792401296,0.0003716296749923942,0.06678869983641174,67.87728837144924,0.014874938968224106,0.00036209485544969977,0.0615025156515616,66.87359103732639
10,5e-05,0.04171258845136629,0.044542112918225706,0.10911866004268328,0.015081897967837939,0.0003399136556051596,0.0642333818778832,67.65888848564116,0.015646462617786946,0.00035766439924507856,0.07341619933093035,66.32243239791305
11,5e-05,0.039404461939164505,0.040838533779951156,0.09810935207263187,0.014071626934538513,0.00033304030539483046,0.05787212940938303,66.03855777086075,0.0143480702192971,0.000355444684172552,0.05812152783075968,65.87198540581598
12,4.2824116139070415e-05,0.04212055149562189,0.04032410696217859,0.09735865669118034,0.01484886898316256,0.0003598553012191789,0.06185944821046486,66.52292787879082,0.014188659720260788,0.0003500796508790329,0.05754309583593298,65.53697409735786
13,2.5500000000000003e-05,0.03752700699284813,0.038236698738678736,0.0913639772352245,0.013353232735871225,0.00032518251467587546,0.0527643219696428,65.62280709174887,0.013350753533757396,0.00034300804269521364,0.051570286132671214,64.91714562875254
14,8.175883860929588e-06,0.0341998809460496,0.037044295313664606,0.08784517319803989,0.01224283510711917,0.000301488113151469,0.04588426693214034,65.7092576924727,0.012888843196754655,0.0003387253258851733,0.0481279045564157,64.44617527149342
15,1e-06,0.033918084577700146,0.036880832040613445,0.08742044060180584,0.011954048909802208,0.0003069557663838963,0.04410831574116791,65.05004682500991,0.012823857241137711,0.00033794321795304076,0.047732090950012206,64.3806211287887
